ES_location,projection_area,norm_strength inter,norm_density inter,norm_strength intra,norm_density intra
VISp,AV,0.006545953,3.16e-05,0.978605333,0.004727562
VISp,CL,0.0065598359999999994,3.84e-05,0.057141246,0.000334159
VISp,CP,0.732280287,5.629999999999999e-05,3.348332195,0.00025738599999999996
VISp,APN,0.20556104,0.00032219599999999996,0.7966482909999999,0.001248665
VISp,ProS,0.0012825010000000001,2.17e-06,1.079818513,0.001827104
VISp,MB,1.229204293,6.59e-05,7.220845012000001,0.000387011
VISp,NOT,0.088132299,0.000831437,0.132366177,0.001248738
VISp,MD,0.001359201,1.96e-06,0.935757552,0.001346414
VISp,AMd,0.0032752529999999997,2.6600000000000003e-05,0.297428168,0.002418115
VISp,VISp,4.179294024,0.00117793,4.179294024,0.00117793
VISp,VISpm,0.328975107,0.000629016,2.247669644,0.004297648
VISp,VISam,0.177711856,0.000456843,2.620504029,0.006736514
VISp,VISa,0.10153532400000001,0.000141611,2.075657166,0.002894919
VISp,MOp,0.014708054,2.6e-06,5.372107651,0.000949471
VISp,MOs,0.079250394,1.21e-05,5.6613159479999995,0.0008651160000000001
VISp,SUB,0.014558004,1.3500000000000001e-05,1.457822739,0.001354854
VISp,CA1,0.014660476,2.86e-06,7.1065180429999995,0.001384477
VISp,CA3,0.00795455,2.53e-06,9.324590284,0.002963951
VISp,RSPagl,0.389447036,0.000339832,2.072669612,0.001808612
VISp,RSPd,0.45139656200000006,0.00023547,4.624202468,0.002412208
VISp,RSPv,0.146285779,6.53e-05,6.5995815229999995,0.002944927
VISp,DG-po,1.0800000000000002e-05,3.43e-08,1.266557821,0.004020818
VISp,DG-sg,0.00025372400000000004,3.12e-07,3.1497813989999996,0.00387427
VISp,DG-mo,0.042124207000000004,1.9399999999999997e-05,6.238644676,0.002877604
VISp,SSp-ll,0.01043867,8.82e-06,2.334999785,0.001973795
VISp,SSp-tr,0.019795812,2.84e-05,1.709013647,0.002455479
VISp,ACAv,0.050276152000000005,3.9899999999999994e-05,3.444187167,0.0027356529999999998
VISp,ACAd,0.117142394,7.159999999999999e-05,4.527492198,0.0027691079999999997
VISp,LP,0.463800408,0.0007578439999999999,0.726369577,0.001186878
