,FRP,MOs,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIv,AIp,GU,VISC,SSs,SSp-bfd,SSp-tr,SSp-ll,SSp-ul,SSp-un,SSp-n,SSp-m,MOp,VISal,VISl,VISp,VISpl,VISli,VISpor,VISrl,VISa,VISam,VISpm,RSPagl,RSPd,RSPv,AUDd,AUDp,AUDpo,AUDv,TEa,PERI,ECT
FRP,0.00382422,0.001099189,0.00013578,6.60E-05,0.000391071,0.000166043,0.001097936,0.000272371,0.00049468,0.001068958,0.000303622,9.94E-05,0.000188276,0.000252839,0.000107709,2.17E-05,1.46E-05,1.05E-05,5.67E-05,4.12E-05,8.34E-05,0.000135629,0.000395466,1.38E-05,8.36E-06,7.68E-06,5.48E-06,1.68E-05,8.87E-06,1.72E-05,2.07E-05,3.94E-05,2.50E-05,3.26E-05,1.46E-05,2.99E-06,1.10E-05,4.80E-06,9.81E-06,5.98E-06,3.19E-05,0.000100804,7.59E-05
MOs,0.000970672,0.000865116,0.000798959,0.000336691,0.00027215,6.57E-05,0.000390079,0.000134543,0.000272759,0.000329655,8.51E-05,3.07E-05,0.000103793,0.000151464,0.000176738,0.000136777,0.000185969,0.000208593,0.00022489,0.000191688,0.00017565,0.000248331,0.000539763,0.000135529,6.41E-05,4.60E-05,3.65E-05,6.54E-05,5.47E-05,0.000248419,0.000213426,0.000260889,8.43E-05,0.000127876,0.000154922,0.000100494,8.17E-05,1.62E-05,3.98E-05,2.58E-05,5.01E-05,4.44E-05,4.74E-05
ACAd,0.000180801,0.000585857,0.002769108,0.001859632,0.000771215,0.000243072,0.000290338,0.000622596,0.000649646,4.76E-05,8.96E-05,8.58E-06,2.45E-05,2.50E-05,6.24E-05,0.000147289,0.000283047,0.000203329,9.83E-05,0.000105088,1.52E-05,7.36E-06,0.000152694,0.000266861,0.000160176,0.000129486,0.000107162,0.000155259,0.000129414,0.00044023,0.000433192,0.001057019,0.000367087,0.000589964,0.000683772,0.000382564,9.64E-05,2.02E-05,7.44E-05,2.79E-05,7.50E-05,4.10E-05,4.77E-05
ACAv,5.20E-05,0.000283796,0.003009729,0.002735653,0.000931816,0.000801166,0.000127014,0.000894505,0.000676112,1.97E-05,6.16E-05,9.51E-06,1.43E-05,1.02E-05,1.12E-05,3.58E-05,0.000145208,5.75E-05,1.09E-05,1.20E-05,1.69E-06,1.31E-06,3.48E-05,0.000166088,0.000125265,9.76E-05,8.09E-05,0.000104697,9.37E-05,0.000241738,0.000311657,0.001198404,0.000447036,0.000738297,0.000771484,0.000388152,3.10E-05,8.53E-06,4.94E-05,1.03E-05,4.34E-05,2.45E-05,3.22E-05
PL,0.000572322,0.000376498,0.000807448,0.000570092,0.001556238,0.001713571,0.00039294,0.001338588,0.000803978,0.000223427,0.000392806,5.98E-05,5.10E-05,3.45E-05,3.35E-05,4.56E-05,8.94E-05,7.30E-05,6.60E-05,6.18E-05,1.30E-05,1.25E-05,0.000118861,4.74E-05,2.67E-05,2.38E-05,1.92E-05,4.36E-05,2.90E-05,5.86E-05,0.000107643,0.000204837,9.60E-05,0.000172658,7.13E-05,2.35E-05,3.74E-05,1.02E-05,2.77E-05,1.63E-05,5.11E-05,2.54E-05,5.82E-05
ILA,0.000171405,0.000138205,0.000757036,0.001353494,0.001598517,0.003442059,0.000448652,0.001196719,0.001509333,8.88E-05,0.000279445,5.35E-05,3.01E-05,1.73E-05,2.05E-05,3.69E-05,7.75E-05,2.91E-05,1.70E-05,2.02E-05,5.66E-06,3.43E-06,2.48E-05,0.000113611,8.30E-05,7.15E-05,5.64E-05,0.000132617,7.02E-05,9.85E-05,0.000178705,0.000468487,0.00025588,0.000344463,0.000108252,4.38E-05,5.83E-05,2.14E-05,6.90E-05,2.34E-05,8.14E-05,1.61E-05,6.92E-05
ORBl,0.001625336,0.000469832,0.000295966,0.000101571,0.000398678,0.000135558,0.001917442,0.000364912,0.002102247,0.000683511,0.00069439,0.000124574,0.000120342,0.000122314,5.61E-05,6.50E-05,7.98E-05,3.65E-05,4.85E-05,5.37E-05,5.84E-05,5.58E-05,0.000132833,0.000133023,9.23E-05,7.93E-05,5.88E-05,0.000176969,6.45E-05,0.000115778,0.000151683,0.000323248,0.000258951,0.000185438,6.98E-05,9.65E-06,6.78E-05,2.58E-05,8.07E-05,2.41E-05,9.94E-05,0.000108867,0.000101208
ORBm,0.000307873,0.000148417,0.000617009,0.000541313,0.001502888,0.001529458,0.000642023,0.002164781,0.002234011,0.000221454,0.000831738,9.88E-05,4.91E-05,3.02E-05,2.30E-05,4.21E-05,9.64E-05,3.70E-05,2.20E-05,2.51E-05,8.04E-06,5.57E-06,3.25E-05,0.000159563,0.000113765,9.80E-05,7.93E-05,0.00021502,8.59E-05,0.000119351,0.000196449,0.000532025,0.000386342,0.00041261,0.00016338,2.26E-05,7.84E-05,3.16E-05,9.96E-05,3.36E-05,0.000119997,5.54E-05,9.70E-05
ORBvl,0.001091506,0.000380281,0.000545899,0.000294233,0.000845663,0.000573775,0.001477142,0.001020115,0.003379666,0.000329966,0.000557426,8.19E-05,7.23E-05,6.66E-05,5.31E-05,8.35E-05,0.000152814,6.01E-05,5.04E-05,5.68E-05,3.99E-05,2.98E-05,9.86E-05,0.000279281,0.000200356,0.000171878,0.000131128,0.00038188,0.000136711,0.00021139,0.000309141,0.000737723,0.000591465,0.000459916,0.000175546,2.20E-05,0.000134612,5.36E-05,0.0001717,4.87E-05,0.000169806,6.11E-05,8.42E-05
AId,0.00061729,0.000277388,5.87E-05,1.24E-05,0.000185149,4.80E-05,0.000578678,0.000127701,0.000284235,0.001381954,0.00059788,0.00037401,0.000881729,0.000440304,0.000127183,6.30E-06,4.77E-06,6.16E-06,1.85E-05,1.04E-05,2.04E-05,0.000163984,0.000264527,4.61E-06,3.38E-06,2.73E-06,2.43E-06,4.19E-06,4.77E-06,4.72E-06,5.79E-06,6.85E-06,4.88E-06,6.61E-06,3.89E-06,1.61E-06,3.81E-06,1.38E-06,2.73E-06,4.61E-06,3.45E-05,0.000135226,0.000150511
AIv,0.000484561,0.00022247,5.29E-05,1.09E-05,0.000202083,5.52E-05,0.000479791,0.000138938,0.000241151,0.00163157,0.000689081,0.00046196,0.000990255,0.000506144,0.000107786,2.23E-06,2.85E-06,4.96E-06,1.32E-05,5.28E-06,1.06E-05,0.000127152,0.000238562,2.61E-06,2.00E-06,1.52E-06,1.77E-06,1.70E-06,4.06E-06,1.36E-06,2.75E-06,2.23E-06,1.55E-06,4.17E-06,3.05E-06,1.46E-06,2.72E-06,9.56E-07,1.38E-06,4.92E-06,3.85E-05,0.00015369,0.000179839
AIp,0.000161761,0.000139404,5.66E-05,4.82E-05,0.000107252,0.000133589,0.000115893,7.95E-05,6.67E-05,0.000588211,0.000239909,0.001061267,0.001288226,0.001365705,0.000489436,4.10E-05,1.92E-05,2.57E-05,6.68E-05,6.86E-05,0.000139119,0.000232078,0.000173748,2.73E-05,3.23E-05,2.98E-05,5.07E-05,3.23E-05,5.37E-05,2.29E-05,2.58E-05,3.59E-05,3.81E-05,4.71E-05,4.15E-05,2.63E-05,4.09E-05,2.89E-05,1.92E-05,7.57E-05,0.000195214,0.000331125,0.000551947
GU,0.000144489,0.000148422,5.16E-05,4.23E-05,0.000101081,7.53E-05,7.98E-05,6.27E-05,4.87E-05,0.000760058,0.000245949,0.00046534,0.002114649,0.000871912,0.000541016,9.34E-06,1.51E-05,1.89E-05,2.90E-05,1.64E-05,4.52E-05,0.000376115,0.000245357,2.02E-05,3.07E-05,2.71E-05,4.24E-05,2.53E-05,4.01E-05,1.55E-05,2.08E-05,2.90E-05,3.07E-05,4.69E-05,3.78E-05,2.38E-05,1.26E-05,1.06E-05,1.45E-05,2.27E-05,4.85E-05,0.000139888,0.000183975
VISC,0.000205828,0.000173759,3.70E-05,2.12E-05,9.21E-05,9.39E-05,0.000134817,5.22E-05,5.06E-05,0.000555673,0.000214104,0.001079282,0.000910546,0.001483327,0.000524166,7.03E-05,1.40E-05,2.64E-05,0.00011058,0.000120269,0.000236903,0.000290478,0.000204573,1.94E-05,1.57E-05,1.45E-05,2.36E-05,1.82E-05,3.77E-05,1.78E-05,1.55E-05,1.80E-05,1.92E-05,2.05E-05,1.78E-05,1.11E-05,6.46E-05,4.31E-05,1.77E-05,0.000113094,0.000331485,0.000385495,0.000833178
