mouse,probe_position,stim_current,stim_freq,unitID,waveform_duration,waveform_halfwidth,waveform_rep_slope,waveform_REP,waveform_amplitude,waveform_velocity_above,waveform_velocity_below,VL_pre,MMR_Pre,MMR_Post,MMR_stimOn,angle_pre_ch15,Nspikes_pre,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,pvalue_ch15_pre,VL_stimOn,angle_stimOn_ch15,Nspikes_StimOn,pvalue_ch15_stimOn,VL_post,angle_post_ch15,Nspikes_post,pvalue_ch15_post,peak_ch,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse577578,close,1,sine_140Hz,0,0.5287128712871287,0.1760576057605761,499.091375741082,0.2756975697569757,206.54824233751725,1.030150753768844,,0.0233940794902947,0.2343844617480751,0.2061791533941009,0.2215790866091435,0.6521929960695666,538.0,7.801934530057728,8.678677444451338,8.329934126722915,0.7974592535622314,0.0197508932778854,2.400923859469375,551.0,0.9376021689318984,0.0250155203710045,3.5639987593887863,582.0,0.806578498682319,0,PCN,3600,0.0216462483856074,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,398,0.4825382538253826,0.1830783078307831,447.78412523439465,0.3078307830783078,190.87317050367872,-0.6867671691792301,,0.0455857852337476,0.3411358529638791,0.3338320350291214,0.3286210359542213,4.987966739655027,226.0,7.801934530057728,8.678677444451338,8.329934126722915,0.481760263687262,0.0483126407777066,5.216909463743083,187.0,0.8268358563046545,0.0427212425139536,0.6104555898572955,207.0,0.7718185748702963,0,PCN,3600,0.0262067360937799,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,5,0.8103510351035105,0.2651665166516652,160.19500527409411,0.3286228622862285,117.17730899621816,0.8829863603732948,,0.0659512363749274,0.2651116064060813,0.2466693583470659,0.2365429761681232,2.2165225193442253,508.0,8.085421183232423,8.36920394038862,8.03889502063473,0.0914370848690151,0.0302481914771437,1.3263570436665963,450.0,0.5680712657474792,0.0517760004157851,4.457582961525223,499.0,0.2895729103280337,1,PCN,3600,0.0256177103187355,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,3,0.6858685868586859,0.2335733573357336,205.7354126852861,0.3920792079207923,126.39747260521736,-0.1373534338358454,,0.0356795980955297,0.1838784414789858,0.1771541622604051,0.1887274797169801,1.008169061086958,1335.0,8.085421183232423,8.36920394038862,8.03889502063473,0.6651012077291539,0.0303214149416555,4.14213887243653,997.0,0.7380658861520146,0.0271440128898023,6.088212964113898,1128.0,0.1750014394050281,1,PCN,3600,0.0254684121300131,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,399,0.5152115211521152,0.1965796579657965,298.694648142341,0.3534653465346535,148.45872221265108,0.0,,0.0368001824868953,0.2401163078733143,0.2973670646687359,0.2702924759973163,2.1308373779775285,359.0,8.286356350878583,9.249723036176515,8.940671645067793,0.1215049607096105,0.036390658875183,0.1564387913552931,388.0,0.903299221959349,0.0753522804923334,3.203699466054152,346.0,0.1617900738653212,2,PCN,3580,0.0233438081940648,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,9,0.4884788478847887,0.201980198019802,196.74980967405196,0.3607560756075607,104.6625614394719,-0.1569753529552525,,0.0318964266273677,0.3222881886206943,0.3139764216873365,0.3244483875354744,5.414210989049133,189.0,8.286356350878583,9.249723036176515,8.940671645067793,0.1294270411838941,0.0671359528201579,5.872066993162694,195.0,0.4276026263584883,0.0355317445813024,4.602504652383827,214.0,0.575342549037697,2,PCN,3580,0.0295153780216919,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,10,0.3807380738073807,0.2597659765976597,113.606988782622,0.2789378937893791,81.91789926537437,1.0873813512004469,0.6867671691792274,0.0250025815882073,0.1541273591823732,0.147443284705657,0.1752200373831033,1.4691612181517808,1288.0,8.100966248762067,8.570999645392234,8.234551134368958,0.2411735912100385,0.0448764240984503,6.222338722257728,1190.0,0.0304029195564562,0.0256038820445809,1.640844844919636,1197.0,0.6662032405727542,3,PCN,3580,0.0244733036443813,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,6,0.4741674167416742,0.2827182718271828,258.8674030680064,0.2135913591359137,168.75065463057405,0.6867671691792295,0.0,0.0236763460436792,0.1392671074479551,0.1317787846044016,0.1511827499290977,1.3247441181260338,1741.0,8.971646884773644,9.132043874037771,8.987683951357116,0.0353750584247144,0.0476281238778526,0.9655860407818304,1680.0,0.0022909919847038,0.0182245646050887,1.393319171305954,1723.0,0.2626146387195835,5,CL,3560,0.019633590260453,SSp-tr6a,2.9544458025152536
mouse577578,close,1,sine_140Hz,11,0.3712871287128714,0.1722772277227723,255.24957504074888,0.272997299729973,100.68552112414976,0.8241206030150754,1.716917922948073,0.0168065869932874,0.1413997358985083,0.1629681799007018,0.1624134146089796,5.358884552422035,1568.0,8.971646884773644,9.132043874037771,8.987683951357116,0.7261935354768746,0.0334978963807132,1.0596019040772164,1331.0,0.468971966035724,0.0230283777967615,4.052410497687805,1313.0,0.1942879289664962,5,CL,3560,0.021428783495353,SSp-tr6a,2.9544458025152536
mouse577578,close,1,sine_140Hz,15,0.4263726372637265,0.1674167416741675,587.6484779575974,0.3904590459045904,201.3828308313236,1.6482412060301503,0.0,0.0343483136133487,0.1520315439957294,0.1584155873448905,0.1697548760237004,2.433110416023867,1713.0,8.431676436794687,8.667202127720952,8.10973483101139,0.0157432882235725,0.0448012710761386,3.6915623994975535,1515.0,0.1256086153852635,0.0272392490163151,4.162105702642066,1396.0,0.1412267326223469,6,CL,3540,0.0095958161908805,SSp-tr6a,2.9544458025152536
