brain_area_,regions,area
visp,"['VISp1', 'VISp2/3', 'VISp4', 'VISp5', 'VISp6a', 'VISp6b']","['VISp1', 'VISp2/3', 'VISp4', 'VISp5', 'VISp6a', 'VISp6b']"
vispm,"['VISpm6b', 'VISpm5', 'VISpm6a']",[]
visam,"['VISam5', 'VISam6a']",[]
visa,"['VISa5', 'VISa6a', 'VISa4', 'VISa2/3']",[]
mop,"['MOp6b', 'MOp6a', 'MOp5', 'MOp2/3']",[]
mos,"['MOs5', 'MOs2/3', 'MOs6a', 'MOs6b']",[]
CA1,['CA1'],['CA1']
CA3,['CA3'],['CA3']
DG-po,['DG-po'],['DG-po']
DG-sg,['DG-sg'],['DG-sg']
DG-mo,['DG-mo'],['DG-mo']
rsp_agl,"['RSPagl6a', 'RSPagl2/3', 'RSPagl6b', 'RSPagl5']",[]
rsp_v,"['RSPv6b', 'RSPv6a']",[]
rsp_d,"['RSPd6a', 'RSPd5', 'RSPd2/3', 'RSPd1']",[]
SSp_ll,"['SSp-ll4', 'SSp-ll2/3']",[]
ACAv,"['ACAv5', 'ACAv2/3', 'ACAv1', 'ACAv6b', 'ACAv6a']",[]
ACAd,"['ACAd2/3', 'ACAd5', 'ACAd6a', 'ACAd6b']",[]
vis_thalamus,['LP'],['LP']
