mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,far,134,0.0130668834217206,0.0207569933131443,0.0117721982020058,2.706609437168394,1.3867737535428009,4.5912741907171615,0.1332702549496353,0.1326096387294897,0.1317082075758992,1796.0,1622.0,1793.0,17.96,16.22,17.93,10.207853960808482,13.501008187138774,10.248205299393016,2.7444261695297985,0.0182744810501705,mouse577578far134,0.1954995499549955,0.5819081908190821,0.3537353735373538,0
mouse577578,far,136,0.1416881331105011,0.1400287972020251,0.1778896570319627,1.6585798840144437,2.7073989031163244,2.693850534002216,0.4443761656330575,0.4958743444398974,0.5535289485729121,67.0,59.0,34.0,0.67,0.59,0.34,10.263727657224992,14.109152315327384,10.356148504008702,2.7361012408169403,0.0505589277243189,mouse577578far136,0.2470747074707471,0.7277227722772278,0.3918091809180921,1
mouse577578,far,151,0.0361711282404464,0.0343627978977308,0.0443906178387637,5.494997352257951,6.1441008526445104,0.8911239499083208,0.21211625239514897,0.2281983941941454,0.2054508499443568,646.0,603.0,853.0,6.46,6.03,8.53,10.3717735096601,14.380830504663498,10.31736454574542,2.7190301579791276,0.0395421844695637,mouse577578far151,0.2273627362736273,0.8719171917191721,0.4393339333933393,1
mouse577578,far,153,0.0580054801741176,0.0379037175950861,0.0470689462420175,5.151418831742791,2.821966459750536,2.5552567694574893,0.4876181168106072,0.3221171897167432,0.3672977656269107,54.0,271.0,179.0,0.54,2.71,1.79,11.421717254494713,15.000717314719903,10.845952815704603,2.7113188672673685,0.067905834124873,mouse577578far153,0.1849684968496849,0.8044104410441044,0.4531053105310531,1
mouse577578,far,156,0.0401817937121961,0.0184406257714991,0.0133644875736255,3.5350275173765158,3.7753079969522796,4.157247687707672,0.189547140598821,0.1594206552941253,0.1765395977167262,922.0,1374.0,920.0,9.22,13.74,9.200000000000001,11.421717254494713,15.000717314719903,10.845952815704603,2.7113188672673685,0.0872040627504745,mouse577578far156,0.4684968496849686,1.3123312331233126,0.4822682268226823,1
mouse577578,far,157,0.0672892650626837,0.0559069194325091,0.1664718066751987,1.5630683334322553,3.2247209382172914,4.843575409413024,0.3099616421437359,0.3304380366622674,0.4374215281431573,184.0,140.0,132.0,1.84,1.4000000000000001,1.32,10.15061072081821,14.518288853711017,10.47141389922125,2.7005786416988493,0.0214263200154012,mouse577578far157,0.1630963096309632,0.7841584158415844,0.3602160216021602,0
mouse577578,far,159,0.1892734743797532,0.114100634643993,0.0929383883575009,2.269587401260957,0.1207612997724253,2.828882253557719,0.527355024798967,0.4404516752786948,0.4240065695615622,55.0,64.0,108.0,0.55,0.64,1.08,10.306559913698457,14.65361078863032,10.132700882363167,2.7005786416988493,0.0331430336341311,mouse577578far159,0.1595859585958595,0.7968496849684971,0.5346534653465346,1
mouse577578,far,160,0.0216407515877343,0.0649483950959313,0.023449473957392,4.302272903734028,4.7330765319478605,4.53186513048945,0.2212304458912655,0.2195139409359461,0.1661311820882282,621.0,624.0,899.0,6.21,6.24,8.99,10.306559913698457,14.65361078863032,10.132700882363167,2.7005786416988493,0.0515930640520465,mouse577578far160,0.1612061206120613,0.9521152115211522,0.4598559855985598,1
mouse577578,far,167,0.0345138417399999,0.0281137681000326,0.0483880653316657,4.2866820657643805,5.503041460069624,4.669582351072315,0.2595372948194899,0.2858622227617459,0.2966542001884963,335.0,303.0,299.0,3.35,3.0300000000000002,2.99,9.716346966150539,14.804103607312634,10.065024639621596,2.6930466018990464,0.0880340432076251,mouse577578far167,0.1960396039603961,0.7919891989198922,0.3018901890189017,0
mouse577578,far,179,0.0234692354867008,0.0176060223862529,0.0364659578333116,5.252806032292452,3.136501050343405,0.400285924756082,0.1799037262941396,0.1771590007717036,0.1906771890094094,1024.0,829.0,792.0,10.24,8.290000000000001,7.92,10.186306416270783,15.362526114462455,10.431456421273486,2.686307875132707,0.0305597883120645,mouse577578far179,0.1185418541854185,0.3207920792079208,0.1863186318631864,0
mouse577578,far,185,0.0361297769186018,0.0357356084341815,0.0257545280169824,1.4479313641534621,3.8411259012245806,5.784108306545392,0.2293264600329086,0.2692693208817834,0.2162158122223421,453.0,343.0,500.0,4.53,3.43,5.0,8.748455355928396,15.607239199456384,8.751759848478624,2.662118517271536,0.0266382818611192,mouse577578far185,0.1776777677767776,0.4463546354635463,0.6089108910891089,0
mouse577578,far,187,0.0314012366434939,0.0261113328962919,0.0332187169643364,6.024354688431487,0.5886323163789177,4.730400348732816,0.2595741213448165,0.2476659382287173,0.2223461723284329,302.0,468.0,544.0,3.02,4.68,5.44,8.955941015677002,15.735159634538181,8.923776429119401,2.6554189876552443,0.0178091910608185,mouse577578far187,0.1765976597659766,0.4720072007200721,0.4296129612961297,0
mouse577578,far,194,0.0229861997913737,0.0388395973881278,0.0416220724292515,4.151481389319887,1.5703643625105737,0.4966939973617849,0.1831563015635044,0.2233097325680793,0.1863522239512364,1047.0,919.0,880.0,10.47,9.19,8.8,9.167076391109967,16.44283710251775,8.876261762492081,2.6609443812300926,0.0144809790027128,mouse577578far194,0.1895589558955895,0.510891089108911,0.5684068406840684,0
mouse577578,far,199,0.0536177728601258,0.0553090494846608,0.0436153217585608,5.9156587137063275,6.151722526667436,4.906263713009006,0.2027446930190898,0.2627052804182478,0.2124705574906821,612.0,427.0,453.0,6.12,4.2700000000000005,4.53,9.429098746227178,16.86931785237144,9.177065771937956,2.6449243845524206,0.0477619944744703,mouse577578far199,0.2360036003600361,0.4671467146714673,0.3027002700270027,0
