mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,close,27,0.0176804866126478,0.0244173125483299,0.0190337935791982,5.122713365871227,4.8637103233012535,3.8707567299549286,0.1431383862627986,0.154388013027242,0.1352219593165087,1492.0,1711.0,1752.0,14.92,17.11,17.52,8.733260207891933,13.57684449237927,9.195173129297071,2.2042572445157123,0.0245474912869962,mouse598183close27,0.2686768676867687,0.4703870387038703,0.1495949594959498,1
mouse598183,close,30,0.0348787153717836,0.0648132360640827,0.0792643556571493,1.5288526051774594,4.397861580504431,6.1267901745018865,0.2859554826186047,0.3189259658858025,0.2891481842751816,327.0,291.0,319.0,3.27,2.91,3.19,9.268386993881613,14.459648711503425,9.49183054906224,2.1699654375127735,0.0510912441422041,mouse598183close30,0.0988298829882988,0.2765076507650765,0.2127812781278127,0
mouse598183,close,38,0.0494831577413912,0.033976026067354,0.0307001581429017,3.3767914256768288,2.160995204202883,5.8886473116894615,0.2253513600726897,0.2176109957521144,0.2752717693100674,458.0,503.0,330.0,4.58,5.03,3.3000000000000003,9.192329671165387,14.272321743797285,9.529328141283226,2.1521791282325924,0.0215777321271339,mouse598183close38,0.0999099909990999,0.1603960396039604,0.13609360936093598,0
mouse598183,close,42,0.0259504713775914,0.0290277478521377,0.0162331390950184,5.731277560971713,6.1954224456193945,4.5031125369797715,0.2076590248370111,0.2260459526695818,0.19514921700086102,607.0,482.0,796.0,6.07,4.82,7.96,9.26669483812291,14.935140635017117,9.476062899733154,2.0837166314064883,0.0199297974826244,mouse598183close42,0.1514851485148515,0.3410441044104411,0.311881188118812,1
mouse598183,close,46,0.0147472926459228,0.0077162679698221,0.0254692137038533,1.447923642347115,1.2927089978277295,3.8099460646844334,0.1115443103311456,0.1142827984322296,0.1301413122211215,2626.0,2694.0,2789.0,26.26,26.94,27.89,9.241118191518176,15.137043009748972,9.358624047261172,2.0495426319059566,0.0106681984208079,mouse598183close46,0.1239423942394239,0.2808280828082808,0.20900090009000896,1
mouse598183,close,49,0.0373354597773097,0.0827710429237954,0.0517885684114443,0.6549701132606734,4.970549652621776,3.3768935270493503,0.3324760267793993,0.4498635338876692,0.3225850617456173,152.0,60.0,187.0,1.52,0.6,1.87,9.446168578213276,15.669629262735322,9.522965629467468,2.0256171898954647,0.0834206476139768,mouse598183close49,0.0791179117911791,0.1450045004500451,0.1304230423042304,0
mouse598183,close,50,0.0236381085216582,0.0316490311544486,0.0330938099198001,5.7641923100213965,0.3118895381022438,0.6334686841778531,0.2054156525090225,0.2177645670775669,0.1722069660186098,726.0,578.0,937.0,7.26,5.78,9.370000000000001,9.446168578213276,15.669629262735322,9.522965629467468,2.0256171898954647,0.0169270604205805,mouse598183close50,0.1355535553555354,0.2732673267326733,0.1973897389738974,1
mouse598183,close,53,0.0233372455021338,0.0749083361886541,0.0357952894648695,3.5668369425064577,2.268822281528501,3.9890806897917366,0.3791723099280492,0.4688935321596845,0.37316456130785,153.0,57.0,112.0,1.53,0.5700000000000001,1.12,9.612625117669944,16.051665671593963,9.750874544960752,1.9913877071027632,0.0444490792953184,mouse598183close53,0.1379837983798379,0.5279027902790281,0.3540054005400539,1
mouse598183,close,51,0.0413457755337749,0.0250339970783589,0.0143586917965722,5.870695740884592,3.8846257212463247,5.168793483358809,0.2171911611399732,0.1860169698890656,0.1584729125311837,838.0,907.0,1345.0,8.38,9.07,13.450000000000001,10.289360972085332,16.544476759042716,10.555405066532012,1.9913877071027632,0.0276084287596078,mouse598183close51,0.1657965796579658,0.2667866786678667,0.2017101710171017,1
mouse598183,close,523,0.0690212330954808,0.0785527034991018,0.0609584756058915,0.8492080172138781,1.9293920425899267,4.036656504534316,0.3578401029463047,0.3515148153268819,0.3513871418634919,174.0,189.0,151.0,1.74,1.8900000000000001,1.51,9.659366768684317,16.221842832950596,9.85292685060937,1.9738920943151883,0.0772470770471295,mouse598183close523,0.1539153915391539,0.3540054005400541,0.3248424842484247,1
mouse598183,close,58,0.0093833962364749,0.0127934439655579,0.0031711356941771,4.552168961399082,3.578167539905508,4.7320869441796445,0.0741263490554005,0.0639875159373993,0.0599691250495226,7188.0,9237.0,10976.0,71.88,92.37,109.76,10.212694906976967,16.926924513755612,10.29453339909498,1.957198252604984,0.0403516076658255,mouse598183close58,0.1501350135013501,0.2675967596759676,0.2235823582358235,1
