mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,240,0.0145625211901602,0.03634812038904799,0.0254149857148759,0.951993418238716,2.796464853503786,3.5229780576989813,0.166535939516861,0.1827585187843503,0.1610539965801327,1058.0,966.0,942.0,10.58,9.66,9.42,17.724344488439968,29.83365329841063,18.904709794378462,1.3430376018563293,0.0193087885464845,mouse577578close240,0.1234023402340234,0.3885688568856885,0.2651665166516652,0
mouse577578,close,241,0.0509039510448426,0.0396045472546876,0.0587459829523138,5.271976153708216,6.051166491261702,1.2028892559346664,0.2527222848829182,0.3379131331189612,0.3154877799716233,407.0,169.0,195.0,4.07,1.69,1.95,17.724344488439968,29.83365329841063,18.904709794378462,1.3430376018563293,0.0452888579543923,mouse577578close241,0.1782178217821782,0.5797479747974799,0.3448244824482449,0
mouse577578,close,242,0.0120864909271648,0.0182641862725664,0.0060131038302386,3.9436021100843135,4.786870171389778,3.7861691294411677,0.09628523971035302,0.1077814754295154,0.110131321172861,3145.0,2869.0,2476.0,31.45,28.69,24.76,17.516368326016313,29.934889610760607,18.537632562183703,1.3202745926510897,0.0126501473578366,mouse577578close242,0.1612061206120613,0.3861386138613862,0.2935193519351935,0
mouse577578,close,243,0.0413127109448934,0.0571950266441007,0.0401334725325871,1.3159406779296985,0.6286686977511846,1.0322819655656703,0.2626725891541344,0.2580684719352831,0.2868508493695853,359.0,377.0,391.0,3.59,3.77,3.91,17.516368326016313,29.934889610760607,18.537632562183703,1.3202745926510897,0.0273175913365383,mouse577578close243,0.20603060306030602,0.491989198919892,0.3081008100810081,0
mouse577578,close,244,0.0766082441786418,0.0641499177815486,0.0796377726348566,0.2032067336350765,0.2352297458572672,5.267984116872316,0.4486285542950317,0.4420613831292337,0.4322379325473207,75.0,126.0,96.0,0.75,1.26,0.96,17.516368326016313,29.934889610760607,18.537632562183703,1.3202745926510897,0.0609521156225577,mouse577578close244,0.1906390639063906,0.5335733573357337,0.3075607560756075,0
mouse577578,close,247,0.0424918886202845,0.0218148000474828,0.0198132554579348,4.081856668333007,4.8652714681627085,5.086337047737954,0.1626990001518786,0.1485215645810887,0.1578443251440445,1365.0,1243.0,1369.0,13.65,12.43,13.69,18.04780533461369,31.06378616742588,19.21831569055584,1.297593927236098,0.0137905556548965,mouse577578close247,0.1477047704770476,0.2991899189918992,0.3818181818181818,0
mouse634572,close,75,0.076885064681492,0.0669178539913237,0.0862039661276696,3.8429907052053087,2.3028726465296474,0.8607739031129749,0.4922067056644311,0.2723904163312751,0.5888371505304943,63.0,225.0,39.0,0.63,2.25,0.39,30.460203579316264,45.098201666723064,31.568353201198548,1.5087246269614614,0.0528454154064286,mouse634572close75,0.2638163816381638,0.6440144014401441,0.4371737173717375,2
mouse634572,close,88,0.1432310142298639,0.1008024427954845,0.12583144419597098,5.765175721041287,5.8150613119410215,5.556248398927657,0.24739993880097003,0.21872896682541698,0.2467834138095115,3114.0,2955.0,3512.0,31.14,29.55,35.12,28.78654135052566,46.53312130133657,30.118219740326246,1.425,0.0204741991334168,mouse634572close88,0.1436543654365436,0.2702970297029703,0.2465346534653465,0
mouse657905,close,173,0.0130220521683662,0.0372692990797113,0.036827949391834,5.15525531885452,1.3329279410324106,4.917668159590947,0.1734814194191228,0.2272528215787754,0.1844468686226138,849.0,582.0,870.0,8.49,5.82,8.700000000000001,19.65779269976932,29.03367914394441,19.47741989492213,1.6170961628796228,0.0179484837141128,mouse657905close173,0.1701170117011701,0.459045904590459,0.3097209720972098,0
mouse657905,close,179,0.0881202297494324,0.0238605483623304,0.0688326758446302,1.1477998375834717,4.794279071896266,0.2404924418642553,0.4070248508047879,0.1825401004517696,0.2554914475418716,105.0,783.0,640.0,1.05,7.83,6.4,21.124956593800107,30.152308509338326,21.000082742689347,1.5854809995707928,0.0562922077676955,mouse657905close179,0.2681368136813682,1.7111611161116111,0.2562556255625563,3
mouse657905,close,180,0.0847661433793916,0.0576214389203528,0.0722391612821907,3.48606807279094,4.145535295249755,4.123606219223216,0.2847685609666496,0.2273884973677181,0.2465586387699763,573.0,948.0,582.0,5.73,9.48,5.82,23.187589040581287,31.884854391104664,22.824225635029396,1.5622499799967997,0.0338624192890082,mouse657905close180,0.1439243924392439,0.2500450045004501,0.2662466246624663,0
mouse657905,close,188,0.0491456848812631,0.0179298622661337,0.0114149664798886,0.7470266012227593,4.334927339518198,4.386467100407759,0.1726122201943985,0.1711211828153936,0.1174556730374607,1722.0,1216.0,1870.0,17.22,12.16,18.7,24.06578031929284,32.62941127212501,23.381734076900592,1.5540270267920056,0.0139275527212811,mouse657905close188,0.1836183618361836,0.6078307830783081,0.363186318631863,0
mouse657905,close,195,0.0359147416698915,0.0551326675628391,0.0208611877411884,4.71142130852214,1.4462459806582244,5.627537474496345,0.1922765275923108,0.2583576414579714,0.1841804411934537,887.0,336.0,726.0,8.870000000000001,3.36,7.26,26.162719694242092,34.60442554667675,25.394129774792106,1.522744233284106,0.052971056399942006,mouse657905close195,0.2252025202520251,0.7066606660666067,0.4841584158415842,2
mouse657905,close,196,0.1025061775653824,0.0395597687613034,0.0513577551963207,6.015918587774503,4.590583829978578,0.9813549355348568,0.4171049466420857,0.3373390554542249,0.3503836205044017,130.0,212.0,190.0,1.3,2.12,1.9000000000000001,26.162719694242092,34.60442554667675,25.394129774792106,1.522744233284106,0.0531778725347526,mouse657905close196,0.2767776777677768,0.6491449144914493,0.43879387938793896,2
