mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598181,close,105,0.0775760692877426,0.0516120272400109,0.0539982241534554,3.6565158441788412,3.0421551818350463,3.4072024442563063,0.32051148121816103,0.2874476758509351,0.2661135943265291,556.0,543.0,649.0,5.5600000000000005,5.43,6.49,13.553124491403056,41.33515003067832,13.244425971695206,1.5074813431681335,0.0286492270104415,mouse598181close105,0.1468946894689469,0.4468946894689469,0.2648964896489649,0
mouse598181,close,762,0.10609250159663002,0.1130114971497364,0.1255118973839476,2.513462040389413,3.7059897080429214,1.8513095875403025,0.3648964804956414,0.3917624604316471,0.3983800503254216,140.0,113.0,149.0,1.4000000000000001,1.1300000000000001,1.49,13.605602099462294,43.228929853709715,13.390750530333447,1.4760589419125512,0.0410889497189494,mouse598181close762,0.3226822682268227,0.6567056705670568,0.1984698469846986,1
mouse598181,close,117,0.0994694220926047,0.0793468781745711,0.0646462048327193,0.8754295411260721,4.633599314462987,1.7287765663793997,0.2712320411762295,0.2704887460237452,0.2612612689999068,965.0,656.0,654.0,9.65,6.5600000000000005,6.54,13.438363359057089,45.362862675188715,13.212035890859607,1.42148689758295,0.0231274855781377,mouse598181close117,0.2297929792979298,0.5376237623762377,0.4053105310531053,1
mouse598181,close,118,0.0207580224515839,0.0179049544457646,0.0563428317750958,4.670339692083752,3.2555248224917395,2.7453945463107545,0.3205427472553153,0.2901516295061157,0.3522343846950832,174.0,277.0,252.0,1.74,2.77,2.52,13.438363359057089,45.362862675188715,13.212035890859607,1.42148689758295,0.0745272624185336,mouse598181close118,0.3658865886588661,0.5697569756975699,0.2203420342034203,1
mouse598181,close,121,0.0760002142475171,0.0787850317299174,0.0892508716791226,1.5383855384367768,3.1307630910023505,2.1698938387890148,0.2484929418404741,0.2940405445538381,0.2851534478025344,482.0,394.0,536.0,4.82,3.94,5.36,13.710520329248624,47.614309217289744,13.478265590173324,1.3982131454109563,0.0411725038582401,mouse598181close121,0.2738073807380738,1.2569756975697572,0.2006300630063004,1
mouse598181,close,122,0.0864855338045809,0.004297215717204001,0.0958256709182957,1.5127524874028746,1.1959158166765254,1.5866200684006757,0.2347145722942868,0.1567666247390899,0.225982553517992,684.0,904.0,835.0,6.84,9.040000000000001,8.35,13.710520329248624,47.614309217289744,13.478265590173324,1.3982131454109563,0.0492381122471562,mouse598181close122,0.2338433843384338,0.672907290729073,0.8206120612061206,1
mouse598181,close,130,0.07536966077424401,0.0307916429228882,0.0663234150269124,1.5136091282901896,3.485024752014805,1.9130940559727403,0.2648821023189626,0.2234904308508774,0.2093709719122228,479.0,468.0,525.0,4.79,4.68,5.25,14.536094314336395,49.95847046296696,14.095711113314445,1.3903686561484332,0.0279192454148662,mouse598181close130,0.1998199819981998,0.5441044104410442,0.3837083708370838,1
mouse598181,close,129,0.0943154181332772,0.0770334547087159,0.157001401074083,1.2976229877367396,2.0990496094486963,1.8334359473305848,0.3203829281331251,0.22643692897959,0.3069157874188202,266.0,368.0,394.0,2.66,3.68,3.94,14.536094314336395,49.95847046296696,14.095711113314445,1.3903686561484332,0.0284763277915404,mouse598181close129,0.1744374437443745,0.6372637263726373,0.3847884788478849,1
mouse598181,close,131,0.0640220574850016,0.027162165390864,0.051154365631407,2.5842434355290482,1.7478868882186775,2.9870950072998874,0.253888992312921,0.1963061795455584,0.1944658852887681,1221.0,957.0,1016.0,12.21,9.57,10.16,14.536094314336395,49.95847046296696,14.095711113314445,1.3903686561484332,0.0506522084496582,mouse598181close131,0.1979297929792979,0.7684968496849687,0.648874887488749,1
mouse598181,close,140,0.0837893586556805,0.0483490953124029,0.0431757202269953,2.8380169565641897,3.0665971899168767,2.8077612799714067,0.2766287796915308,0.2769456603818575,0.2394153981125145,516.0,405.0,466.0,5.16,4.05,4.66,15.538929017118996,50.324306533347034,15.123872676136553,1.3670223114492317,0.0461648332617646,mouse598181close140,0.2565256525652565,0.6507650765076508,0.7900990099009902,1
mouse598181,close,139,0.0544583396425225,0.0132034033533363,0.062335524984545,1.7992551900329212,3.019752120304217,2.123003770613791,0.254078995493281,0.1997997878217612,0.2649034873878863,669.0,605.0,435.0,6.69,6.05,4.3500000000000005,15.538929017118996,50.324306533347034,15.123872676136553,1.3670223114492317,0.0327852461792355,mouse598181close139,0.1787578757875787,0.5076507650765079,0.3245724572457245,0
mouse598181,close,143,0.1261094391780068,0.0118325247085076,0.1374508897963211,2.3733916069849967,3.2881760035647543,2.1307993678599484,0.3580564346586926,0.2620266896811703,0.3438250919529045,394.0,426.0,513.0,3.94,4.26,5.13,16.74041107352253,51.219544063583434,16.30070068183921,1.336038921588739,0.035114385826247006,mouse598181close143,0.1898289828982898,0.5570657065706571,0.493879387938794,1
mouse598181,close,141,0.0856083467672615,0.024703951264409,0.0640550559673208,2.5031355955141263,2.5393093771192814,1.7611164966377244,0.259667316916964,0.1581002908083346,0.2078315703698201,673.0,769.0,728.0,6.73,7.69,7.28,16.74041107352253,51.219544063583434,16.30070068183921,1.336038921588739,0.0296055301221092,mouse598181close141,0.20792079207920802,0.5981098109810982,0.5573357335733576,1
mouse598181,close,144,0.0851265642662903,0.0530085587476825,0.0430114250348099,1.861972961606992,1.424352584190413,1.5478591913202786,0.2747217048215385,0.2657637008105103,0.2273021432382682,404.0,444.0,527.0,4.04,4.44,5.2700000000000005,16.74041107352253,51.219544063583434,16.30070068183921,1.336038921588739,0.0218948642531491,mouse598181close144,0.1585058505850585,0.6024302430243025,0.3993699369936992,1
mouse598181,close,145,0.0524804389135776,0.05634271762573901,0.0750642210809686,2.9084020982581453,2.0778716707218527,2.1860808817839885,0.1888155304345867,0.2082024021703256,0.2348315833518973,1148.0,788.0,930.0,11.48,7.88,9.3,16.74041107352253,51.219544063583434,16.30070068183921,1.336038921588739,0.0401509580880814,mouse598181close145,0.2403240324032404,1.1144014401440143,0.7617461746174619,1
