mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,far,304,0.2795469200562881,0.1675731402844102,0.0999515093772701,4.482249421337699,4.057029263082898,5.85584760415087,0.5549090998176633,0.4507155904738741,0.4875066888949114,56.0,87.0,61.0,0.56,0.87,0.61,8.270138989227735,39.000112696191565,8.059399718147331,3.6594056894528664,0.0408228500618138,mouse598183far304,0.1482448244824482,0.5270927092709272,0.3283528352835283,1
mouse598183,far,2,0.0383602863874029,0.0258703728224079,0.0628154698586464,2.9936902274745245,0.0707121918924663,5.374429712883247,0.202039990128246,0.2110899896570142,0.2211574444563585,878.0,718.0,812.0,8.78,7.18,8.120000000000001,9.046383944852025,39.47359243773375,8.979085073019515,3.6594056894528664,0.0122057599915515,mouse598183far2,0.2330333033303331,0.6189018901890191,0.3467146714671466,0
mouse598183,far,1,0.0451527895870237,0.0325992895783798,0.0610933410009174,5.160194009100903,5.438361574354764,5.188901699808021,0.1749517412118688,0.1662046346885989,0.2016602491406753,1598.0,1782.0,1342.0,15.98,17.82,13.42,9.046383944852025,39.47359243773375,8.979085073019515,3.6594056894528664,0.0366986894977379,mouse598183far1,0.2100810081008101,0.6564356435643565,0.3723672367236724,0
mouse598183,far,305,0.0636953414419039,0.0631780176932291,0.077377179781107,4.99710929901826,4.819473707989684,3.9538146285630518,0.2380964053203138,0.2602098015250266,0.2981410822818138,491.0,359.0,267.0,4.91,3.59,2.67,9.046383944852025,39.47359243773375,8.979085073019515,3.6594056894528664,0.0220505020583786,mouse598183far305,0.2117011701170117,0.5306030603060307,0.3345634563456345,1
mouse598183,far,3,0.0758423899381419,0.0127143396728663,0.056325370449952,4.791249115095383,5.00899581258389,4.700998413900512,0.2208478321277465,0.1817869551916503,0.2101485227097521,980.0,1173.0,896.0,9.8,11.73,8.96,9.046383944852025,39.47359243773375,8.979085073019515,3.6594056894528664,0.0168657043310679,mouse598183far3,0.2303330333033304,0.5411341134113412,0.34401440144014395,0
mouse598183,far,7,0.0642691885562685,0.0461692829133066,0.0688999888301143,5.107531818116648,3.432287072028726,5.436342405065824,0.2056308348146584,0.1773911616796115,0.2540799066467232,731.0,715.0,880.0,7.3100000000000005,7.15,8.8,8.407618274594858,39.20343809497186,8.226706554194681,3.639625667565279,0.0172274856107015,mouse598183far7,0.1930693069306931,0.5600360036003602,0.3342934293429342,1
mouse598183,far,8,0.0316739834204265,0.0082854771043295,0.0417801014845639,4.445444227199856,6.22129138396512,5.173018743484233,0.1917091817798591,0.1071124738931481,0.1862684138131231,1074.0,1237.0,1224.0,10.74,12.370000000000001,12.24,9.034302487946775,39.31535823311084,9.074747462744332,3.639625667565279,0.0299587191802965,mouse598183far8,0.1809180918091809,0.5233123312331234,0.2775877587758777,1
mouse598183,far,9,0.1101298012793492,0.0283900164849126,0.0893293616157426,4.683488772584688,6.042147034101635,4.92778531080905,0.2825148832049386,0.2985498811942477,0.2388033227141169,661.0,695.0,840.0,6.61,6.95,8.4,8.176622832116063,39.358608678325155,7.945641749835741,3.6199102198811515,0.0277519281345045,mouse598183far9,0.2098109810981098,0.5149414941494149,0.3378037803780378,1
mouse598183,far,12,0.0419305018822309,0.0117341452598957,0.0397368188139092,5.154222804298972,5.583430437122481,4.949213343135988,0.1817157230756481,0.2142023366650078,0.183042008147459,1319.0,1115.0,1137.0,13.19,11.15,11.370000000000001,8.93374390545263,39.843343876360585,8.763506640924003,3.6199102198811515,0.038467829051063995,mouse598183far12,0.1909090909090909,0.504950495049505,0.3224122412241224,1
mouse598183,far,307,0.0467847886095609,0.0321598412647371,0.0489657463464421,4.996946927604403,2.890128444464137,5.727801044310898,0.1782490308212609,0.1472971616597337,0.1986006762351959,983.0,834.0,840.0,9.83,8.34,8.4,8.93374390545263,39.843343876360585,8.763506640924003,3.6199102198811515,0.0229667080930386,mouse598183far307,0.3032403240324032,0.5902790279027904,0.3510351035103509,0
mouse598183,far,13,0.0211118732030053,0.0317760924509218,0.0269836993590575,5.7386005944513885,4.985982014114166,4.728710179416608,0.1722056145453572,0.1715487300093729,0.1695004255929514,1134.0,1125.0,1237.0,11.34,11.25,12.370000000000001,9.568987614972936,37.98674979441003,9.35298167487171,3.600260407248342,0.0223673497854864,mouse598183far13,0.213051305130513,0.5519351935193519,0.3596759675967598,0
mouse598183,far,14,0.0619976426400816,0.0825928851445811,0.0326685816280235,5.202571689052384,3.7316613252466935,4.971974750471466,0.2743972564171684,0.2626686074968911,0.2110327630222999,383.0,353.0,512.0,3.83,3.5300000000000002,5.12,9.568987614972936,37.98674979441003,9.35298167487171,3.600260407248342,0.0262409583960482,mouse598183far14,0.2168316831683168,0.5432943294329434,0.3383438343834384,1
mouse598183,far,16,0.0358435536438971,0.0471003452263632,0.0278036231146469,4.407016736534528,1.1173271869628554,4.8518856545712685,0.3239370982974051,0.364049096565397,0.2682957589973803,257.0,230.0,342.0,2.57,2.3000000000000003,3.42,11.24478645912038,37.574526581686825,10.93800093414824,3.600260407248342,0.0222024720267483,mouse598183far16,0.1698469846984698,0.5370837083708372,0.3313231323132313,1
mouse598183,far,17,0.0824926725034809,0.0144105148393118,0.0537109242599406,4.778699188557206,5.318129451443827,4.938122754748784,0.23208711451470398,0.1678356943962801,0.1935780446124871,900.0,888.0,838.0,9.0,8.88,8.38,9.627691035200751,37.979720199877406,9.500026747871301,3.5806773102305662,0.0221075482032766,mouse598183far17,0.2168316831683169,0.5538253825382541,0.3623762376237622,0
mouse598183,far,19,0.0357687958961289,0.07971354580727401,0.0538576997326327,4.770891175817839,2.4359995094497258,3.8159992738898656,0.2410906559759973,0.2631172241702609,0.2090264942307616,461.0,497.0,441.0,4.61,4.97,4.41,11.040660094839179,38.39507631907388,10.843116745424778,3.5704516521022938,0.0281859126530663,mouse598183far19,0.157965796579658,0.5300630063006301,0.3051305130513053,1
mouse598183,far,20,0.0549163361856131,0.0199978931715616,0.0211207713355747,1.9521084664713235,6.060004175130548,1.313768472352994,0.2141578628872186,0.1947530691780835,0.1919679045914854,815.0,952.0,969.0,8.15,9.52,9.69,11.040660094839179,38.39507631907388,10.843116745424778,3.5704516521022938,0.0210700522615923,mouse598183far20,0.1855085508550855,0.5162916291629163,0.3456345634563458,1
mouse598183,far,21,0.0425262021290124,0.0038514634340451,0.0589217029751274,2.5617848349702252,2.2890866620091948,3.1215757598202867,0.2181053802455475,0.2224564765258394,0.2604608906037409,722.0,597.0,601.0,7.22,5.97,6.01,11.040660094839179,38.39507631907388,10.843116745424778,3.5704516521022938,0.0201963962527578,mouse598183far21,0.2721872187218722,0.6664266426642667,0.3634563456345633,0
mouse598183,far,22,0.0548898557418781,0.0096238590007581,0.0450944260841709,4.65219847023133,4.512479304580546,5.161439575223745,0.2172783445898058,0.1924220774190336,0.2058867617315791,810.0,852.0,1000.0,8.1,8.52,10.0,9.832316551296547,37.96444230037686,9.732033996855213,3.5508801725769352,0.012691270755291001,mouse598183far22,0.22007200720072,0.5235823582358238,0.3356435643564355,1
mouse598183,far,24,0.0294285400038817,0.0034945380770933,0.0262360577267731,5.0388193066766265,1.99912522133403,1.1053807442972743,0.1574534387309028,0.1825440634440062,0.1716839557148291,1096.0,1092.0,1116.0,10.96,10.92,11.16,11.350242387394454,38.1458761384375,11.193840191027343,3.5508801725769352,0.0173991228812593,mouse598183far24,0.2594959495949596,0.5867686768676867,0.3683168316831685,0
mouse598183,far,310,0.1089546638931431,0.06071311411626,0.0506852036285268,3.804495494419232,2.7345578136881477,3.147324558239269,0.3814610436164397,0.3448922619596712,0.3242767832031459,134.0,207.0,175.0,1.34,2.07,1.75,10.548568638655642,38.18250740234088,10.501662293563527,3.5313772100980665,0.0210150100610657,mouse598183far310,0.1803780378037803,0.5127812781278128,0.3024302430243024,1
mouse598183,far,33,0.026859208669562,0.0765088907142815,0.0376123832938447,1.96212644512743,4.454542648469965,2.6573531801355394,0.2928896119258204,0.2898781794753841,0.328904460216164,223.0,208.0,203.0,2.23,2.08,2.0300000000000002,9.844253303944582,37.82945100131157,9.628783391558825,3.5119439061579563,0.0345445657969551,mouse598183far33,0.2179117911791179,0.5783978397839785,0.3413141314131414,0
mouse598183,far,32,0.0654661804620374,0.0209990679474063,0.0251855062206833,4.471283912965738,5.245338165454927,1.5580217272623031,0.2735085941941719,0.2218013004985492,0.2154541769666923,357.0,490.0,430.0,3.5700000000000003,4.9,4.3,9.844253303944582,37.82945100131157,9.628783391558825,3.5119439061579563,0.0178743910827807,mouse598183far32,0.1892889288928892,0.5297929792979299,0.3297029702970298,1
mouse598183,far,36,0.0478754789950825,0.0318475616095724,0.0641399969915302,2.4298718068418377,5.29378652052702,4.896527256735592,0.3510416608158369,0.3436237254976697,0.3599392064701821,147.0,172.0,160.0,1.47,1.72,1.6,11.65459080719335,38.449592402519016,11.762452754329246,3.5119439061579563,0.016071126707996,mouse598183far36,0.17902790279027897,0.551935193519352,0.3151215121512152,1
mouse598183,far,35,0.0526632731213678,0.032342936670455,0.0266212036452707,4.804323791624954,4.577109131695454,4.64151924142644,0.1930347830174467,0.203258372103589,0.15610359517417802,882.0,850.0,902.0,8.82,8.5,9.02,11.65459080719335,38.449592402519016,11.762452754329246,3.5119439061579563,0.031422752021662004,mouse598183far35,0.3110711071107111,0.5756975697569757,0.3324032403240324,0
