mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598180,close,21,0.0138955377651064,0.0171359209248339,0.0297208429800493,3.5850956821908238,3.0685166809693705,2.6772019976467365,0.1182720854974628,0.1079134666733632,0.1368812741702691,2384.0,2110.0,2036.0,23.84,21.1,20.36,8.935991263654207,227.3210384463921,8.852767607102589,2.985067000923096,0.0520899431378102,mouse598180close21,0.0939693969396939,0.2192619261926193,0.1485148514851485,0
mouse598180,close,33,0.0667935700685978,0.0203043405812119,0.0416971243711201,3.0410167719805896,0.0043989842143259,0.0954766360126409,0.2705382061537848,0.2705552144824104,0.3258477050731905,363.0,309.0,219.0,3.63,3.09,2.19,7.294067177678866,229.6901828716662,7.01803055846913,2.8381331892636754,0.0413303830759802,mouse598180close33,0.1158415841584159,0.2551755175517551,0.1968496849684969,0
mouse598180,close,35,0.0442356713158621,0.0342819276567165,0.1037458979740374,2.6002826240269004,0.3476525864068281,4.831509172642672,0.2145567827644757,0.1861913538680132,0.3917063893730024,563.0,548.0,104.0,5.63,5.48,1.04,6.9911083032384,230.24801003096158,6.737830444749157,2.8143604957432156,0.0361036819395255,mouse598180close35,0.2111611161116111,0.8854185418541856,0.4825382538253825,1
mouse598180,close,38,0.0408140254469559,0.0269235967755662,0.0587885974189422,3.3088859665042762,4.908437451065431,1.199927572347354,0.2693683396637956,0.2892681319473703,0.4398560288318177,284.0,159.0,70.0,2.84,1.59,0.7000000000000001,7.142956414785041,231.83133863601668,6.760289399759556,2.7154649693929036,0.0605374227497956,mouse598180close38,0.2964896489648966,0.7528352835283529,0.4536453645364536,1
mouse598180,close,517,0.0502519210300473,0.0831827731499938,0.1054321452389763,2.9282710048428275,5.192952976250176,1.0030614367306234,0.2728143061150504,0.3259414416700109,0.3484051382492221,316.0,147.0,189.0,3.16,1.47,1.8900000000000001,7.096847070950849,233.19024569149482,6.9409298514941975,2.7154649693929036,0.0489474887211248,mouse598180close517,0.1911791179117912,0.6356435643564357,0.4730873087308734,1
mouse598180,close,40,0.0860057710579609,0.055901963840837,0.0774719003206119,4.257254456011413,0.7246963595043443,3.562538063139194,0.3317891618696641,0.2464182611930664,0.3904688735496081,238.0,287.0,134.0,2.38,2.87,1.34,7.096847070950849,233.19024569149482,6.9409298514941975,2.7154649693929036,0.03623274369032701,mouse598180close40,0.2341134113411341,0.3207920792079208,0.2635463546354636,0
mouse598180,close,51,0.0401315363492791,0.0255602271004314,0.036820189049326005,3.35687488720298,1.5408619635959426,5.4342724912717815,0.2778193224853041,0.2985506006174167,0.3615138355801576,276.0,273.0,130.0,2.7600000000000002,2.73,1.3,9.732684973858065,237.83264883518999,9.695311781906023,2.5972341057363315,0.0245959019877719,mouse598180close51,0.1333933393339335,0.2419441944194419,0.4312331233123312,0
mouse598180,close,715,0.0388148254339377,0.0503261962765908,0.0222063036097467,4.294100671929376,3.218902876574222,3.5852390382829618,0.2024623938717974,0.2211479366427081,0.21153690444134998,735.0,723.0,695.0,7.3500000000000005,7.23,6.95,9.732684973858065,237.83264883518999,9.695311781906023,2.5972341057363315,0.0295997737070472,mouse598180close715,0.2006300630063007,1.4041404140414042,0.2227722772277229,1
mouse598180,close,57,0.0663038631044063,0.0557956471621392,0.1267102811312477,4.5886482541983415,2.6741653067884457,2.212810697101194,0.2955569728832599,0.3821737256829615,0.4061901246775901,184.0,199.0,103.0,1.84,1.99,1.03,9.312625018439816,237.23550627604047,9.397422964174924,2.5736647023262376,0.0201964173710909,mouse598180close57,0.115031503150315,0.2430243024302429,0.1930693069306932,0
mouse598180,close,717,0.0235182145837773,0.0334733809888333,0.0478414475342579,3.1429102134519216,0.4134341650354584,4.759550445798112,0.2279943907605751,0.2926521430775435,0.27577808246674895,379.0,334.0,379.0,3.79,3.34,3.79,8.114773594288716,239.73770247388785,8.037763639437356,2.452039967047846,0.0396764072547538,mouse598180close717,0.20900090009000896,1.4281728172817283,0.4558055805580556,1
