mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,428,0.0462354540644532,0.0480906189778912,0.0388956679905002,2.355489048571276,1.8551158736366804,5.007662234998789,0.198048079745792,0.1319454935989195,0.2334136713525788,658.0,812.0,712.0,6.58,8.120000000000001,7.12,19.63353170575334,154.47499166817158,20.16517835443521,1.2098553632562865,0.0405141319842545,mouse577578close428,0.1946894689468947,0.4817281728172818,0.3928892889288928,0
mouse577578,close,264,0.0706862078556876,0.0505441884276022,0.0366819175306243,6.159789595850514,0.5446551566947122,5.143819797169626,0.2703801919365814,0.1893625770736716,0.2405790293971766,456.0,386.0,332.0,4.5600000000000005,3.86,3.3200000000000003,19.63353170575334,154.47499166817158,20.16517835443521,1.2098553632562865,0.039446824012777,mouse577578close264,0.18010801080108,0.4906390639063908,0.3224122412241224,1
mouse577578,close,430,0.0399312939526123,0.0492973141826021,0.0203325191639589,4.011739961491822,0.7261660138044499,3.6421585701440895,0.3009458357069802,0.3083420172773046,0.2791170568151239,306.0,221.0,285.0,3.06,2.21,2.85,21.263765402736343,158.43953831002432,21.794354037483874,1.1876973520219705,0.0436884060820202,mouse577578close430,0.2254725472547254,0.4995499549954995,0.3842484248424844,0
mouse577578,close,271,0.0163219025091135,0.0341756810786813,0.0555788857575604,2.3451708029404803,3.2612804554431136,5.648009460045581,0.1542799630979665,0.1672718805501387,0.1738884532041661,1413.0,1243.0,1020.0,14.13,12.43,10.200000000000001,21.263765402736343,158.43953831002432,21.794354037483874,1.1876973520219705,0.0167173333426799,mouse577578close271,0.1625562556255626,0.3683168316831684,0.2886588658865887,1
mouse577578,close,269,0.0241067153562435,0.0324903242599734,0.066881540391045,2.7607246700211556,2.5976349139040753,3.2552514555693923,0.1752938793568189,0.2363554374838679,0.2211777918049945,893.0,1014.0,799.0,8.93,10.14,7.99,21.263765402736343,158.43953831002432,21.794354037483874,1.1876973520219705,0.0260503105571136,mouse577578close269,0.2562556255625563,0.5729972997299732,0.3542754275427542,0
mouse577578,close,270,0.0275038804180787,0.0151473866413873,0.0377913092849636,0.8484640056607099,4.2258618807311645,3.0641776784544548,0.1684843269168578,0.1938199953726297,0.1800117969841445,1132.0,886.0,1103.0,11.32,8.86,11.03,21.263765402736343,158.43953831002432,21.794354037483874,1.1876973520219705,0.0341149049567705,mouse577578close270,0.2819081908190819,0.7495949594959498,0.4703870387038703,0
mouse577578,close,272,0.0377454269925773,0.0368295508143505,0.0646293997924313,5.192315220802497,2.6845848324858608,2.1548580071636345,0.2333049435339101,0.3204188995844365,0.2883005114489023,480.0,589.0,533.0,4.8,5.89,5.33,21.134219027666,161.66293671363837,21.532404395604182,1.1562331079847181,0.0303786442117496,mouse577578close272,0.1971197119711971,0.6251125112511252,0.4463546354635465,0
mouse577578,close,273,0.0331797375161896,0.0319493151768897,0.0311559106611549,3.94352971946069,3.3327135688191345,2.2559968178883354,0.2336573135530092,0.2105319966890029,0.19375916583800196,741.0,765.0,789.0,7.41,7.65,7.890000000000001,21.134219027666,161.66293671363837,21.532404395604182,1.1562331079847181,0.0152020838280862,mouse577578close273,0.3199819981998201,0.6445544554455447,0.5667866786678669,0
mouse577578,close,274,0.0205930066867314,0.0438782813196235,0.0092081828921555,0.7953962522562099,5.880319731912513,5.39601886417489,0.1478703652913867,0.1497546954132383,0.1587551220825854,1604.0,1283.0,1321.0,16.04,12.83,13.21,21.134219027666,161.66293671363837,21.532404395604182,1.1562331079847181,0.0396869433594562,mouse577578close274,0.2851485148514852,0.6796579657965798,0.4495949594959495,0
mouse577578,close,277,0.0480486207241804,0.0148761585892217,0.0621693996079179,5.162970639968775,4.8486230348545805,5.137071347557447,0.1474153991840875,0.1138843975149786,0.1798462262680511,2589.0,2781.0,2524.0,25.89,27.810000000000002,25.240000000000002,20.741554128729188,169.7253111794649,21.470842959377485,1.1341296222213757,0.0148695085028555,mouse577578close277,0.1711971197119711,0.3364536453645365,0.1331233123312331,1
mouse577578,close,279,0.1434381695397359,0.2396109434733567,0.18999659963583101,5.41367300460433,5.943602748814456,5.543852886157393,0.30557014716049796,0.3281293058675161,0.3710730913473357,931.0,983.0,1199.0,9.31,9.83,11.99,20.89132353115388,170.66578621474002,21.58766019524209,1.1341296222213757,0.0324909025099638,mouse577578close279,0.1144914491449144,0.2152115211521152,0.1846984698469848,1
mouse577578,close,280,0.0584053862959858,0.2883410947521466,0.12333421808032598,5.475233920093174,3.0619774710191336,5.0407199569939385,0.1945215604105132,0.3929457396852426,0.2885622491119184,603.0,887.0,788.0,6.03,8.870000000000001,7.88,20.89132353115388,170.66578621474002,21.58766019524209,1.1341296222213757,0.0537363856571293,mouse577578close280,0.1182718271827182,0.2117011701170117,0.1765976597659765,1
mouse577578,close,285,0.0167680143842242,0.0110825605530028,0.0295489215254796,2.207314181410332,2.141247308698642,3.43025614705872,0.1327551408925601,0.1502502561008094,0.1818138906248282,1760.0,1881.0,740.0,17.6,18.81,7.4,20.164429223666076,182.58615700792308,20.608045043409238,1.0902981243678262,0.0568900980753839,mouse577578close285,0.1355535553555356,0.2527452745274527,0.7512151215121512,1
mouse598183,close,107,0.075110473143058,0.0711400366532391,0.0795174001314446,2.8379257800704467,2.570015581885161,3.0933491240394617,0.2152491064862332,0.2531195165223521,0.2069244280768855,1050.0,776.0,1293.0,10.5,7.76,12.93,12.393743411251865,100.60627488648649,12.126313847709115,1.3273563952458285,0.0233239941959348,mouse598183close107,0.0939693969396939,0.1698469846984698,0.1171917191719172,1
mouse598183,close,111,0.0700245301971271,0.1037890558713578,0.1041196621125852,5.174749494578094,3.1729984809078107,4.856480024093651,0.4260606271466646,0.3629734943260606,0.513273238563711,120.0,99.0,47.0,1.2,0.99,0.47000000000000003,12.568543588998851,101.9538333820338,12.381808446541307,1.3100572506573904,0.0343236465428671,mouse598183close111,0.1552655265526552,0.7452745274527455,0.3839783978397838,0
mouse598183,close,112,0.0639180999240163,0.0366667834251872,0.1359458533441815,3.326341028383786,5.1966215206577955,3.672409571717416,0.2722997049304891,0.3004256348588244,0.3160596337168339,490.0,491.0,572.0,4.9,4.91,5.72,12.568543588998851,101.9538333820338,12.381808446541307,1.3100572506573904,0.0226146702985812,mouse598183close112,0.1792979297929793,0.5773177317731775,0.445004500450045,0
