mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse655957,far,483,0.0549463664970561,0.0502813325925466,0.0650052006603512,4.424442600327497,4.350902778241098,4.642065161681159,0.176517685499728,0.1625948766566849,0.1918265272146946,2090.0,1927.0,2041.0,20.900000000000002,19.27,20.41,8.787300941661778,39.05026588798838,8.654161107165892,2.086564161486533,0.0120875281748273,mouse655957far483,0.2686768676867687,0.6248424842484249,0.4274527452745275,2
mouse655957,far,485,0.0674502630975379,0.057957315034765,0.048666852978694004,3.7635980340115816,3.7540529278630888,5.196748766201363,0.322680611348474,0.2771863302777549,0.3108521871602482,179.0,206.0,200.0,1.79,2.06,2.0,8.484171228374711,41.82758728454197,8.37404566200648,2.092396950867593,0.0259686516890407,mouse655957far485,0.1863186318631863,0.8875787578757877,0.4063906390639066,0
mouse655957,far,491,0.0293737294274978,0.0132031162322404,0.0353865132041026,1.6548619677875709,4.0898516270325835,2.1542240241500483,0.1885940123853982,0.18968084289813802,0.2146408366892831,800.0,677.0,785.0,8.0,6.7700000000000005,7.8500000000000005,8.602705059554927,43.311344431888116,8.47353733415024,2.0985113771433315,0.0455833598938239,mouse655957far491,0.2540954095409541,0.7660666066606662,0.501170117011701,2
mouse655957,far,497,0.0225256456673591,0.0317383146097893,0.0138411599037799,3.864329486971266,5.070126006107729,6.031764826646586,0.1812022059348436,0.1613919745624623,0.1714614708126944,836.0,935.0,1021.0,8.36,9.35,10.21,8.447362931429593,47.56640239602317,8.314329138655083,2.111575241377868,0.0247080545444404,mouse655957far497,0.1417641764176418,0.3348334833483348,0.3297029702970298,1
mouse655957,far,498,0.0713348966728514,0.0239656075378837,0.0339818514732634,4.2576377022331275,5.426870310016756,1.1408062238063073,0.2242402161611739,0.1990542567872902,0.20567307768367102,692.0,750.0,766.0,6.92,7.5,7.66,8.447362931429593,47.56640239602317,8.314329138655083,2.111575241377868,0.0149086550661921,mouse655957far498,0.1541854185418542,0.4776777677767776,0.3432043204320434,1
mouse655957,far,499,0.0524775709566043,0.0112944879887003,0.0707149432694694,4.500447839471572,5.1425393168636555,2.7155877018637598,0.2643446059901245,0.275189887537329,0.2723984347809084,400.0,363.0,399.0,4.0,3.63,3.99,8.285297585380516,51.40784056374228,8.096918969085987,2.111575241377868,0.0349217821082036,mouse655957far499,0.16201620162016198,0.8492349234923495,0.3845184518451844,0
mouse655957,far,503,0.0400526666783122,0.0208836624143471,0.0116652044325016,5.375804044672036,3.9350733413291232,4.557298091190196,0.2040216676207147,0.1782455394352079,0.1754541609356906,800.0,776.0,988.0,8.0,7.76,9.88,8.497153960544303,51.226671195313,8.291452400584216,2.1257351669481315,0.030524698877589,mouse655957far503,0.245994599459946,0.2991899189918992,0.231143114311431,1
mouse655957,far,502,0.0560089993055044,0.1004372214501058,0.1729160036842485,2.2592297676266506,3.0880154671824616,2.349506204961183,0.42413797738148296,0.4790997897774093,0.4921500044763634,54.0,63.0,77.0,0.54,0.63,0.77,8.497153960544303,51.226671195313,8.291452400584216,2.1257351669481315,0.0763375123180863,mouse655957far502,0.1911791179117912,0.7525652565256526,0.3791179117911792,0
mouse655957,far,506,0.0185545872456923,0.0230686891044981,0.024142496123615,4.9179516747363134,2.291161965962201,5.316541722341281,0.1702617028721522,0.1964438885823093,0.1738046475674095,882.0,662.0,866.0,8.82,6.62,8.66,8.378971107445214,55.61599006413663,8.12309090691096,2.1257351669481315,0.0256369174306408,mouse655957far506,0.1574257425742574,0.7563456345634566,0.3391539153915389,0
mouse655957,far,507,0.1123364095167228,0.10193687509296902,0.0472833388900839,3.398220071607213,2.238582327513668,3.5991753472132126,0.3448747909211974,0.4106427060828722,0.3371311178811117,217.0,170.0,218.0,2.17,1.7,2.18,8.378971107445214,55.61599006413663,8.12309090691096,2.1257351669481315,0.0443724826538685,mouse655957far507,0.1706570657065707,0.7717371737173718,0.4406840684068406,0
mouse655957,far,508,0.1200123542604655,0.2125564474691219,0.0466219570285084,1.916222198408242,0.8595442598791233,3.6772016419848215,0.416688282486973,0.5486733055985695,0.3894389667019441,102.0,76.0,111.0,1.02,0.76,1.11,8.444029544280799,53.656741891049215,8.332951256287169,2.1332193979991843,0.023800890718079,mouse655957far508,0.1312331233123311,0.7771377137713773,0.3267326732673267,0
mouse655957,far,793,0.0640928281704755,0.0160743556607465,0.0637659628764656,3.162682099687935,4.869086990303746,1.0194995053142266,0.3223882580371383,0.2860594806185582,0.3327912908064445,228.0,182.0,206.0,2.2800000000000002,1.82,2.06,8.612147094120589,54.89294781966155,8.474934575898795,2.1545011023436493,0.0331404513323987,mouse655957far793,0.1404140414041403,0.7282628262826283,0.3453645364536456,0
mouse655957,far,521,0.0678596892629389,0.0666039316445662,0.0421628572333133,4.152014913901091,1.5694393487886662,3.8792743776841636,0.2429358448190336,0.2163620702881296,0.2520190630917157,512.0,395.0,466.0,5.12,3.95,4.66,8.838830521014877,59.877799982343596,8.746322130040959,2.1624638725305907,0.0219219281740168,mouse655957far521,0.1730873087308732,0.8854185418541856,0.4074707470747077,0
mouse655957,far,522,0.0349586688390228,0.0178326804791545,0.0408040326220406,4.203279214550351,4.71976299847895,4.19499702101099,0.1621655603453005,0.1296917827347382,0.1694580755152883,1597.0,1429.0,1546.0,15.97,14.290000000000001,15.46,8.838830521014877,59.877799982343596,8.746322130040959,2.1624638725305907,0.0191500011094403,mouse655957far522,0.1830783078307831,0.3135013501350135,0.2670567056705671,1
mouse655957,far,524,0.0489145369753862,0.010548896082088002,0.053288634939625996,4.633232829036918,5.838636351285642,4.681701548146305,0.220939742338156,0.2174201257884448,0.2140012751299209,779.0,850.0,952.0,7.79,8.5,9.52,8.107609725403854,62.82142365699372,7.939953308630935,2.1706853756359994,0.0207964020143417,mouse655957far524,0.1296129612961296,0.3067506750675067,0.2538253825382538,1
mouse655957,far,708,0.0506692046403322,0.0470057035044917,0.1057584505744383,1.8303322799695358,3.6504720478419648,4.382601946389347,0.3946900138978388,0.3999170245655829,0.4320138024942527,130.0,87.0,124.0,1.3,0.87,1.24,8.097527409839918,64.12962338926329,7.997470086953276,2.1791626832340905,0.0193882411085783,mouse655957far708,0.1509450945094509,0.735823582358236,0.3731773177317731,0
mouse655957,far,527,0.0151668032499257,0.0142117175703717,0.0212185603390785,2.98298202850792,2.5547753384487124,1.9642146453315381,0.1627731832211593,0.1430452531517715,0.1640460562022156,1075.0,1041.0,1188.0,10.75,10.41,11.88,8.479904033572481,64.65983985175775,8.43299480510961,2.1791626832340905,0.0099411477105441,mouse655957far527,0.1423042304230423,0.24194419441944195,0.2054905490549053,1
