mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,far,390,0.0598114015749201,0.0512713173287958,0.0896030833416613,0.4697401891814108,5.1901675151223765,6.270499399934878,0.4125182808486551,0.2399354953053707,0.3385256937160389,113.0,589.0,246.0,1.1300000000000001,5.89,2.46,11.42122778693908,28.910523629747683,11.333533840769608,2.050304855381268,0.0371323265835783,mouse598183far390,0.1077407740774077,0.2168316831683169,0.1738973897389739,1
mouse598183,far,192,0.0307721095644007,0.0534123542920678,0.0454757382783819,2.019261064723069,3.207443098493011,5.587406273610211,0.2101957149708266,0.2920831754877043,0.2084860581879906,914.0,462.0,907.0,9.14,4.62,9.07,11.42122778693908,28.910523629747683,11.333533840769608,2.050304855381268,0.0152883590854185,mouse598183far192,0.2322232223222322,0.5135913591359137,0.3550855085508551,0
mouse598183,far,191,0.0980644700885946,0.0596041325102636,0.0492882163791578,4.48000295035336,4.876208564035721,4.9773710401432405,0.3099727600120474,0.2490130056564787,0.1979861048752073,463.0,902.0,689.0,4.63,9.02,6.890000000000001,11.42122778693908,28.910523629747683,11.333533840769608,2.050304855381268,0.0240135393101814,mouse598183far191,0.1066606660666066,0.1895589558955895,0.160936093609361,1
mouse598183,far,194,0.0356154299761578,0.0495301299732101,0.0200554024188398,2.3897685752658817,5.002068215201828,2.4700084764932053,0.2933058084831682,0.2226724280040573,0.2038192696384012,379.0,554.0,649.0,3.79,5.54,6.49,11.42122778693908,28.910523629747683,11.333533840769608,2.050304855381268,0.0420022520744756,mouse598183far194,0.1633663366336634,0.5049504950495051,0.28406840684068396,1
mouse598183,far,346,0.0729903645639887,0.030910666875062998,0.0366397285262183,5.02217924804439,4.214002556822608,5.434861938662344,0.3286794098455415,0.2729259133255107,0.3167852281832823,220.0,299.0,246.0,2.2,2.99,2.46,12.129178588059876,28.82945933115915,12.151280266592055,2.050304855381268,0.0633013310833967,mouse598183far346,0.2187218721872188,0.6002700270027005,0.2470747074707471,0
mouse598183,far,201,0.0577720831817615,0.0754763186813476,0.0401473322718765,3.0979935339675126,3.011078513705403,2.3208547437268567,0.3307575022599749,0.2797053531455382,0.2896654694494234,208.0,357.0,197.0,2.08,3.5700000000000003,1.97,11.8868169532854,34.351704475796716,12.011741155951563,2.0521330366231134,0.0237584429838878,mouse598183far201,0.2292529252925292,0.5484248424842484,0.3216021602160217,0
mouse598183,far,209,0.0600856604778945,0.029026252737076,0.1278700059626398,3.6985698509655083,3.5812563006477216,4.173811123726741,0.2261069584877725,0.1631503188532936,0.3274732169301589,1018.0,927.0,472.0,10.18,9.27,4.72,11.318521556208164,39.26229074486768,11.320892835965708,2.055176391456461,0.0159089828032747,mouse598183far209,0.1703870387038704,0.6148514851485151,0.3855985598559858,0
mouse598183,far,208,0.0891797887475614,0.0593141233507201,0.1979370908002128,5.615964855707762,2.059500879003864,4.8716252339591914,0.4564813666733304,0.4039876266405335,0.5002135329603313,66.0,121.0,73.0,0.66,1.21,0.73,11.318521556208164,39.26229074486768,11.320892835965708,2.055176391456461,0.018268734627849,mouse598183far208,0.1258325832583258,0.5459945994599462,0.27299729972997305,1
mouse598183,far,219,0.1111773950588214,0.0705792494101546,0.0953403900889675,4.506272767462411,5.062869984489673,4.493599751098076,0.2544539268265062,0.3097228813820171,0.228652412406092,1658.0,851.0,1994.0,16.580000000000002,8.51,19.94,11.569330988446502,44.730119957427604,11.538203994080453,2.0448105046678533,0.0188073591069384,mouse598183far219,0.1201620162016202,0.2041404140414041,0.1738973897389739,1
mouse598183,far,218,0.0937987034731043,0.031637143415974,0.0920310546842649,3.5222748845183576,3.603311518665784,2.508166631431404,0.2593712507328023,0.1641205024608771,0.2294874945261673,1086.0,882.0,1121.0,10.86,8.82,11.21,11.569330988446502,44.730119957427604,11.538203994080453,2.0448105046678533,0.0121873617732349,mouse598183far218,0.1844284428442844,0.5189918991899191,0.3286228622862286,0
