mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,close,378,0.0252491464206737,0.1865999041906295,0.0262400970145139,5.559443443212429,4.3463360499998185,3.7020866993168084,0.2209377790947659,0.3823002958322855,0.2211747918478622,596.0,87.0,548.0,5.96,0.87,5.48,9.240855559401387,1410.915207590866,8.971787230932799,0.7697402159170327,0.0798697911840689,mouse598183close378,0.1647164716471647,0.6696669666966698,0.3615661566156615,1
mouse598183,close,395,0.0802795077102839,0.0774307358470736,0.0461254684859757,6.261360953099782,1.8669046780312304,4.9070236172621975,0.2699897958855005,0.4383596319925902,0.2586865684811069,450.0,101.0,410.0,4.5,1.01,4.1,10.905388849772526,1841.9208390621359,10.59901412161634,0.8158584436040361,0.0492979765792058,mouse598183close395,0.4066606660666066,0.831953195319532,0.0758775877587756,0
mouse598183,close,398,0.0298551018989724,0.3281664406110194,0.0498140548755787,4.967789440786119,3.309709605051537,4.769852347521728,0.1879879454253333,0.5013856280976239,0.21001234244804,824.0,162.0,633.0,8.24,1.62,6.33,11.621601943250635,1578.3753609487937,11.153351644921026,0.8415016339853418,0.0363896311609175,mouse598183close398,0.1757875787578758,0.3361836183618362,0.24194419441944195,2
mouse622179,close,308,0.0209131550313641,0.1372863694774399,0.0634032663217872,4.036843338454858,2.5494225013453047,4.088891450441866,0.1785070579592726,0.5061289175962952,0.2120017493345121,809.0,162.0,599.0,8.09,1.62,5.99,12.930391919701314,101.46212000187894,12.057386795910475,0.6604922406811453,0.0383259404936704,mouse622179close308,0.1369036903690369,0.2681368136813682,0.1884788478847885,2
mouse622179,close,494,0.0688365566874729,0.1490626764225954,0.0523041164354011,5.879013668998794,4.757338607264455,6.203520611387754,0.3138377273940166,0.4518082244030429,0.3044093943371878,510.0,283.0,346.0,5.1000000000000005,2.83,3.46,12.930391919701314,101.46212000187894,12.057386795910475,0.6604922406811453,0.0560574258842849,mouse622179close494,0.2578757875787578,0.5886588658865887,0.35805580558055794,1
mouse622179,close,305,0.0354996921603252,0.0270320927966126,0.0271676022661831,4.941119242880515,4.880578552532226,4.363585840122654,0.2089346761516784,0.2220600845627066,0.2296490796292638,767.0,275.0,508.0,7.67,2.75,5.08,13.47230980674181,80.21823264828097,12.51865032524219,0.6694213919497942,0.0746873883538471,mouse622179close305,0.2346534653465347,0.7250225022502251,0.4023402340234022,1
mouse622179,close,310,0.0137651601084134,0.1489082049318572,0.035566215906935,4.645520553844323,5.531554339266044,4.438860172876491,0.1427825396099558,0.3499712609015666,0.1903009167170912,1632.0,3791.0,1091.0,16.32,37.910000000000004,10.91,13.47230980674181,80.21823264828097,12.51865032524219,0.6694213919497942,0.0628795104113655,mouse622179close310,0.2254725472547255,0.6394239423942395,0.3753375337533754,1
mouse622179,close,325,0.0564746904582799,0.1315977367309345,0.0326501014995658,4.2487762172241235,2.0248178746192025,3.0801623461424685,0.2663717504214021,0.4811414758990873,0.2578687033768231,465.0,81.0,321.0,4.65,0.81,3.21,12.81982409396783,157.18887224817826,11.997055245931426,0.6619101147436863,0.0776986479582474,mouse622179close325,0.2181818181818182,0.6777677767776779,0.3985598559855984,1
mouse622179,close,495,0.0312030431982986,0.0482773044782688,0.0265342584865211,4.1260305206479435,2.7905184791788527,5.2914191785620215,0.2358121220934559,0.3266645520517888,0.2120618391320609,446.0,336.0,480.0,4.46,3.36,4.8,12.81982409396783,157.18887224817826,11.997055245931426,0.6619101147436863,0.0494464628121046,mouse622179close495,0.2500450045004501,0.6893789378937895,0.3718271827182721,1
mouse622179,close,324,0.0098227077623882,0.0817805029492881,0.0341859638754889,5.383611818905009,4.7270128979028385,5.053907106235162,0.1352529792134373,0.3511479091631838,0.1760680243765363,1407.0,246.0,866.0,14.07,2.46,8.66,12.81982409396783,157.18887224817826,11.997055245931426,0.6619101147436863,0.056361550493128,mouse622179close324,0.1703870387038704,0.5886588658865888,0.3137713771377137,1
mouse622179,close,329,0.0145509151047766,0.1048153550346894,0.0159528375105927,4.785789386748437,5.945450231297518,3.6306234286480374,0.1616647897741791,0.2754277077634374,0.1661590683689645,1355.0,817.0,877.0,13.55,8.17,8.77,13.346046486567891,130.58772352345315,12.362848530297768,0.6619101147436863,0.07448680347503399,mouse622179close329,0.2497749774977498,0.7242124212421243,0.4004500450045006,1
mouse622179,close,333,0.0363862112879015,0.0226931004484763,0.0117251231156788,4.771313249269543,2.385573516913512,5.385918663708218,0.1618054609298057,0.2724971323195511,0.1673444157827457,1593.0,238.0,1214.0,15.93,2.38,12.14,12.783007214936072,145.82742484013824,12.22141380991757,0.6412877669190329,0.0883966072563682,mouse622179close333,0.2044104410441044,0.661836183618362,0.3621062106210621,1
mouse622179,close,336,0.0238352912745133,0.1678990017400283,0.0724356677770977,5.8422358972272015,6.092619420238365,3.9923703800567294,0.2478469159791688,0.2838098305586156,0.3092830570523063,313.0,734.0,226.0,3.13,7.34,2.2600000000000002,11.890075643986954,218.48998385797108,11.598334109735687,0.6412877669190329,0.0360377404914507,mouse622179close336,0.2025202520252025,0.7004500450045005,0.3750675067506751,1
mouse622179,close,342,0.0328045517579114,0.1485338439885498,0.0213382938003839,5.8410656597948085,1.540190888262401,0.0494202044546636,0.2538352253467939,0.4051991112286505,0.1976156229639415,340.0,180.0,582.0,3.4,1.8,5.82,12.629397296964425,207.97744808648608,12.24032101920768,0.6373774391990982,0.0380729593181264,mouse622179close342,0.2076507650765077,0.8295229522952297,0.4625562556255626,1
mouse622179,close,497,0.028012395232552997,0.1992763339584112,0.063551332415991,3.760129549869616,0.5034327541739232,5.8438256330082305,0.1557964239864963,0.3649204961607118,0.21439109603491602,1137.0,1254.0,876.0,11.370000000000001,12.540000000000001,8.76,11.735307916527088,288.68670941921414,11.635294905857515,0.6373774391990982,0.0206515286909499,mouse622179close497,0.2427542754275428,0.6467146714671467,0.4126012601260126,1
mouse622179,close,346,0.0323939534226219,0.0844328886726529,0.0512439556208162,4.906341424084903,6.139394299547372,5.3299779514726255,0.2518144759012784,0.4637985780890978,0.2457668287420434,447.0,165.0,358.0,4.47,1.6500000000000001,3.58,11.735307916527088,288.68670941921414,11.635294905857515,0.6373774391990982,0.0243626150365688,mouse622179close346,0.2187218721872187,0.6305130513051306,0.4128712871287131,1
mouse622179,close,357,0.0795547768747071,0.0588809481870169,0.0603400689160256,3.4320649172652704,0.7300215295030764,5.2422668259430605,0.3985476037757355,0.3970285860912914,0.3279694477528373,128.0,94.0,146.0,1.28,0.9400000000000001,1.46,11.70584489965525,364.5073613010453,11.65446414229332,0.6354132513569417,0.0577031537934755,mouse622179close357,0.1973897389738974,0.7490549054905492,0.43879387938793896,1
