mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598181,close,474,0.0533331678991589,0.0275474421466039,0.0226473903116094,4.87985066125266,4.703707806411534,4.149236417796985,0.1631874026899989,0.0826856788755235,0.0858107244130014,6631.0,5409.0,4846.0,66.31,54.09,48.46,35.6614812934889,155.84817018244084,32.871316844107064,0.7798236980241111,0.019362972273238997,mouse598181close474,0.1312331233123312,0.2702970297029703,0.2489648964896489,1
mouse598181,close,499,0.0354288177336611,0.0483302140912311,0.005694107806372,3.24779225979117,2.8254553592710163,5.6720187831826845,0.1936088435406056,0.2197680233393501,0.1306114148589384,1411.0,1213.0,1431.0,14.11,12.13,14.31,27.78275858041264,36.67650207795974,26.118008144088964,0.6329494450586082,0.008274351364239001,mouse598181close499,0.1468946894689469,0.280828082808281,0.2122412241224123,1
mouse622179,close,101,0.1857356724508339,0.1385476797102766,0.2018005340325666,4.465779481392153,4.721132196567019,4.318836270131294,0.3166452737639559,0.3185342348834936,0.395523948923656,420.0,465.0,384.0,4.2,4.65,3.84,53.06040813514166,56.28643072480445,52.057539884969046,1.6406934509529805,0.0157864228000388,mouse622179close101,0.1641764176417641,0.4522952295229524,0.4142214221422142,0
mouse622180,close,157,0.0795456248278974,0.050007675836439,0.1241631562437174,4.009303665330316,4.647898100647513,4.107823923035272,0.2843653320652397,0.1762376809002618,0.3511147979113101,725.0,874.0,918.0,7.25,8.74,9.18,28.18679127466497,49.61836141612061,28.098862953740674,1.2582229532161622,0.0277495509671158,mouse622180close157,0.19198919891989202,0.6027002700270027,0.3499549954995501,0
mouse622180,close,158,0.1140231011231312,0.077628285551368,0.0977834797183613,3.9810352457247737,4.19131772132872,4.361280934370978,0.2737985097900863,0.2205092929491564,0.2813405287492249,953.0,1001.0,1144.0,9.53,10.01,11.44,28.18679127466497,49.61836141612061,28.098862953740674,1.2582229532161622,0.0319280536677532,mouse622180close158,0.2079207920792078,0.6,0.3926192619261927,0
mouse622180,close,163,0.0422843210732288,0.1235547474267694,0.0329844799376548,3.9475445212146334,3.390105741872538,3.209263700787649,0.3199209359408131,0.3601310856787153,0.3673089172368717,119.0,109.0,122.0,1.19,1.09,1.22,25.649316908678962,48.40405976678512,25.92236278105053,1.2582229532161622,0.0341907338516185,mouse622180close163,0.1682268226822681,0.6402340234023403,0.3882988298829884,0
mouse622180,close,162,0.1027308178466144,0.0713460772455729,0.0939732083711311,3.9319997705243233,3.6400029551036286,3.642177640670589,0.2377970125439407,0.2506115063467817,0.2340265866889105,1000.0,1056.0,1038.0,10.0,10.56,10.38,25.649316908678962,48.40405976678512,25.92236278105053,1.2582229532161622,0.0173919413150946,mouse622180close162,0.2351935193519352,0.6072907290729074,0.3688568856885689,0
mouse622180,close,168,0.0484801978917733,0.0331206624972977,0.0834321112207373,4.522573629809593,4.437361295538722,4.333178353686339,0.2279054136299151,0.2141779028371275,0.29077605066926693,569.0,554.0,494.0,5.69,5.54,4.94,26.96957123812285,50.01874103182273,27.20114743704203,1.225,0.0185110239630552,mouse622180close168,0.1938793879387939,0.5873087308730873,0.3666966696669668,0
mouse622180,close,167,0.014362717419938,0.0515458624527459,0.0397439376322073,1.8150001188308444,1.693243564185,2.9545764778267998,0.1805490769071921,0.2733055400420128,0.2169029344698303,520.0,496.0,681.0,5.2,4.96,6.8100000000000005,26.96957123812285,50.01874103182273,27.20114743704203,1.225,0.076545645830072,mouse622180close167,0.2935193519351936,0.5216921692169216,0.2970297029702972,0
mouse622180,close,173,0.0616113947344877,0.0219977883602344,0.0286544925761259,3.8992926329563766,1.53965827458401,2.4575589720798705,0.2194423133288712,0.2265383204270479,0.1844149271849301,760.0,774.0,718.0,7.6000000000000005,7.74,7.18,27.109657530755342,51.32998848334064,27.260870235658498,1.225,0.0367744030441434,mouse622180close173,0.2022502250225022,0.5659765976597659,0.3399639963996401,0
