mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,343,0.0761865614872678,0.0223681093407314,0.0579895472927746,3.4380992456842203,2.6180099416923404,3.5697216282133275,0.2364469461456491,0.1502960803654849,0.2192630926942585,885.0,878.0,836.0,8.85,8.78,8.36,30.18734932976584,152.25461109017124,33.026419172406946,0.4301162633521314,0.0197747212014139,mouse577578close343,0.0961296129612961,0.2011701170117011,0.16903690369036903,1
mouse598180,close,246,0.0239229567581568,0.0269389953709515,0.0270246175597211,4.0529794435651265,2.6755559400520736,2.591867941542186,0.2739667543701182,0.2057438962699019,0.1778554845836299,331.0,286.0,598.0,3.31,2.86,5.98,15.290166255629464,55.50714648153703,15.357366691650993,1.0994316713648011,0.0287819414204424,mouse598180close246,0.1471647164716472,0.7871287128712872,0.4360936093609363,0
mouse598180,close,249,0.0261810320364141,0.0296384674766353,0.0275894841987904,0.1511446914760915,1.1501509457148125,0.8240869303305987,0.1706475353677845,0.2093448197421317,0.1395011475306797,1095.0,806.0,1923.0,10.950000000000001,8.06,19.23,15.352795855912294,55.10669400486222,15.305318875582035,1.080219885023415,0.0551294960475448,mouse598180close249,0.0904590459045905,0.2527452745274529,0.1414941494149415,1
mouse598180,close,614,0.1334582468727886,0.0396802413306782,0.0385554105695168,4.444043598444437,6.245949472781537,0.0045938438490035,0.3843942870191558,0.2873722812229407,0.2900881838301451,186.0,306.0,203.0,1.86,3.06,2.0300000000000002,15.001984294417069,55.991919584359906,15.216421881858173,1.0612492638395563,0.0288767151943194,mouse598180close614,0.16606660666066597,0.8289828982898291,0.547074707470747,0
mouse598180,close,251,0.028883643405252003,0.03563628012242,0.0221176538257662,0.68457027400261,3.1378984164185937,5.933728643211956,0.3059760371260556,0.3179046979924894,0.2205956613438355,235.0,227.0,539.0,2.35,2.27,5.39,15.001984294417069,55.991919584359906,15.216421881858173,1.0612492638395563,0.0266942523701869,mouse598180close251,0.2243924392439243,0.9145814581458148,0.4868586858685867,0
mouse598180,close,252,0.0559716220251369,0.0190098253060119,0.0205303025959772,0.2742858424784952,5.243732501523411,2.1290003950803897,0.2239481342096496,0.1903289271765879,0.1941995442875481,505.0,642.0,567.0,5.05,6.42,5.67,15.001984294417069,55.991919584359906,15.216421881858173,1.0612492638395563,0.024326021979974997,mouse598180close252,0.1687668766876687,0.7655265526552657,0.4409540954095409,0
mouse598180,close,254,0.0350697081981038,0.0147527898094138,0.0507540027397297,4.1300663131528434,5.202984307700929,4.781937215020668,0.1374548165534076,0.1471811180910151,0.1922882733411214,1562.0,1702.0,1610.0,15.620000000000001,17.02,16.1,15.001984294417069,55.991919584359906,15.216421881858173,1.0612492638395563,0.0217054204512134,mouse598180close254,0.2443744374437444,0.8403240324032404,0.5149414941494149,0
mouse598180,close,253,0.0635062284847639,0.0415985717323036,0.0513404953987972,1.5687577080229662,3.7649976756106986,1.3216141023479309,0.2647077844993618,0.2344602149699296,0.3115610098831077,271.0,463.0,238.0,2.71,4.63,2.38,15.001984294417069,55.991919584359906,15.216421881858173,1.0612492638395563,0.0273317911793286,mouse598180close253,0.1865886588658866,0.7379837983798381,0.5054905490549054,0
mouse598180,close,258,0.0646953772927283,0.0713988628684415,0.0334105819047233,5.686235060514566,4.961919052655253,4.863757875283347,0.2843599172634625,0.2449833910867063,0.2136065709044663,272.0,226.0,678.0,2.72,2.2600000000000002,6.78,15.226159047383193,55.29281888777773,15.353470836014118,1.0425329730996522,0.0336265374331264,mouse598180close258,0.1868586858685869,0.8821782178217824,0.4971197119711971,0
mouse598181,far,20,0.0458811317816075,0.040217409612197004,0.076716017237698,2.7079364496216116,1.469045573297199,5.972055968304992,0.2395886334045436,0.30624106601255296,0.2438560931804163,282.0,416.0,379.0,2.82,4.16,3.79,20.657019357255827,21.8052191523748,20.38832413782561,2.1286732957408003,0.0245266304361058,mouse598181far20,0.1976597659765977,0.8746174617461747,0.5036003600360036,0
mouse598181,far,21,0.0733445933863283,0.0679587350892192,0.1120193131782784,1.2374662517021209,2.438554814149465,5.8667170733073455,0.3076044927166933,0.3972804876555462,0.39243668940512894,217.0,125.0,86.0,2.17,1.25,0.86,20.657019357255827,21.8052191523748,20.38832413782561,2.1286732957408003,0.0221592903182857,mouse598181far21,0.1501350135013501,0.841944194419442,0.4493249324932494,0
