mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,far,265,0.0374474712407223,0.0285663851840357,0.1087533085689971,0.3257985344073368,5.9499255450914,4.799602090642443,0.2675543116752183,0.238919717041847,0.3129256293685667,370.0,325.0,328.0,3.7,3.25,3.2800000000000002,18.32403460005752,39.54561322524621,19.25041349876951,2.6068419591528755,0.0262309748737064,mouse577578far265,0.2241224122412242,0.7506750675067508,0.4895589558955894,1
mouse577578,far,264,0.0342041243615383,0.0481370912461981,0.0495504445284916,0.22300116967218697,1.4451088622778974,0.5965574970178107,0.2586808328075257,0.4229347084123249,0.2772525810990374,326.0,207.0,315.0,3.2600000000000002,2.07,3.15,18.32403460005752,39.54561322524621,19.25041349876951,2.6068419591528755,0.0165588922894276,mouse577578far264,0.1722772277227723,0.8117011701170118,0.4714671467146717,1
mouse577578,far,263,0.0392613242907978,0.0855871271267152,0.0396736911180894,2.002065429792832,3.875047052388873,5.829673684395771,0.3589384490461447,0.3299760823444041,0.32940522936699296,99.0,195.0,178.0,0.99,1.95,1.78,18.32403460005752,39.54561322524621,19.25041349876951,2.6068419591528755,0.0267799627023273,mouse577578far263,0.2435643564356435,0.751755175517552,0.6394239423942393,1
mouse577578,far,262,0.0369824077233351,0.1071341016346916,0.0479317486118421,4.081347599477901,3.342011046798532,3.74695738061064,0.3101082585077284,0.3504238146867678,0.3655378017392836,254.0,135.0,134.0,2.54,1.35,1.34,18.32403460005752,39.54561322524621,19.25041349876951,2.6068419591528755,0.0440313311561476,mouse577578far262,0.1606660666066606,0.4066606660666068,0.4898289828982898,0
mouse577578,far,271,0.1271768360935751,0.10424279738905,0.0426305246554683,0.831023484972516,4.2526132256010865,4.034931936223062,0.3642801706317071,0.36793150046535,0.3225382731073535,186.0,170.0,236.0,1.86,1.7,2.36,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0278854879609753,mouse577578far271,0.18901890189018897,0.8146714671467148,0.5616561656165616,1
mouse577578,far,269,0.0436818437954347,0.0644943318109923,0.0320140326514101,0.3271165275597685,3.3776185718548573,4.7459665148923005,0.2646043695065092,0.3539352470731674,0.2754470585664803,336.0,183.0,230.0,3.36,1.83,2.3000000000000003,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0329846143512818,mouse577578far269,0.2087308730873087,0.8200720072007202,0.5311431143114312,1
mouse577578,far,268,0.0298193607877343,0.0362686378328513,0.0466915179777859,5.783407057397361,0.6342627846157246,5.196128221454515,0.1502892989816729,0.1498318110968302,0.1954188920293476,1394.0,1225.0,1068.0,13.94,12.25,10.68,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0244327911897303,mouse577578far268,0.1976597659765977,0.6045904590459048,0.3518451845184518,1
mouse577578,far,523,0.0524030749289388,0.0346426716622013,0.0718331917278606,2.128509733832636,5.942202079652379,2.067315649919281,0.2911906283942022,0.3008141867596485,0.3468958217197074,218.0,173.0,176.0,2.18,1.73,1.76,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0241900387215922,mouse577578far523,0.20603060306030602,0.7460846084608462,0.4844284428442845,1
mouse577578,far,266,0.0399855326820008,0.085865067993657,0.0494793058229655,5.913667513655888,5.085451736856374,0.6893840034791332,0.3151070035323066,0.3406176000152969,0.3447186920037596,262.0,293.0,139.0,2.62,2.93,1.3900000000000001,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0502456721583909,mouse577578far266,0.2225022502250225,0.8241224122412242,0.5281728172817285,1
mouse577578,far,267,0.0463005074759696,0.0551972350168109,0.0419657915591918,3.118076398982523,2.9134573648775097,0.8625347551493096,0.282522369135638,0.3624966964723167,0.3021102474129002,210.0,209.0,187.0,2.1,2.09,1.87,18.29933755657222,39.68043205555455,19.42311243893452,2.6068419591528755,0.0272669027124541,mouse577578far267,0.1655265526552656,0.7377137713771379,0.4282628262826281,1
