mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598181,close,609,0.0792928034322532,0.1369048949002422,0.2011045647010966,0.9789912443002368,1.8866058357827395,5.20639750367574,0.3059457587094977,0.4000894527793675,0.5758736659392629,193.0,98.0,28.0,1.93,0.98,0.28,23.652168115218625,405.25856812489087,22.234766984395804,0.3791437722025775,0.0328945057368164,mouse598181close609,0.1895589558955897,0.5827182718271828,0.3337533753375339,0
mouse598181,close,677,0.0793438065041139,0.0742864573262433,0.1298452108008725,1.186709861816372,4.9205448208778355,3.5101821684869114,0.3703515652389807,0.4358353638270121,0.4566471356326005,132.0,94.0,86.0,1.32,0.9400000000000001,0.86,23.216731682719413,236.29079181910592,21.83112431090716,0.4847679857416329,0.0385442811826094,mouse598181close677,0.2141314131413142,0.7976597659765977,0.4244824482448247,0
mouse598183,close,237,0.0527802137163792,0.1029110460824736,0.0581424095976578,1.4916845578034836,0.8082976336536212,4.7408042032813835,0.2960956698221978,0.3654394413686054,0.3157946271851285,319.0,329.0,293.0,3.19,3.29,2.93,35.55099278450063,68.67689641689597,33.40906364842909,0.5214163403653552,0.017047652697093,mouse598183close237,0.135013501350135,0.9683168316831686,0.5225022502250223,3
mouse598183,close,241,0.07073705950181099,0.0632080717281363,0.0334479824306003,3.1891793467971516,0.0786004222797036,1.5620665940170322,0.2580458831426136,0.2404982666090498,0.2686802583527742,432.0,467.0,335.0,4.32,4.67,3.35,35.55099278450063,68.67689641689597,33.40906364842909,0.5214163403653552,0.0214046231786277,mouse598183close241,0.3067506750675067,0.8063006300630065,0.6812781278127814,3
mouse598183,close,247,0.0416374106167345,0.0289253372322602,0.0774188663937487,1.890297676116262,3.1865850881304163,3.79131719850591,0.1731649505131006,0.1730434464330603,0.2546391407466263,936.0,766.0,742.0,9.36,7.66,7.42,34.13303990302331,67.0865162526877,32.033300978081826,0.5153882032022076,0.0430025861585858,mouse598183close247,0.2945994599459948,1.0790279027902792,0.2392439243924391,0
mouse598183,close,272,0.1122085838562119,0.119410846810518,0.0331885533588523,1.4156220007622988,3.9117185800107985,0.6534566496744494,0.287388926670182,0.5008646586870563,0.3869405225347118,176.0,96.0,123.0,1.76,0.96,1.23,30.99275773859641,46.403380975896866,28.929108849151802,0.5232112384114087,0.0333274585904783,mouse598183close272,0.1420342034203421,0.2373537353735374,0.1684968496849684,1
mouse598183,close,276,0.0699785781072219,0.0479899777940611,0.12833433397011001,1.3632619717423673,1.5657100169702367,5.785713492420545,0.4553081374285103,0.3688785986464191,0.3917102110187488,138.0,120.0,138.0,1.3800000000000001,1.2,1.3800000000000001,30.3377607311624,36.60685082281607,28.59267079142864,0.5356071321407138,0.0288503437910781,mouse598183close276,0.1952295229522952,0.6783078307830783,0.3696669666966697,0
mouse598183,close,278,0.024562937745823996,0.0591285781713717,0.0512462411762935,1.8493875331145024,2.025021921121391,2.4998521979124892,0.366872110828802,0.2692792700431777,0.3793141706054201,183.0,141.0,103.0,1.83,1.41,1.03,30.3377607311624,36.60685082281607,28.59267079142864,0.5356071321407138,0.0334676194462923,mouse598183close278,0.1871287128712871,0.3799279927992801,0.2586858685868587,1
mouse598183,close,279,0.0404188059869772,0.0271045404566432,0.0522457392403574,5.627601541610056,5.315255584596263,4.294369166839476,0.2968614627971689,0.4424370111745779,0.3767256608637079,190.0,137.0,100.0,1.9000000000000001,1.37,1.0,30.259021398674754,56.477760123061564,28.499512326450947,0.5356071321407138,0.0141743584358576,mouse598183close279,0.1126012601260126,0.8565256525652566,0.4312331233123315,3
mouse598183,close,284,0.0434581642934622,0.0610531588896584,0.0523016401525336,4.850384120748208,0.15008579778301903,6.03589478306922,0.33217281465987797,0.3257194726404889,0.2807121485066872,278.0,181.0,184.0,2.7800000000000002,1.81,1.84,30.484614490797966,42.65572695163974,28.53352351793271,0.5356071321407138,0.0500150587533043,mouse598183close284,0.7774077407740774,0.9299729972997302,0.3202520252025201,2
