mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598181,close,180,0.0519048832144898,0.0366172311344856,0.1051964740558618,4.315386060961523,0.3235651508575339,5.8137702011440595,0.2756748692644379,0.3016300026683093,0.3081442732684328,379.0,409.0,400.0,3.79,4.09,4.0,35.885977694751894,404.3607905022542,36.420600984961546,1.3052777482206614,0.0276535162128971,mouse598181close180,0.1811881188118812,0.5414041404140415,0.3596759675967595,0
mouse598181,close,187,0.0427747424136031,0.1125230066972269,0.0804985927228953,4.760790016163506,3.2764119239556444,5.015153853498219,0.1518191652949955,0.2135492300257005,0.2101441825497833,1568.0,1220.0,1341.0,15.68,12.200000000000001,13.41,35.818999992332024,429.42269681888297,36.502597567903756,1.2747548783981963,0.0206838635819936,mouse598181close187,0.1971197119711971,0.5478847884788479,0.46687668766876705,0
mouse598181,close,193,0.0744952056081187,0.0183309989213184,0.0626528821500968,4.5420424520296425,5.223824112183218,4.2256122330998656,0.2000281593338765,0.153687885036781,0.1865147002589829,1606.0,1235.0,1666.0,16.06,12.35,16.66,36.66618312802268,427.20843128867966,36.95970994501674,1.2747548783981963,0.0361177510833898,mouse598181close193,0.1695769576957696,0.4749774977497751,0.3661566156615661,0
mouse598181,close,197,0.2118938201159735,0.1025918688747591,0.1263514660556593,4.779284289412933,4.122467104382888,4.195210800915537,0.4868839934386632,0.5277840872569527,0.3717802643561157,113.0,102.0,139.0,1.1300000000000001,1.02,1.3900000000000001,36.41815809751709,452.3403249332264,37.12577978611539,1.25124937562422,0.0404280596847852,mouse598181close197,0.2662466246624663,0.6108010801080108,0.6089108910891089,0
mouse598181,close,196,0.0497681491383056,0.134848586506682,0.042474294727937005,4.866042708847652,3.0226988187045496,4.1349775823609045,0.2354632733674382,0.28519933836536104,0.2300261001995127,464.0,426.0,485.0,4.64,4.26,4.8500000000000005,36.41815809751709,452.3403249332264,37.12577978611539,1.25124937562422,0.0427926221742114,mouse598181close196,0.1639063906390639,0.5603060306030603,0.4293429342934293,0
mouse598181,close,192,0.0359539680587283,0.0177946361577846,0.0873859621619033,1.6178980762507678,3.7168843300770438,4.7613407811398645,0.3280283932091168,0.2884749091198433,0.3429576265987177,168.0,222.0,207.0,1.68,2.22,2.07,37.020089754967756,428.78768091425866,37.203598346419504,1.25124937562422,0.0420079768647823,mouse598181close192,0.1603960396039604,0.5254725472547255,0.4188118811881189,0
mouse598181,close,201,0.1518380298051519,0.0371745454439544,0.1840880793399229,4.768839353130006,3.1270077394089317,4.26965290151619,0.3790028742669745,0.3386690037500213,0.3758438342747314,239.0,259.0,213.0,2.39,2.59,2.13,37.020089754967756,428.78768091425866,37.203598346419504,1.25124937562422,0.0833204187286866,mouse598181close201,0.2708370837083708,0.5924392439243926,0.7004500450045007,0
mouse598181,close,203,0.0732313786570242,0.2112403751091134,0.0456356176985345,4.454243309436358,2.9775149762857227,3.952994847256555,0.2102984770284254,0.2855492085395972,0.1752302956154618,1703.0,1175.0,1634.0,17.03,11.75,16.34,37.020089754967756,428.78768091425866,37.203598346419504,1.25124937562422,0.0198210602292048,mouse598181close203,0.146084608460846,0.2135913591359135,0.1706570657065707,1
mouse598181,close,204,0.1233875954835268,0.0526753920087411,0.1345711028094892,4.029920515671204,2.502602872596966,4.0561980169102325,0.3577817174108191,0.3523273916883045,0.3254576975994689,280.0,207.0,267.0,2.8000000000000003,2.07,2.67,37.020089754967756,428.78768091425866,37.203598346419504,1.25124937562422,0.038727043766188,mouse598181close204,0.1738973897389739,0.4898289828982899,0.3294329432943295,0
mouse598181,close,211,0.0930906564538679,0.0849983355028792,0.0530639263563075,5.542370456822004,5.61543895894337,5.957259759985367,0.3267318859212075,0.3576411506483465,0.2891117356524735,312.0,363.0,336.0,3.12,3.63,3.36,37.03268191760157,452.228771462924,37.37542273982838,1.25124937562422,0.0404499472542633,mouse598181close211,0.1765976597659766,0.5775877587758775,0.3529252925292532,0
