mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,361,0.0383467776691143,0.0192455151128717,0.0596895995978322,4.531717585239517,2.894203312308968,5.07691559856922,0.180073078838224,0.1596556868267865,0.2541162280927575,773.0,624.0,645.0,7.73,6.24,6.45,25.778610426630078,1953.8197084605808,26.458393561962968,0.4168333000133266,0.027947265359611,mouse577578close361,0.1072007200720072,0.3102610261026103,0.223852385238524,1
mouse622179,far,98,0.0472269162572228,0.0355902836209083,0.3805277655727526,5.856606051635366,1.384987576850126,1.6582169370585642,0.2483961770878019,0.2769385774664057,0.7688725298113623,341.0,128.0,16.0,3.41,1.28,0.16,18.479132675157302,559.6208008860904,19.25891016030568,2.467412612434329,0.0703717532874186,mouse622179far98,0.1784878487848785,0.8511251125112513,0.322142214221422,0
mouse622180,far,143,0.0807866593805113,0.1348044750777957,0.0442595816182459,4.515332064170012,2.725024995756239,2.0435960958166115,0.2557259505929731,0.460843103486211,0.2421900465379257,342.0,151.0,338.0,3.42,1.51,3.38,28.42337939970402,76.82850170763422,26.83311250869448,2.3738154940938445,0.0245294895824965,mouse622180far143,0.2106210621062106,0.8743474347434744,0.5173717371737175,0
mouse622180,far,145,0.0095493456900673,0.0659550150670942,0.0359277479488448,2.1545719082656802,3.3158525698754566,6.2150732004857,0.1765046922966301,0.2080877849873133,0.2342035344552754,815.0,669.0,495.0,8.15,6.69,4.95,29.67049661162186,74.3597543211161,28.158989335339307,2.372893802933456,0.0092992145871026,mouse622180far145,0.1647164716471647,0.8662466246624664,0.5203420342034203,0
mouse622180,far,242,0.0849790585832544,0.0536337528102729,0.0330254091554798,0.4495076549368754,2.3109004107746944,3.8727480245309467,0.2792142311953702,0.1735943782131508,0.1960550844115992,653.0,800.0,688.0,6.53,8.0,6.88,22.66892178177024,376.073521509603,22.200548436259083,2.4072806234421447,0.0230601143430772,mouse622180far242,0.2681368136813681,0.6766876687668769,0.3513051305130511,0
mouse622180,far,250,0.0295659253074536,0.0122834826779554,0.0250470784075277,1.840554670849164,3.7587047573832906,1.0147125531549586,0.1519097368959245,0.1216330750978689,0.14406204946787401,1632.0,2028.0,1884.0,16.32,20.28,18.84,22.072691970519266,406.0086557416162,21.611413082775282,2.405852239851816,0.032191598077906,mouse622180far250,0.2027902790279028,0.6486048604860487,0.4690369036903691,0
mouse622180,far,246,0.0169419332828829,0.0516478156439923,0.0360462760128498,2.739908656446731,1.4635473845788176,1.3062630738790284,0.2314694627808318,0.3655082449131211,0.2985447588063751,228.0,171.0,227.0,2.2800000000000002,1.71,2.27,22.072691970519266,406.0086557416162,21.611413082775282,2.405852239851816,0.042520918243514,mouse622180far246,0.2349234923492349,0.7892889288928894,0.4009900990099012,0
mouse622180,far,144,0.0662331338613544,0.1594417917636091,0.1371765729037645,0.986476573169446,2.504975550145076,2.5602693595356936,0.5196780361889639,0.462794302519444,0.5016044166987536,110.0,53.0,39.0,1.1,0.53,0.39,28.42337939970402,76.82850170763422,26.83311250869448,2.3738154940938445,0.022942567177842002,mouse622180far144,0.1558055805580558,0.5819081908190821,0.4938793879387938,0
mouse638329,far,319,0.0203238723460823,0.0884046777537873,0.0480793459497595,2.7925347175475244,6.120127554187334,3.6401312074045857,0.2610291046947325,0.2836716005853795,0.2015777818165793,293.0,535.0,441.0,2.93,5.3500000000000005,4.41,26.53995275690504,192.94954945234988,24.569676441540928,1.7862320677896248,0.0791245664245608,mouse638329far319,0.1401440144014402,0.6783078307830784,0.3018901890189017,0
mouse638329,far,321,0.0487160372671356,0.0821152767989458,0.0279824672678848,4.099015031657806,3.5491299280310344,2.029102880506106,0.2824968236239381,0.3485135601733719,0.2277419912051205,486.0,268.0,370.0,4.86,2.68,3.7,26.53995275690504,192.94954945234988,24.569676441540928,1.7862320677896248,0.0454400575305117,mouse638329far321,0.1622862286228622,0.644824482448245,0.2948694869486949,0
mouse638329,far,320,0.0777346823628179,0.013866729164079,0.0281945367590875,1.8386226928074976,6.015325162745067,1.3562033653049341,0.3982606209670487,0.2383337427562858,0.3430708926062085,123.0,399.0,359.0,1.23,3.99,3.59,26.53995275690504,192.94954945234988,24.569676441540928,1.7862320677896248,0.0429222055069242,mouse638329far320,0.1552655265526552,0.6261926192619263,0.2743474347434744,0
mouse638329,far,322,0.0365896950621469,0.0202989516499202,0.0169191335574003,5.9446139377123695,3.8241231323792655,5.649565013964888,0.2027692655749248,0.1482661803841203,0.1886163394497154,834.0,989.0,796.0,8.34,9.89,7.96,26.128815523201524,196.4036680972752,24.04881082060183,1.7862320677896248,0.0446244706440973,mouse638329far322,0.1423042304230423,0.5195319531953196,0.3237623762376238,0
mouse638329,far,327,0.0976100777480355,0.0246907507393613,0.0348913178288456,4.113958402882137,5.190099044649881,0.5733117559064326,0.4126961618296222,0.2636376337632728,0.256213757416167,224.0,518.0,472.0,2.24,5.18,4.72,25.59316562956469,200.0110250548069,23.452443546437532,1.789902231966875,0.0697798224758554,mouse638329far327,0.1871287128712871,0.6864086408640866,0.3145814581458145,0
mouse638329,far,330,0.0155379043714055,0.0289197464445208,0.0194735020147379,3.4289515060708595,0.7937743696443406,3.7472903827081976,0.1507399162398457,0.23838781968365197,0.1353407796956552,2500.0,1567.0,2181.0,25.0,15.67,21.81,25.74149326911321,200.89266845082759,23.539895833495002,1.7744717523815359,0.027641891014453,mouse638329far330,0.1142214221422143,0.2003600360036004,0.2225022502250224,1
mouse638329,far,336,0.0641011166963092,0.0386191474909922,0.0121588520128101,1.7961866473843493,6.077719811335172,4.13711656473902,0.2384098664582405,0.1762903519207074,0.1694642065371824,672.0,766.0,748.0,6.72,7.66,7.48,24.72614784607836,205.71936304222731,22.58160832001036,1.7793959649274247,0.0378044826032798,mouse638329far336,0.5692169216921693,0.9626462646264629,0.4644464446444646,2
mouse638329,far,337,0.0404469691236514,0.0349615364749593,0.044883104334275996,6.1739233505979385,5.956526659362327,5.725986307985567,0.3319482547722914,0.2483633847617126,0.2345160339339993,223.0,386.0,461.0,2.23,3.86,4.61,24.945741327723926,209.00727757475337,22.887306893495783,1.8003471887388836,0.0317714459709857,mouse638329far337,0.1180018001800179,0.8238523852385241,0.3672367236723671,0
mouse638329,far,340,0.0603746824241044,0.024306223878042005,0.0204240401680832,1.9105148963382472,1.949596957506676,5.532879642709073,0.2972205494569831,0.1467428688154236,0.1971480087955015,449.0,828.0,649.0,4.49,8.28,6.49,24.720319599672337,209.71410435851203,22.438492901146965,1.8036421485427758,0.0465897456040918,mouse638329far340,0.2165616561656166,0.6423942394239425,0.4636363636363639,0
mouse638329,far,341,0.0470153666746386,0.0538232041135931,0.0538850577327091,1.0692882048944379,0.4279542075788061,5.926066057205888,0.2190231267369003,0.3408315278071462,0.24589581084150897,421.0,282.0,351.0,4.21,2.82,3.5100000000000002,24.720319599672337,209.71410435851203,22.438492901146965,1.8036421485427758,0.0210448488913357,mouse638329far341,0.1828082808280828,0.516831683168317,0.2724572457245724,0
mouse638329,far,348,0.1324328714403848,0.0659581879671639,0.0724971315958678,4.496874327162404,3.3130672120640616,5.9063547632578155,0.4881167077811332,0.3353098570166435,0.4082304101796518,91.0,299.0,128.0,0.91,2.99,1.28,24.791919385331123,218.25665346396633,23.00444128366228,1.7944358444926365,0.0562937332482592,mouse638329far348,0.1625562556255625,0.5802880288028803,0.8840684068406841,0
mouse638329,far,350,0.0205794682864556,0.0051659951865067,0.0063808374482070005,0.4302110102654696,5.685681751034558,0.6665970675473999,0.1017677748673157,0.11801086089605,0.0739544215612929,4674.0,5169.0,6058.0,46.74,51.69,60.58,24.791919385331123,218.25665346396633,23.00444128366228,1.7944358444926365,0.0261415642272737,mouse638329far350,0.1571557155715571,0.2651665166516652,0.2176417641764176,1
mouse638329,far,369,0.0938191861296479,0.0961249203374631,0.0185270523732191,5.119723697956982,5.6594990782633126,3.7740989620350684,0.3900962161894271,0.4966391612000537,0.349406900981313,127.0,73.0,127.0,1.27,0.73,1.27,24.11113695291839,228.14068153895187,22.62972177788153,1.8318365101722367,0.0544180150011998,mouse638329far369,0.1973897389738973,0.6510351035103512,0.3175517551755175,0
