mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,far,130,0.0442519252271209,0.0424035547362781,0.0262924953494196,3.7345278923326912,0.4860495388963662,2.732001262927539,0.2151501148523887,0.2132569986508293,0.1608937227229112,574.0,623.0,762.0,5.74,6.23,7.62,24.43861551511237,52.853445714947526,25.43957635381989,2.1102428770167667,0.0898147175965455,mouse598183far130,0.2767776777677767,0.9367236723672367,0.3945094509450948,1
mouse598183,far,133,0.0088334902906489,0.0406183605457318,0.0365884233302467,4.409714544256668,3.9262798182430623,4.661761987418771,0.1228856557722294,0.1394774163147028,0.1319648599809086,1473.0,1349.0,1481.0,14.73,13.49,14.81,24.385520146417488,50.02126591664232,25.496128281179036,2.10535032714273,0.0109877241532596,mouse598183far133,0.1288028802880287,0.2157515751575157,0.1990099009900989,0
mouse598183,far,142,0.0944438027680363,0.0483532994478849,0.1821551465151554,6.270676763508006,3.0795824823808275,0.3112579650728116,0.3379879376529908,0.3339960259515771,0.4617885534828996,154.0,156.0,102.0,1.54,1.56,1.02,23.84166626201788,41.35783158171186,24.500034306465444,2.07936288319283,0.0267377949652512,mouse598183far142,0.1223222322232223,0.2797479747974798,0.2279027902790279,0
mouse598183,far,333,0.0889715321155125,0.0468697791303751,0.0376818199456491,6.152491950907029,0.6802981314282405,6.2672254168796835,0.2397178294011972,0.2491446420633667,0.195270491096818,579.0,424.0,669.0,5.79,4.24,6.69,23.726719070645622,44.343898599600756,24.326157318844853,2.075602322218782,0.0147808899605047,mouse598183far333,0.1728172817281729,0.6577857785778579,0.2927092709270926,1
mouse598183,far,146,0.1116303737930577,0.0722708669023958,0.0545584777753201,1.5324367773517178,0.6779218117518369,4.173290643401336,0.3947605883624459,0.5076135309133982,0.560246615269995,87.0,81.0,43.0,0.87,0.81,0.43,23.69890492983543,48.963357731777506,24.422911888027052,2.0932928605429293,0.0288956731520428,mouse598183far146,0.130963096309631,0.5632763276327634,0.24194419441944195,0
mouse598183,far,149,0.0202734940126684,0.0150991357926233,0.0175557022973351,6.025107590559036,3.579709268288456,6.078387396828438,0.0966672959681483,0.0929960335391211,0.0943789126753112,4443.0,4465.0,4574.0,44.43,44.65,45.74,23.878379876468678,46.17742075677558,24.452394053988147,2.0901554966078484,0.0235037048500942,mouse598183far149,0.1228622862286228,0.2125112511251126,0.200900090009001,0
mouse598183,far,335,0.0685549974491055,0.1413221594105568,0.040797075517273,5.370719780600639,3.0465812745313388,1.5068244645531639,0.2911754438565838,0.3545178112791334,0.2626562169395474,439.0,303.0,531.0,4.39,3.0300000000000002,5.3100000000000005,23.355956890277444,25.31532222498274,23.858769852154133,2.0901554966078484,0.02806066980043,mouse598183far335,0.1825382538253825,0.5954095409540955,0.3394239423942395,1
mouse598183,far,150,0.0313084046968679,0.0349761341168623,0.0277880478995819,4.844825163788183,4.788943344637628,2.8600811868433853,0.2237956422977042,0.3231620670462628,0.3120727227954292,327.0,349.0,177.0,3.27,3.49,1.77,23.355956890277444,25.31532222498274,23.858769852154133,2.0901554966078484,0.0108742790695567,mouse598183far150,0.1612061206120612,0.5713771377137714,0.2816381638163816,0
mouse598183,far,155,0.0497730958612042,0.0670917667695974,0.0395722479160022,5.153084287627303,3.8190676705146416,0.4757104601916068,0.2030287836394063,0.2894135480968872,0.26911765977989605,741.0,481.0,268.0,7.41,4.8100000000000005,2.68,23.766051370916948,25.42103955732193,24.28955731453681,2.0873128658636686,0.0338887611690567,mouse598183far155,0.2125112511251125,0.5721872187218723,0.3364536453645363,1
mouse598183,far,157,0.0619461535386698,0.1016620308510201,0.0456525225999129,6.114352774302113,5.005764606196922,0.0316147305807588,0.176063087518678,0.3235606423130404,0.1398714000420603,1542.0,1461.0,1838.0,15.42,14.61,18.38,23.63812212766025,25.77315990083035,24.251620034042286,2.0847661739389385,0.0266659651811075,mouse598183far157,0.1393339333933393,0.2497749774977498,0.2127812781278127,0
