mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse631538,close,293,0.0550240912541095,0.7161466565541749,0.0451484083179602,0.5182214721741629,1.7641336133637744,0.2433726446540956,0.2483312134594345,0.8329850822067293,0.2074764374403234,716.0,2016.0,635.0,7.16,20.16,6.3500000000000005,22.09859713723605,607.7040682844344,22.192447168002772,0.5408326913195984,0.0761034623447508,mouse631538close293,0.1668766876687668,0.3448244824482448,0.3113411341134116,1
mouse631538,close,291,0.031791472134593,0.7573978873205645,0.0449344830793435,5.08928060426867,1.255958284570826,3.294926414499209,0.1939905543936551,0.8534072948548729,0.1679254495321457,876.0,1075.0,625.0,8.76,10.75,6.25,22.09859713723605,607.7040682844344,22.192447168002772,0.5408326913195984,0.0693958588117811,mouse631538close291,0.1628262826282628,0.2840684068406841,0.2108910891089109,1
mouse631538,close,299,0.067979750950386,0.2656361819274286,0.1306095341244383,2.8829212794078165,0.7306605999912378,0.24931419697037197,0.3404616424344552,0.7949932332605927,0.4043808929882434,186.0,65.0,150.0,1.86,0.65,1.5,22.325478254739014,535.8647324279406,22.191489657719305,0.544288526426931,0.0886490832329318,mouse631538close299,0.1849684968496849,0.705850585058506,0.4771377137713771,0
mouse634572,close,234,0.1163460772838487,0.127707940153476,0.0168414216233692,1.072070000359855,5.596750739730964,5.348135826784505,0.4399152965026146,0.4783712042532546,0.2343095154908508,71.0,59.0,343.0,0.71,0.59,3.43,18.889222498076364,822.922450675898,19.306929065867262,0.3840572873934304,0.0443890302030719,mouse634572close234,0.2206120612061206,0.6081008100810081,0.3631863186318632,3
mouse634572,close,237,0.0594064135941235,0.0533561335206808,0.051933175778118,2.792286988034941,2.5993275357550845,5.4568184133284445,0.3053837548499152,0.1966705960785897,0.2699466337296718,606.0,687.0,569.0,6.0600000000000005,6.87,5.69,18.32672416884799,653.7553849357403,18.866472708468486,0.36142080737002397,0.0691131277568177,mouse634572close237,0.1995499549954995,0.5864986498649866,0.3008100810081009,0
mouse634572,close,250,0.07376029298506,0.1242036653714937,0.0801761059195007,5.1233386024689365,5.466953092229687,3.790085074112232,0.2999793181636387,0.3142104821156991,0.3872130766927907,246.0,105.0,217.0,2.46,1.05,2.17,17.45192467930058,206.7963563237774,18.062125904408305,0.3588175023601831,0.0697736421534618,mouse634572close250,0.1487848784878487,0.4296129612961297,0.5643564356435645,0
mouse657905,close,364,0.0241563808796688,0.2545673543354235,0.0170042621550323,2.03690409766536,1.0947153770921598,1.8752967288104505,0.1888016914183958,0.3852471761614388,0.1364708372996378,1007.0,1021.0,1141.0,10.07,10.21,11.41,20.23609535498321,297.87114824438146,19.269238215157248,0.8895223437328599,0.0277181027284541,mouse657905close364,0.1887488748874888,0.7822682268226824,0.3785778577857787,0
mouse657905,close,371,0.0657494691293938,0.3789292953914245,0.0398679856846658,0.3989831365598817,2.4883683482404466,4.379166499196604,0.32465679846217105,0.6210947022382312,0.4375510035869367,256.0,350.0,145.0,2.56,3.5,1.45,18.870021991030484,267.9259040851971,17.904017289266246,0.8796306042879591,0.0325135427919328,mouse657905close371,0.14905490549054903,0.7317731773177318,0.3812781278127811,0
mouse657905,close,375,0.0368430712156075,0.3576707996746073,0.1041100189980012,4.695565823104019,1.751605063794983,5.253333026588415,0.3382208968165675,0.659700326888835,0.4109874396209936,130.0,2013.0,100.0,1.3,20.13,1.0,18.111668206828014,240.9897819868948,17.214850177473075,0.8926785535678562,0.0503048374886825,mouse657905close375,0.1868586858685869,0.2813681368136814,0.2046804680468047,1
mouse657905,close,384,0.0242487795295656,0.3167059519554865,0.0297783549459649,0.4427325413487084,2.585208986225234,2.3342829454967684,0.2356390077360067,0.6273904421332449,0.2770903325576047,570.0,202.0,457.0,5.7,2.02,4.57,17.36179874077862,195.1252102867045,16.53400641160937,0.9,0.0370034161581818,mouse657905close384,0.1536453645364537,0.8716471647164719,0.2605760576057606,0
