mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse631538,far,15,0.025810576189547997,0.0229011883220779,0.0213127835005502,5.381992595274601,5.4795016645344905,0.6978346236197421,0.1024521801897337,0.1519363480434855,0.1386179885122853,1610.0,1751.0,1564.0,16.1,17.51,15.64,36.97844627718004,45.838532117847606,35.852909306833574,3.5392442696146307,0.0283074980717105,mouse631538far15,0.2268226822682267,0.487938793879388,0.3086408640864087,1
mouse631538,far,20,0.1063554929404057,0.1135797645406778,0.1221496645573208,6.0039009713305225,5.588200090485382,0.0072036599067383,0.3058108615495747,0.2845829870020922,0.3323125633397981,512.0,557.0,549.0,5.12,5.57,5.49,36.890757949873475,45.14239432595722,35.9420668787631,3.5203870525838488,0.023366886197970997,mouse631538far20,0.2033303330333034,0.499009900990099,0.2929792979297931,0
mouse631538,far,22,0.0286276370744298,0.0641773030177321,0.0405929601557338,5.718289338858232,5.679864340430642,0.0132108232523756,0.1515387138054626,0.2524755415911744,0.1346161603651549,1364.0,1434.0,1221.0,13.64,14.34,12.21,36.176837258639296,44.32482545577183,35.428791236684454,3.5203870525838488,0.0170924325236938,mouse631538far22,0.1747074707470748,0.5181818181818182,0.2878487848784881,0
mouse631538,far,24,0.2327500666345301,0.2808630123247718,0.2544841470251235,2.267480596459136,2.3920862373345098,2.27682423337056,0.3683314556621174,0.3853849551995955,0.4126714605321238,1273.0,1368.0,1295.0,12.73,13.68,12.950000000000001,36.176837258639296,44.32482545577183,35.428791236684454,3.5203870525838488,0.0290595207031641,mouse631538far24,0.0920792079207921,0.20900090009000896,0.1088208820882088,2
mouse631538,far,25,0.044330077306451,0.0366994863165105,0.0476110852685231,5.639872691127144,5.225123510509949,0.0078297739212747,0.1633418477770414,0.138945889158473,0.2067233678891417,1117.0,1134.0,822.0,11.17,11.34,8.22,36.176837258639296,44.32482545577183,35.428791236684454,3.5203870525838488,0.0136784753142367,mouse631538far25,0.1676867686768677,0.5046804680468049,0.2770477047704769,0
mouse631538,far,28,0.0391177236879691,0.0307695128565311,0.0304297522507789,1.185495164629182,2.4073989118979258,0.8426503364270161,0.1668333369318675,0.1313122677150556,0.1549872953759547,1565.0,1547.0,1480.0,15.65,15.47,14.8,37.485606040757645,45.944901638956225,36.56363846542314,3.5016067740395984,0.0333613536065875,mouse631538far28,0.2551755175517552,0.5300630063006301,0.340774077407741,1
mouse631538,far,30,0.1257681425898177,0.0991754777871705,0.097227759375267,1.0444105338055671,0.7502631975589038,1.1530036339923508,0.2672017823480034,0.2529682039036812,0.2916485549886584,820.0,926.0,829.0,8.2,9.26,8.290000000000001,37.485606040757645,45.944901638956225,36.56363846542314,3.5016067740395984,0.0300056313312773,mouse631538far30,0.1992799279927993,0.470927092709271,0.2978397839783979,0
mouse631538,far,35,0.089860235150513,0.0544865230177526,0.0775387039733042,3.9985249331671566,4.16361905495655,3.7483942669735297,0.2142345884849816,0.1503381601310942,0.2037107943685419,1200.0,1291.0,1088.0,12.0,12.91,10.88,36.549376700401844,44.97847842455364,35.973062084651495,3.5016067740395984,0.022571602898054998,mouse631538far35,0.1563456345634564,0.4482448244824483,0.3010801080108012,0
mouse631538,far,34,0.0327090487540464,0.014058479485203002,0.0419288855381561,5.681695758196674,4.918254363041589,5.016360963548942,0.1143863336586601,0.1663889080208441,0.12029246975600301,1429.0,1726.0,1454.0,14.290000000000001,17.26,14.540000000000001,36.549376700401844,44.97847842455364,35.973062084651495,3.5016067740395984,0.0114123403962269,mouse631538far34,0.2130513051305131,0.4922592259225923,0.3445544554455446,1
mouse631538,far,33,0.0404727004670909,0.1572627283369406,0.0645735521774465,0.6844221620783449,4.6784382489446985,5.567292369165865,0.2691989088639109,0.3405886738851112,0.3157396169286758,173.0,265.0,277.0,1.73,2.65,2.77,36.549376700401844,44.97847842455364,35.973062084651495,3.5016067740395984,0.0580574806926501,mouse631538far33,0.2324932493249325,0.5033303330333033,0.3402340234023404,1
mouse631538,far,26,0.1425653593387184,0.1277560959818391,0.1948112194761629,5.267244592236438,4.854655561811229,6.14189613578696,0.4810359832123165,0.3822289498121287,0.3872895840832867,143.0,141.0,189.0,1.43,1.41,1.8900000000000001,36.930364253365795,44.952138977207774,36.19607896227906,3.5016067740395984,0.0285346694103182,mouse631538far26,0.1603960396039604,0.4579657965796579,0.2792079207920792,0
mouse631538,far,37,0.025040959890587005,0.0336412106939306,0.0522813440667369,5.988648673788463,5.245686467521882,0.4890445866002219,0.1522303219795725,0.2130123474898093,0.1946508741387688,1108.0,1220.0,944.0,11.08,12.200000000000001,9.44,36.930364253365795,44.952138977207774,36.19607896227906,3.5016067740395984,0.0155482101368289,mouse631538far37,0.1695769576957696,0.5014401440144016,0.3002700270027003,0
mouse631538,far,40,0.0435735962286264,0.0655456137385089,0.0420105130942933,1.9342314841218031,1.7651283872885948,1.9976563211458918,0.1775085266149298,0.1801353255635113,0.1538405858881445,948.0,1250.0,1079.0,9.48,12.5,10.790000000000001,36.988419864551226,46.051168704192534,37.334156487037966,3.4829046785693123,0.028481922941952002,mouse631538far40,0.1879387938793879,0.4533753375337535,0.3480648064806482,0
mouse631538,far,44,0.0278613798209616,0.0238983084927967,0.0334208254983451,2.6286120685390966,2.0014026591785816,1.7546982181698194,0.1300288092830624,0.1323726058646244,0.1350500113739933,1904.0,2432.0,2166.0,19.04,24.32,21.66,37.16690384139885,45.73097345482225,36.98054247737528,3.4642820323986334,0.0290362108552294,mouse631538far44,0.28487848784878494,0.6051305130513054,0.3299729972997298,1
mouse631538,far,45,0.0290533138168763,0.0200226299636875,0.05037669068829,3.095394350085012,1.7715480049122874,2.81515673173446,0.1707436217100207,0.1309878773271657,0.2199186699078607,823.0,1016.0,905.0,8.23,10.16,9.05,37.16690384139885,45.73097345482225,36.98054247737528,3.4642820323986334,0.0211681715136027,mouse631538far45,0.2249324932493249,0.5149414941494149,0.3234923492349235,1
mouse631538,far,48,0.0332542105226401,0.0264058156225916,0.0422238022930503,3.0650630519837683,2.9430127806152546,0.5773391286950578,0.1269259958957526,0.18120810153369502,0.1558329787208729,1184.0,1375.0,1368.0,11.84,13.75,13.68,37.16690384139885,45.73097345482225,36.98054247737528,3.4642820323986334,0.0379626842481758,mouse631538far48,0.1971197119711971,0.5071107110711073,0.3089108910891089,0
mouse631538,far,50,0.0673784169717671,0.015357866265091003,0.0364202984666228,5.933737718888423,0.1613121388091886,1.0970506283090429,0.2228757823647938,0.1474435765879753,0.1683997036375486,624.0,1156.0,946.0,6.24,11.56,9.46,37.16690384139885,45.73097345482225,36.98054247737528,3.4642820323986334,0.0307457904584896,mouse631538far50,0.1333933393339335,0.4609360936093609,0.277857785778578,0
mouse631538,far,51,0.0388037662659026,0.0403938959992235,0.073158179535279,1.8707644207452119,1.7734828234111109,1.6846704999900468,0.140137777859561,0.1526797512313278,0.2089692065758971,1265.0,1615.0,1504.0,12.65,16.15,15.040000000000001,37.56019566351886,47.09126888086405,38.25978870777423,3.4642820323986334,0.0132741201851932,mouse631538far51,0.21494149414941502,0.4836183618361837,0.2986498649864988,0
