mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse657904,close,9,0.2008809398799616,0.0295313973869082,0.1647808605034058,1.3447377575574573,2.7730166626994426,0.1032260611638871,0.5251798051381067,0.2973303326047332,0.5228374129141664,85.0,359.0,94.0,0.85,3.59,0.9400000000000001,22.22812819400868,36.166909755469106,23.089226828959784,3.2890918199405754,0.0519471844030106,mouse657904close9,0.1965796579657965,0.6056705670567056,0.3669666966696673,0
mouse657904,close,16,0.0241715102097953,0.042741717687404,0.0366922356444038,0.713038003241265,1.2776880659925576,0.9321660421211893,0.1842077051462965,0.1615568364217893,0.1324862810302494,1000.0,776.0,1208.0,10.0,7.76,12.08,22.901165676809054,36.8811290118975,23.611485367044345,3.2537478390311687,0.0334429233928623,mouse657904close16,0.1944194419441944,0.5241224122412241,0.3410441044104411,0
mouse657904,close,37,0.028351049041391,0.0230781750850912,0.0280869162082867,4.7319205787073475,1.5128124689146478,5.135244120471944,0.1377737710235213,0.1334438158368058,0.1347279075263631,1826.0,1508.0,1863.0,18.26,15.08,18.63,22.813660216070566,36.80149905431865,23.31274187894675,3.2184041076285,0.0678730655543332,mouse657904close37,0.2516651665166517,0.5816381638163817,0.4153015301530155,0
mouse657904,close,58,0.0275195280091389,0.0379972352507895,0.0153882506994032,1.693400300760566,4.5626665675597575,1.9952539449597133,0.1413916105454307,0.2187562932089162,0.1795884373345384,1122.0,673.0,1090.0,11.22,6.73,10.9,24.014014569471716,39.521689702414925,24.845574422348317,3.0949555731867946,0.0751268919607337,mouse657904close58,0.2000900090009001,0.5964896489648965,0.4009900990099012,0
mouse657904,close,74,0.0559841166188252,0.1038503029494754,0.0307572430674951,1.984763899677411,1.5924339590101688,1.103280299012158,0.2997859842514347,0.3875044670247826,0.2938569789437807,250.0,241.0,273.0,2.5,2.41,2.73,23.51178328165927,38.94644837385259,24.627927018954548,3.0069710673699532,0.0359731575756446,mouse657904close74,0.1298829882988298,0.2711071107110712,0.2422142214221421,1
mouse657904,close,77,0.0373179058447634,0.0754600930006653,0.0162569776203415,1.6613250215165554,4.964602219305982,0.7511538320216805,0.1906961744783323,0.2426606382047519,0.1502568956976465,507.0,456.0,750.0,5.07,4.5600000000000005,7.5,24.429169862418647,40.55589950888909,25.419039511988878,2.9716367543830113,0.0391836513173089,mouse657904close77,0.2805580558055806,0.5756975697569757,0.3645364536453646,0
mouse657904,close,79,0.0411452748940984,0.1363517700433903,0.0994384278469428,6.126692433915207,1.8840743190364297,0.2877696036789167,0.3634900324136121,0.3237294877428895,0.3599364608922363,196.0,288.0,184.0,1.96,2.88,1.84,23.49299907823688,39.68763590130909,24.518118152715225,2.9544458025152536,0.0400193852769421,mouse657904close79,0.1371737173717371,0.4201620162016203,0.2432943294329432,1
mouse657904,close,80,0.0094496013923978,0.0372388577839876,0.0680348777499569,2.4426536007598085,5.528647030739398,5.221897971026307,0.2800988799917967,0.2822675001489735,0.3002008335658994,245.0,386.0,184.0,2.45,3.86,1.84,24.82891568248924,41.026071510309436,25.53389701800177,2.93630294758562,0.0659705249226853,mouse657904close80,0.2276327632763276,0.6067506750675068,0.3672367236723671,0
mouse657904,close,105,0.1006345942379718,0.0435738079554131,0.0449897718387157,0.9859365508388279,1.7093773952969702,1.1417444478993115,0.2606433298921425,0.1908158532013578,0.2306736983165392,393.0,551.0,480.0,3.93,5.51,4.8,25.14488028352737,42.53674108202939,26.15227294544211,2.8131388163402105,0.0790852946858769,mouse657904close105,0.2511251125112511,0.46201620162016205,0.2252025202520253,1
mouse657904,close,109,0.0888775728454089,0.1011488626042427,0.0859596049740793,3.482295211767605,1.4668042709522215,0.4236690651979034,0.3044057922532768,0.2721037341346383,0.26054869890334603,193.0,538.0,241.0,1.93,5.38,2.41,25.99688260319085,43.702965455769224,26.96467250137928,2.7960910214082797,0.0564525333748071,mouse657904close109,0.19387938793879397,0.6353735373537355,0.311881188118812,0
