mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse655957,far,483,0.0356970550549499,0.0077690238400971,0.016555347202128,5.8137807033699485,5.1128139952495895,4.326030696402117,1882.0,1985.0,1687.0,18.82,19.85,16.87,2.086564161486533,0.0189238929294928,mouse655957far483,0.2686768676867687,0.6248424842484249,0.4274527452745275,1
mouse655957,far,485,0.028935338741127997,0.0839554920581589,0.0960597595894144,2.9592327036150694,2.3442633342946504,3.6029063168585713,253.0,262.0,201.0,2.5300000000000002,2.62,2.0100000000000002,2.092396950867593,0.0282701307342647,mouse655957far485,0.1863186318631863,0.8875787578757877,0.4063906390639066,0
mouse655957,far,491,0.0523928699972997,0.0204416598100357,0.0457031907809645,1.7669449323457806,0.8399729393831699,1.6755739600217157,809.0,826.0,745.0,8.09,8.26,7.45,2.0985113771433315,0.0343328076791043,mouse655957far491,0.2540954095409541,0.7660666066606662,0.501170117011701,1
mouse655957,far,497,0.0190399098841667,0.0072105398731644,0.025814125320842,1.7583378354551622,2.7832732016424178,4.042793851167064,841.0,913.0,788.0,8.41,9.13,7.88,2.111575241377868,0.016544892038381,mouse655957far497,0.1417641764176418,0.3348334833483348,0.3297029702970298,2
mouse655957,far,498,0.0873967257121066,0.0349520657540688,0.0380421014040716,2.500846896514124,1.0434163563486536,3.2412665192196024,766.0,748.0,570.0,7.66,7.48,5.7,2.111575241377868,0.0386414688232652,mouse655957far498,0.1541854185418542,0.4776777677767776,0.3432043204320434,2
mouse655957,far,499,0.0475451896816849,0.0294905131267918,0.0254592507324033,5.366033571115057,0.4351901778779534,4.4230261300329206,426.0,533.0,469.0,4.26,5.33,4.69,2.111575241377868,0.0151644274772644,mouse655957far499,0.16201620162016198,0.8492349234923495,0.3845184518451844,0
mouse655957,far,503,0.020433326782113997,0.023853381647115,0.0192731371934117,4.697466315118128,5.3460104326637135,5.0413884071781965,738.0,896.0,897.0,7.38,8.96,8.97,2.1257351669481315,0.0122063823079906,mouse655957far503,0.245994599459946,0.2991899189918992,0.231143114311431,2
mouse655957,far,505,0.030798970777089,0.0320858037439882,0.0850778177088132,0.1029592871442519,4.3703479932033265,6.083761464786633,378.0,195.0,85.0,3.7800000000000002,1.95,0.85,2.1257351669481315,0.0578515641505181,mouse655957far505,0.1949594959495949,0.4188118811881188,0.6729072907290731,1
mouse655957,far,506,0.0812710421158975,0.0293637060548348,0.0522509076826902,0.4645763061253855,3.6513255889899248,3.171337661178102,846.0,626.0,665.0,8.46,6.26,6.65,2.1257351669481315,0.0270464605381361,mouse655957far506,0.1574257425742574,0.7563456345634566,0.3391539153915389,0
mouse655957,far,507,0.0220533476947373,0.0597112839620382,0.0330918283252466,5.043954325958345,4.590953155280115,1.0450447207104965,225.0,224.0,188.0,2.25,2.24,1.8800000000000001,2.1257351669481315,0.0429801414031504,mouse655957far507,0.1706570657065707,0.7717371737173718,0.4406840684068406,0
mouse655957,far,508,0.2212726011643314,0.1252543425902152,0.1057504858070535,4.677813654165316,3.8037271103982686,5.8012652141074526,56.0,74.0,84.0,0.56,0.74,0.84,2.1332193979991843,0.0211001246958156,mouse655957far508,0.1312331233123311,0.7771377137713773,0.3267326732673267,0
mouse655957,far,793,0.1640032030187666,0.0896133238588835,0.0727634282201741,5.271346712067546,4.7581882551278065,4.797059452323048,149.0,201.0,181.0,1.49,2.0100000000000002,1.81,2.1545011023436493,0.0338119634576827,mouse655957far793,0.1404140414041403,0.7282628262826283,0.3453645364536456,0
mouse655957,far,521,0.0445847438524668,0.0464863448409781,0.1021817998851331,4.294020191756861,5.598295319794384,4.221450639873073,382.0,359.0,341.0,3.8200000000000003,3.59,3.41,2.1624638725305907,0.0124839476292604,mouse655957far521,0.1730873087308732,0.8854185418541856,0.4074707470747077,0
mouse655957,far,522,0.0528299036734066,0.0278056883216783,0.0252476941439342,4.598877143055648,4.839595971141212,4.820749789022256,1480.0,1268.0,1137.0,14.8,12.68,11.370000000000001,2.1624638725305907,0.0275628030972602,mouse655957far522,0.1830783078307831,0.3135013501350135,0.2670567056705671,2
mouse655957,far,524,0.0848376343008167,0.0198591634390617,0.0711710832307449,5.5284465162420435,4.7649753948553775,4.7121184171206085,684.0,903.0,893.0,6.84,9.03,8.93,2.1706853756359994,0.0283776625011095,mouse655957far524,0.1296129612961296,0.3067506750675067,0.2538253825382538,2
mouse655957,far,708,0.0553551770922835,0.2013634249742345,0.1016620750079206,4.687277867047023,5.13779801429168,3.790716959551609,119.0,104.0,96.0,1.19,1.04,0.96,2.1791626832340905,0.0242394933199623,mouse655957far708,0.1509450945094509,0.735823582358236,0.3731773177317731,0
mouse655957,far,527,0.0573106713726136,0.055178145956995,0.0614164701360338,4.965029689260257,5.1410199519284525,4.7365990587497855,814.0,1138.0,1249.0,8.14,11.38,12.49,2.1791626832340905,0.0185035190443043,mouse655957far527,0.1423042304230423,0.24194419441944195,0.2054905490549053,2
mouse655957,far,531,0.1461072542295856,0.0553430488761118,0.0671442147782721,4.694929486694977,4.339867480056402,4.394767991420382,77.0,104.0,129.0,0.77,1.04,1.29,2.1791626832340905,0.0142737991039353,mouse655957far531,0.1544554455445544,0.8122412241224124,0.3218721872187219,0
mouse655957,far,533,0.1466515072713785,0.1418312968260908,0.2176421926142607,4.490054286432758,4.844203922868925,5.155852739817506,159.0,100.0,115.0,1.59,1.0,1.1500000000000001,2.1968727773815213,0.0368876011461679,mouse655957far533,0.1603960396039604,0.8046804680468048,0.3337533753375338,0
mouse655957,far,538,0.0520809904605569,0.1698359007230848,0.0916679680343446,5.069297982028162,4.942566612723073,4.511438462577203,448.0,369.0,492.0,4.48,3.69,4.92,2.1778716674772185,0.0157566394293131,mouse655957far538,0.16606660666066597,0.5346534653465347,0.5684068406840687,1
mouse655957,far,541,0.14249639038322798,0.0940871279227985,0.1026402920163638,4.963674020786296,5.968905413432799,4.928595761924536,213.0,300.0,363.0,2.13,3.0,3.63,2.219938062199034,0.017014188548433,mouse655957far541,0.1539153915391539,0.7738973897389742,0.4336633663366335,0
mouse655957,far,481,0.1312238702653344,0.08863778131957101,0.0596897731582842,0.2377062058459159,3.71582324996057,3.2836317294813595,139.0,110.0,116.0,1.3900000000000001,1.1,1.16,2.0673050089428027,0.0282237365498399,mouse655957far481,0.1973897389738974,0.8659765976597663,0.3445544554455444,0
mouse655957,far,487,0.0247717883729048,0.06502010560649,0.1039109596555616,0.8656598067054615,5.79594635423407,1.7779237310150275,135.0,231.0,149.0,1.35,2.31,1.49,2.092396950867593,0.0385949657790438,mouse655957far487,0.1803780378037803,0.8786678667866789,0.4150315031503152,0
mouse655957,far,701,0.073582787808864,0.1056401232163383,0.2198018211372247,3.704431265091243,6.259854777193,3.4772729044189146,88.0,87.0,72.0,0.88,0.87,0.72,2.1185195302380393,0.0279392958756335,mouse655957far701,0.1884788478847885,0.724752475247525,0.3264626462646266,0
mouse657904,close,478,0.2843816994786899,0.0842518095172537,0.2847288632976396,2.5100459272837035,1.2420645252927305,2.5310667794999366,80.0,299.0,74.0,0.8,2.99,0.74,0.5006246098625197,0.0885337395377343,mouse657904close478,0.1765976597659766,0.2643564356435645,0.2141314131413141,2
