mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,310,0.0258985980856343,0.0246199394128195,0.0228547068068246,1.8878416773823208,1.5542691056326206,1.168798017364266,0.1493715915822306,0.1458495838973434,0.1326813446596546,1632.0,1748.0,1452.0,16.32,17.48,14.52,145.91426829048038,370.9351246273543,78.5907025373256,0.7057797106746553,0.0151255025275235,mouse577578close310,0.17200720072007197,0.5149414941494149,0.3259225922592261,0
mouse577578,close,323,0.153176416612728,0.0905930178860114,0.1317589698776692,5.629404406612912,0.0152311594119475,6.018445754176161,0.26211462894062604,0.2060866761843198,0.2546852921175091,1648.0,1292.0,1079.0,16.48,12.92,10.790000000000001,74.78504122533084,504.232253195737,39.09204301158145,0.5448623679425842,0.0369396131735276,mouse577578close323,0.2279027902790279,1.0271827182718272,0.376687668766877,1
mouse577578,close,319,0.4693982027451184,0.1400401099571632,0.35085139523594605,4.133944467744108,4.543257815165095,4.040888516591125,0.5611904500683571,0.3262411476950194,0.5191196985231424,698.0,648.0,529.0,6.98,6.48,5.29,64.88718122079169,569.9483472158392,34.761692800054014,0.5165994579942956,0.0645347650520676,mouse577578close319,0.1936093609360936,0.6572457245724573,0.22196219621962196,0
mouse577578,close,328,0.2401775200505497,0.15173738899351502,0.1778029568587041,4.801714609578641,5.577819230766159,5.102918000457134,0.4051639889127648,0.3677197035193419,0.4364625254684459,182.0,243.0,183.0,1.82,2.43,1.83,64.88718122079169,569.9483472158392,34.761692800054014,0.5165994579942956,0.0479891534877947,mouse577578close328,0.1107110711071107,0.2786678667866787,0.20900090009000896,0
mouse577578,close,330,0.0987216637138732,0.0649385767910482,0.0761196967750844,3.053776325820902,5.375391496533476,4.7737204806368245,0.3096641647770869,0.3464108941477611,0.2852455737994761,289.0,303.0,282.0,2.89,3.0300000000000002,2.82,64.88718122079169,569.9483472158392,34.761692800054014,0.5165994579942956,0.0129113128762292,mouse577578close330,0.1252925292529252,0.6888388838883889,0.2651665166516652,0
mouse598183,close,137,0.5049664956527818,0.1630455543907012,0.4673143612296658,4.834550564425098,5.140314043695842,4.7164579367876796,0.6122777389312811,0.3052758032523586,0.5636867930490267,333.0,337.0,370.0,3.33,3.37,3.7,183.0267773616631,405.1072458802584,185.86595561872628,0.9522998477370456,0.0160204888825396,mouse598183close137,0.3032403240324032,0.6561656165616563,0.3588658865886588,2
mouse598183,close,146,0.3207743919739841,0.1316221319476204,0.319894604687079,4.594066760960428,4.6223843166695255,4.497099795800015,0.4379795770763851,0.2342673562650793,0.4230018460740242,1640.0,1717.0,1623.0,16.4,17.17,16.23,133.25927998697875,444.8566480816917,132.51075276669434,0.8522030274529655,0.01561517978223,mouse598183close146,0.1693069306930693,0.5651665166516653,0.3648064806480648,0
mouse598183,close,145,0.2139285240221052,0.1222450283398548,0.3446552799416328,1.3413350309206056,1.883484736017064,1.4396145593690894,0.4140515655284221,0.4213208361018071,0.5506754213433085,224.0,204.0,163.0,2.24,2.04,1.6300000000000001,142.30873576635068,471.2110022437281,141.55291288833513,0.8415016339853418,0.0330496761830012,mouse598183close145,0.1360936093609361,0.5127812781278129,0.41098109810981104,0
mouse598183,close,150,0.2681481030625909,0.0762022709002126,0.269409288518496,0.8527090724463209,1.4832083208901172,0.8168346619837518,0.3879976955545015,0.1825494572233313,0.4508394251345409,1821.0,1793.0,1476.0,18.21,17.93,14.76,131.90532216059404,488.94730137325547,131.29093817540607,0.7992183681572891,0.0144433819926878,mouse598183close150,0.1755175517551755,0.4857785778577858,0.3442844284428443,0
mouse598183,close,158,0.0592513915345746,0.0680758589862347,0.0945484863432711,5.680275197275095,1.5657008851271292,0.3123664300496425,0.237987221079592,0.3074555082393562,0.283949622853924,345.0,301.0,320.0,3.45,3.0100000000000002,3.2,111.94622704990051,506.50520692023696,110.04728699279457,0.7352720584926371,0.0987974440838023,mouse598183close158,0.7423042304230423,1.3117911791179122,0.0232223222322232,2
