mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,240,0.0362274169195489,0.031931516544266,0.0160011769282149,2.2666285978902074,2.760955327598964,1.3412322107505221,834.0,1013.0,759.0,8.34,10.13,7.59,1.3430376018563293,0.0116894486985685,mouse577578close240,0.1234023402340234,0.3885688568856885,0.2651665166516652,0
mouse577578,close,241,0.1250246396214522,0.1020245571668439,0.1575184153402258,5.732305970883872,0.6525728206285903,4.878161578423904,179.0,253.0,162.0,1.79,2.5300000000000002,1.62,1.3430376018563293,0.0334905591833911,mouse577578close241,0.1782178217821782,0.5797479747974799,0.3448244824482449,3
mouse577578,close,242,0.0452823200186223,0.0082091896576783,0.0183874804876466,5.422693233169509,3.4467659671443656,3.7612693860637214,2172.0,2388.0,2497.0,21.72,23.88,24.97,1.3202745926510897,0.018310589071628,mouse577578close242,0.1612061206120613,0.3861386138613862,0.2935193519351935,0
mouse577578,close,243,0.2135507797892767,0.0744748889088655,0.1258225549595215,0.8615651911381329,3.239497940379163,0.3058315755121471,456.0,289.0,376.0,4.5600000000000005,2.89,3.7600000000000002,1.3202745926510897,0.0311385936722928,mouse577578close243,0.20603060306030602,0.491989198919892,0.3081008100810081,3
mouse577578,close,244,0.055508265007958,0.0548723624875147,0.1557974540309548,4.819291074101157,4.181368649345538,5.3086471454771464,173.0,122.0,201.0,1.73,1.22,2.0100000000000002,1.3202745926510897,0.0607826466611693,mouse577578close244,0.1906390639063906,0.5335733573357337,0.3075607560756075,3
mouse577578,close,247,0.1680680554738084,0.0429059021096351,0.0918747167666776,5.8100135644609985,4.6779593369456665,4.7406198212632225,1387.0,1100.0,892.0,13.870000000000001,11.0,8.92,1.297593927236098,0.031457966020096,mouse577578close247,0.1477047704770476,0.2991899189918992,0.3818181818181818,0
mouse577578,close,248,0.1217442437779009,0.1481141395148679,0.1325917290550277,4.725453021108176,3.6191522156753395,3.6048574650689513,277.0,181.0,116.0,2.77,1.81,1.16,1.297593927236098,0.0134063908950927,mouse577578close248,0.1925292529252925,0.5991899189918994,0.3691269126912692,3
mouse577578,close,251,0.2112754037063301,0.0952370310342709,0.0699408991933826,4.598511969929207,3.2336814436981056,0.133039731693053,97.0,125.0,120.0,0.97,1.25,1.2,1.2910751333675359,0.0299066807186719,mouse577578close251,0.1728172817281729,0.6099909990999102,0.3064806480648065,3
mouse577578,close,253,0.1185317201099223,0.0753037993495185,0.0783329461114282,5.508233671311786,5.396923280975586,5.5049218460104195,315.0,164.0,171.0,3.15,1.6400000000000001,1.71,1.2683650893965823,0.0276760053290542,mouse577578close253,0.1792979297929793,0.6550855085508553,0.3912691269126912,3
mouse577578,close,259,0.0703046347946745,0.0241661037469207,0.0400010924877809,0.085492441116287,5.042974059124014,1.8653493529788068,382.0,309.0,402.0,3.8200000000000003,3.09,4.0200000000000005,1.2232129822725069,0.0107855591662646,mouse577578close259,0.2508550855085508,0.5846084608460846,0.4220522052205223,1
mouse577578,close,258,0.080565166464842,0.0296257110343657,0.1330980964795251,3.936046698943036,3.5917352329392602,3.2886130208528637,154.0,150.0,91.0,1.54,1.5,0.91,1.2232129822725069,0.0698203028674002,mouse577578close258,0.31296129612961304,0.6035103510351036,0.3834383438343832,1
mouse577578,close,427,0.0972842516303644,0.0282544181308193,0.0862447848090311,2.9751145074099283,2.430154129619141,2.4896546495519543,1142.0,705.0,709.0,11.42,7.05,7.09,1.2007809958522828,0.0233128053041369,mouse577578close427,0.2017101710171017,0.5243924392439245,0.3567056705670568,3
mouse577578,close,428,0.0568164997850005,0.0357534941290774,0.0629175871818486,3.0924892511530246,3.249111754245861,2.800416087229112,771.0,674.0,635.0,7.71,6.74,6.3500000000000005,1.2098553632562865,0.0386069375248983,mouse577578close428,0.1946894689468947,0.4817281728172818,0.3928892889288928,3
mouse577578,close,264,0.108019195192271,0.0382538057972333,0.0420396237198243,2.9908159642472087,0.1595417862063299,0.3085664470746788,241.0,111.0,171.0,2.41,1.11,1.71,1.2098553632562865,0.0119518300909568,mouse577578close264,0.18010801080108,0.4906390639063908,0.3224122412241224,3
mouse577578,close,260,0.0763250422474087,0.0480942908293343,0.0532042533627037,2.1932252508691685,5.40071283050869,2.152044041871223,293.0,243.0,410.0,2.93,2.43,4.1,1.1876973520219705,0.0306146883410414,mouse577578close260,0.2584158415841584,0.5759675967596761,0.4223222322232222,1
mouse577578,close,267,0.0324646379209632,0.0175756331211099,0.024961689399967003,2.420995114155451,2.480667241054149,2.4621216780417137,2588.0,2603.0,2695.0,25.88,26.03,26.95,1.1876973520219705,0.0167813301764873,mouse577578close267,0.2011701170117011,0.5316831683168318,0.3407740774077408,3
mouse577578,close,430,0.0857752504648728,0.0552453417515976,0.1666021157395705,2.0866823726822297,1.279787322293467,5.121930222079171,286.0,256.0,120.0,2.86,2.56,1.2,1.1876973520219705,0.0161674920733376,mouse577578close430,0.2254725472547254,0.4995499549954995,0.3842484248424844,3
mouse577578,close,271,0.1625897158785385,0.0725629291043446,0.1639140991501445,2.139823605967848,2.0034714581866053,2.079758015619769,1271.0,713.0,758.0,12.71,7.13,7.58,1.1876973520219705,0.0406826597628938,mouse577578close271,0.1625562556255626,0.3683168316831684,0.2886588658865887,0
mouse577578,close,269,0.0929961232650666,0.0702333456247146,0.0962278308170723,2.7976431161619963,2.6796924058540004,2.5918477340265955,979.0,763.0,685.0,9.790000000000001,7.63,6.8500000000000005,1.1876973520219705,0.0126240289043556,mouse577578close269,0.2562556255625563,0.5729972997299732,0.3542754275427542,1
mouse577578,close,270,0.0903422014866417,0.0585787270998863,0.0685765733168437,2.7972431594319915,2.1720827799944793,3.1268519154381265,858.0,755.0,622.0,8.58,7.55,6.22,1.1876973520219705,0.0529398429904822,mouse577578close270,0.2819081908190819,0.7495949594959498,0.4703870387038703,1
mouse577578,close,272,0.1497320361357035,0.07649176581011098,0.1147276805604292,2.01242932714559,1.3669998778238643,2.272523073978091,285.0,290.0,324.0,2.85,2.9,3.24,1.1562331079847181,0.0163770170646777,mouse577578close272,0.1971197119711971,0.6251125112511252,0.4463546354635465,3
mouse577578,close,273,0.1558511032866782,0.0727624583558321,0.1565587005487024,2.168845521594519,2.1721185818872644,2.5057388256972293,543.0,640.0,392.0,5.43,6.4,3.92,1.1562331079847181,0.0233936646169629,mouse577578close273,0.3199819981998201,0.6445544554455447,0.5667866786678669,1
mouse577578,close,274,0.1253223268493465,0.0478709484133176,0.1068565189007114,1.8787389961734104,1.6879141995572804,2.0054984968244742,777.0,590.0,450.0,7.7700000000000005,5.9,4.5,1.1562331079847181,0.0549173975976559,mouse577578close274,0.2851485148514852,0.6796579657965798,0.4495949594959495,1
mouse577578,close,277,0.1727185808303833,0.0972445990663217,0.1864734538800968,1.8331709682833623,1.7064782661494926,1.9004432293522644,2850.0,1731.0,1872.0,28.5,17.31,18.72,1.1341296222213757,0.0298898430527551,mouse577578close277,0.1711971197119711,0.3364536453645365,0.1331233123312331,0
mouse577578,close,279,0.1336844411382218,0.0971394421835619,0.1570427799453609,1.4881045226411571,1.4273302188081984,1.4467265719031666,1671.0,1078.0,1148.0,16.71,10.78,11.48,1.1341296222213757,0.0410552704945584,mouse577578close279,0.1144914491449144,0.2152115211521152,0.1846984698469848,0
mouse577578,close,280,0.1257053805936016,0.0818872535206209,0.1970687125145568,1.4708322247363794,1.257836515641,1.4824171815015086,1283.0,683.0,766.0,12.83,6.83,7.66,1.1341296222213757,0.0310562174309439,mouse577578close280,0.1182718271827182,0.2117011701170117,0.1765976597659765,0
mouse577578,close,284,0.28413437480463205,0.2449595993518818,0.2228071823757062,1.9160911588478453,1.8142640971176351,1.5788247666528643,159.0,84.0,63.0,1.59,0.84,0.63,1.0902981243678262,0.0219342959161945,mouse577578close284,0.1439243924392439,0.4466246624662467,0.2848784878487849,0
mouse577578,close,285,0.2297814952298446,0.2393582050157826,0.3353108489082687,1.5855160669811614,1.3891868156156997,1.4417242204505365,747.0,324.0,238.0,7.47,3.24,2.38,1.0902981243678262,0.0404975273714927,mouse577578close285,0.1355535553555356,0.2527452745274527,0.7512151215121512,2
