mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse655957,far,483,0.020260813250976003,0.0075898473368945,0.0495626680894653,4.966828346421952,3.2473085695615755,4.016357420941301,1357.0,1284.0,1306.0,13.57,12.84,13.06,2.086564161486533,0.0121718926945832,mouse655957far483,0.2686768676867687,0.6248424842484249,0.4274527452745275,1
mouse655957,far,485,0.1040621094824769,0.0640003591643078,0.0545678815413821,5.772654990432817,5.676331267641099,5.195558841368307,157.0,125.0,320.0,1.57,1.25,3.2,2.092396950867593,0.0349797838088132,mouse655957far485,0.1863186318631863,0.8875787578757877,0.4063906390639066,0
mouse655957,far,491,0.0357054877836904,0.0152493273350322,0.0183774817486696,5.664505828723433,0.8709743275754562,4.6229989356582895,912.0,804.0,763.0,9.120000000000001,8.040000000000001,7.63,2.0985113771433315,0.0428642559492852,mouse655957far491,0.2540954095409541,0.7660666066606662,0.501170117011701,1
mouse655957,far,497,0.0263339196833339,0.0135215052187875,0.025687935572994997,6.139145625152511,0.2739109426049844,0.5321805694676383,953.0,1052.0,908.0,9.53,10.52,9.08,2.111575241377868,0.012599294901496,mouse655957far497,0.1417641764176418,0.3348334833483348,0.3297029702970298,2
mouse655957,far,498,0.0154248354840678,0.044141782531742994,0.0280324048890657,5.4693057052238405,3.1193664471528524,5.956552448838289,750.0,644.0,749.0,7.5,6.44,7.49,2.111575241377868,0.0239652557267127,mouse655957far498,0.1541854185418542,0.4776777677767776,0.3432043204320434,2
mouse655957,far,499,0.0326611952788595,0.0270125902814046,0.0406543172894515,2.3524211940188247,5.193696886290825,4.977765601547944,321.0,302.0,467.0,3.21,3.02,4.67,2.111575241377868,0.0202541877809874,mouse655957far499,0.16201620162016198,0.8492349234923495,0.3845184518451844,0
mouse655957,far,503,0.0515029033983235,0.049217971123245004,0.0272253487679032,5.07396728576878,0.8910349124219381,4.274599219326802,947.0,626.0,814.0,9.47,6.26,8.14,2.1257351669481315,0.0245266940885591,mouse655957far503,0.245994599459946,0.2991899189918992,0.231143114311431,2
mouse655957,far,506,0.032888592882388,0.0404892352855889,0.0812681183661508,5.478810775968556,4.996071394180094,4.445317908180768,859.0,836.0,690.0,8.59,8.36,6.9,2.1257351669481315,0.0338790540661714,mouse655957far506,0.1574257425742574,0.7563456345634566,0.3391539153915389,0
mouse655957,far,507,0.0552745576284805,0.0697967410695171,0.0934208291742436,4.616744837437969,2.057977099597979,5.315407220549481,301.0,382.0,185.0,3.0100000000000002,3.8200000000000003,1.85,2.1257351669481315,0.0276785394411487,mouse655957far507,0.1706570657065707,0.7717371737173718,0.4406840684068406,0
mouse655957,far,508,0.1301863510582824,0.0938088415167452,0.1433249800661457,4.749689827500877,5.883373236341424,5.308325296191429,88.0,101.0,138.0,0.88,1.01,1.3800000000000001,2.1332193979991843,0.0180097972428492,mouse655957far508,0.1312331233123311,0.7771377137713773,0.3267326732673267,0
