mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,close,342,0.1428499601291223,0.0143286206107528,0.0743727920685394,5.998061785586183,5.220579976595751,5.7521243924086525,0.2603451940518618,0.107798798367139,0.2075395689941566,1855.0,1973.0,2123.0,18.55,19.73,21.23,71.4199159875733,844.2324506800787,41.57924886039554,0.4506939094329987,0.020260119881652997,mouse577578close342,0.1522952295229522,0.3259225922592259,0.2983798379837985,1
mouse598180,close,233,0.2062125869648481,0.0266663899210958,0.0437830488280177,1.9870866697716365,1.988746556035431,5.3731436338735366,0.4090068380354452,0.3686343462169196,0.40674980740993893,140.0,123.0,185.0,1.4000000000000001,1.23,1.85,31.90198163635005,260.7960309460078,36.77645477170722,1.2683650893965823,0.0197551197703016,mouse598180close233,0.1585058505850586,0.6324032403240326,0.3234923492349234,0
mouse598180,close,241,0.0752876435634137,0.0443983188643423,0.0365446871478122,3.250824384764578,2.0004647625423955,4.397590330020656,0.2366286521579788,0.1780975353901321,0.17292760789042902,841.0,832.0,915.0,8.41,8.32,9.15,33.25766524396749,281.7412510401806,38.22171287139255,1.142639488202644,0.0274305256525446,mouse598180close241,0.2397839783978397,0.9291629162916292,0.5365436543654365,0
mouse598183,far,378,0.0315789044832815,0.0245654901119005,0.0363445272524097,4.923416263119357,1.1268241973562556,0.8574994470735954,0.2877871420701389,0.2727390618415287,0.4227500202496935,153.0,211.0,112.0,1.53,2.11,1.12,53.00560634313477,130.65107306164276,49.595051470439465,2.2242976419535228,0.0201285873639855,mouse598183far378,0.0696669666966697,0.2627362736273628,0.1639063906390638,1
mouse598183,far,108,0.1514958465994675,0.1603263521591372,0.0353138600755844,1.3600586306719131,3.629513654958684,5.199475222875686,0.689005043050821,0.4396181314953463,0.3875603630515534,81.0,102.0,92.0,0.81,1.02,0.92,61.27200583644534,138.46669839701383,56.50806093202579,2.215993005404124,0.0687761138406213,mouse598183far108,0.3380738073807382,0.9966696669666968,0.2003600360036004,0
mouse622179,far,17,0.1167445573690684,0.0304973856935966,0.0891671610138797,1.6122161419275802,2.6367062688219627,1.602502141018579,0.2737394477690627,0.1750635091829047,0.2868453079107073,650.0,842.0,641.0,6.5,8.42,6.41,74.23070715435696,111.52514477362259,67.7138753839545,2.664347950249742,0.0183019482322334,mouse622179far17,0.5111611161116112,1.047164716471647,0.2160216021602159,0
mouse622180,far,115,0.1100380037706603,0.0978921566559446,0.1471413763049196,2.3922246666786933,2.445923644566709,2.245455960116431,0.3406238779080913,0.3393095269217557,0.3485257859703691,243.0,270.0,346.0,2.43,2.7,3.46,98.40255550079131,112.51951208771992,78.23231437109051,2.4235820596794326,0.0216112932585607,mouse622180far115,0.1957695769576958,0.5411341134113412,0.375067506750675,0
mouse634572,far,290,0.0588661680533545,0.0333075865460056,0.1711728629040218,4.498773475434822,5.55695543125251,5.824999621688392,0.3514184091869244,0.2890398667230559,0.5043746265244733,115.0,218.0,85.0,1.1500000000000001,2.18,0.85,51.080609284701175,206.00625108382687,48.69426323826213,2.4096161520042982,0.0972971544134954,mouse634572far290,0.2759675967596759,1.2726372637263728,0.5003600360036007,0
mouse634572,far,74,0.1000199959647289,0.0088421065573797,0.0764174868728554,0.6680313818708915,5.740722751417988,0.5159099043594699,0.2323252236151462,0.1535882168587676,0.2403713697887343,762.0,1056.0,872.0,7.62,10.56,8.72,50.4680124198194,200.2418447206456,48.34584085913136,2.403773075812274,0.0202459747117783,mouse634572far74,0.13204320432043198,0.2295229522952295,0.2357335733573357,1
mouse634572,far,76,0.1052835650313235,0.0209637309479491,0.131816805117215,1.6315162739002484,6.242413074305657,1.4472723478678915,0.3132588382627659,0.2529076069065316,0.3091802310822969,476.0,331.0,400.0,4.76,3.31,4.0,49.94658748312765,166.77287386871228,45.095412891868285,2.398176390510089,0.0201792432341386,mouse634572far76,0.1957695769576958,0.7293429342934294,0.3928892889288929,0
