mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598180,close,260,0.0813985814622615,0.0255638493099461,0.0670090480709923,0.5269234842035266,1.860299474953596,5.825033939784339,0.3613296206337942,0.2807142727113078,0.2693761386615636,325.0,427.0,422.0,3.25,4.2700000000000005,4.22,33.03370736442988,295.7343569078425,38.23613633248552,1.024084957413202,0.0258290377167056,mouse598180close260,0.2000900090009001,0.7655265526552656,0.3429342934293432,0
mouse598180,close,263,0.0368933703685685,0.0272895786397631,0.0545011877165675,5.228258853001664,2.1784828450422498,5.9527705040804735,0.1894307077667684,0.2156023296606073,0.2182706953630709,662.0,570.0,620.0,6.62,5.7,6.2,32.518624969777576,294.68936813616074,38.07195507270072,1.024084957413202,0.0328032001141835,mouse598180close263,0.2335733573357336,0.661836183618362,0.3315931593159317,0
mouse598180,close,269,0.0327049539629179,0.112680749923786,0.0629000046423701,3.6367641699051334,2.7699843086333535,1.3401657792425081,0.235246531986892,0.3891412708871827,0.3847072344998883,257.0,90.0,101.0,2.57,0.9,1.01,32.952886151896486,300.589379307939,37.88322948455585,1.0059199769365357,0.0828355514482031,mouse598180close269,0.2063006300630063,0.7676867686768677,0.4612061206120615,0
mouse598180,close,273,0.2628766053061601,0.0705049520523484,0.0881149963768564,3.146838882853645,3.013665871085189,5.413364695973461,0.4956668734487581,0.440145215387745,0.4153153780449621,87.0,62.0,92.0,0.87,0.62,0.92,32.755792016779765,297.52381106040315,38.51574681805288,0.9880536422684753,0.0570112971041543,mouse598180close273,0.1714671467146714,0.6604860486048606,0.3081008100810082,0
mouse598180,close,276,0.0785732028842562,0.0335886867076805,0.0548112165782405,1.8444134472191096,1.5585533067638375,1.7842373228061714,0.196664510741381,0.0984189106163739,0.1784291909615973,2164.0,1688.0,2036.0,21.64,16.88,20.36,32.53896997546477,304.6395586696042,38.3853587308601,0.9705024471890836,0.0357954031701976,mouse598180close276,0.19603960396039602,0.420972097209721,0.3502250225022503,0
mouse598180,close,277,0.0639672435056034,0.029874600264982995,0.0199423490512279,0.0543705339712896,0.8672292418001627,0.3430316381120796,0.3259784325560654,0.4748722203265841,0.3413131258112425,110.0,71.0,119.0,1.1,0.71,1.19,32.53896997546477,304.6395586696042,38.3853587308601,0.9705024471890836,0.0476879126238919,mouse598180close277,0.1628262826282629,0.5627362736273629,0.3575157515751574,0
mouse598180,close,278,0.0612365778071825,0.0506739214627237,0.044271158245809,1.7243869177857023,0.9351281832048942,0.7577107048710964,0.2403855249484874,0.2435493403434202,0.256871471993981,520.0,450.0,487.0,5.2,4.5,4.87,32.041093710538505,304.3883504980548,38.862875463136284,0.9705024471890836,0.0119829757435751,mouse598180close278,0.1973897389738974,0.7177317731773177,0.3380738073807382,0
mouse598180,close,280,0.121916141916254,0.038042150490597997,0.1350433324561671,4.195135956342513,0.9720390310764996,3.1028779724887467,0.4494662658702222,0.3161749239813036,0.4939325092765575,126.0,125.0,114.0,1.26,1.25,1.1400000000000001,32.43325225554924,304.0282040140512,38.90902202163132,0.9490126448051154,0.0226937895671577,mouse598180close280,0.1574257425742574,0.5162916291629163,0.2684068406840685,1
mouse598180,close,283,0.0635874671400184,0.1209622829214514,0.1145463520179443,3.1432501675144384,2.4006434315738625,2.5698448360347506,0.2352632807137776,0.4379308272342121,0.4337016137923327,391.0,118.0,82.0,3.91,1.18,0.8200000000000001,32.30785558818068,311.85013454994095,38.77027530255275,0.9490126448051154,0.0781892124256044,mouse598180close283,0.2381638163816382,0.4493249324932494,0.288928892889289,0
mouse598180,close,284,0.1038461936249806,0.0678496674179825,0.0567593541695308,2.036496268652888,0.003382649906835,2.9777757581732383,0.2967105151361793,0.3846010441148659,0.2841505467302815,248.0,217.0,374.0,2.48,2.17,3.74,32.30785558818068,311.85013454994095,38.77027530255275,0.9490126448051154,0.0143016318832657,mouse598180close284,0.1795679567956796,0.6467146714671469,0.3718271827182716,0
