mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598183,close,248,0.0252046600525318,0.0355766437771546,0.048296245928958,3.551032464418053,3.266506095723863,4.218201971907565,0.2720649870281652,0.1482519310006806,0.1667837443270787,902.0,810.0,858.0,9.02,8.1,8.58,65.43126098232334,246.79283939726082,63.960713933679784,0.5153882032022076,0.0106947127368511,mouse598183close248,0.1846984698469848,0.5692169216921693,0.2770477047704771,0
mouse598183,close,257,0.0182179311934289,0.1024652971309928,0.0141348674128095,1.5682487946312702,3.9152420843079785,4.16803390449033,0.3013690997101965,0.3034608878726185,0.20473255375557398,237.0,579.0,540.0,2.37,5.79,5.4,62.6856502675999,113.93672074906591,61.17502064671432,0.5105144464165535,0.025394565548685,mouse598183close257,0.2087308730873087,0.6113411341134113,0.291899189918992,0
mouse598183,close,258,0.0220591779893338,0.1784174299691575,0.0869883798287669,2.3758889529366103,4.758218412144085,4.5242798271726254,0.3682696702269188,0.4843984051732899,0.3448074000151062,165.0,120.0,115.0,1.6500000000000001,1.2,1.1500000000000001,62.6856502675999,113.93672074906591,61.17502064671432,0.5105144464165535,0.0185295202218684,mouse598183close258,0.1698469846984699,0.7379837983798381,0.3872187218721871,0
mouse598183,close,259,0.0261728190032544,0.0723227533018466,0.0571140775028722,0.6874887803136446,0.8649900709302613,0.9151136290979976,0.1068352497521916,0.3242629164909003,0.1681993172645568,2646.0,2438.0,2183.0,26.46,24.38,21.830000000000002,61.57200439616469,148.1735728802466,59.58586529979605,0.5208166663999915,0.0173935787319969,mouse598183close259,0.1293429342934293,0.2279027902790279,0.2000900090009001,0
mouse598183,close,261,0.1608611770263645,0.2210392139310558,0.1004627635022358,1.098011027339045,4.507974449269842,2.6404341488753222,0.3675685223933284,0.4926645662550467,0.3329735537722514,277.0,223.0,181.0,2.77,2.23,1.81,60.91942298816273,88.92104562567425,59.07767356009187,0.5208166663999915,0.0128408156184775,mouse598183close261,0.1099009900990098,0.6745274527452747,0.2989198919891987,0
mouse598183,close,457,0.0764760093865198,0.0662552559516158,0.0462677099538187,0.9315382710170804,3.408679872715284,1.6595915875225182,0.3276078051236232,0.3716512418201919,0.3188164721674856,197.0,159.0,115.0,1.97,1.59,1.1500000000000001,60.2580397324734,199.8871358222804,58.012159262416326,0.5232112384114087,0.0683891143991989,mouse598183close457,0.2343834383438344,0.662916291629163,0.33186318631863204,0
mouse622179,close,279,0.060098881650707,0.0466206164294635,0.0338959859044662,2.7374528424080897,5.52779596183668,6.023471002978057,0.253460921886829,0.1731382916300248,0.1777314723860466,643.0,715.0,684.0,6.43,7.15,6.84,65.52899124705388,72.47301692809569,61.83511770202698,0.7280109889280518,0.0235224368158159,mouse622179close279,0.233033303330333,0.7215121512151217,0.3653465346534655,0
mouse622179,close,277,0.0123757477040867,0.0047223562665046,0.0298682558643492,2.3382551405056176,5.562481505347367,4.5061917436993895,0.1572282936822461,0.1484453965179655,0.1528552487481536,1457.0,1469.0,1777.0,14.57,14.69,17.77,65.26158247993399,77.77676916168933,62.138574820793494,0.745821694508815,0.0408092419201424,mouse622179close277,0.3942394239423942,1.7108910891089109,0.0553555355535553,1
mouse631538,close,233,0.0213589169695295,0.3392877134470355,0.0832108588793721,5.449443712933344,4.813498775779356,3.2647964670811422,0.2256546319458651,0.4186297924843679,0.2397700878911858,363.0,542.0,457.0,3.63,5.42,4.57,57.85694510260081,397.02949369777133,60.0080001638301,0.5573374202401989,0.0323565271594076,mouse631538close233,0.187128712871287,0.7882088208820882,0.4077407740774078,0
mouse631538,close,236,0.0543424857005791,0.1014168519875496,0.2186642222967035,2.633143477118552,5.119730029767623,2.9405938662251017,0.2965492618880188,0.44626919470899,0.5105589327917063,175.0,96.0,87.0,1.75,0.96,0.87,56.95342445083588,269.92608130437463,58.961190937017115,0.54198708471697,0.0340801223206902,mouse631538close236,0.0729072907290729,0.5233123312331235,0.4566156615661564,0
mouse631538,close,238,0.0407740766131058,0.4961441251989262,0.06658106205367,1.1377789624858696,6.257564911883397,4.604349996027132,0.1701256741337519,0.7579915737388416,0.22061737185941196,1024.0,976.0,1100.0,10.24,9.76,11.0,54.97868985103546,155.42102361511596,56.63921004812885,0.54198708471697,0.008922927827035,mouse631538close238,0.2003600360036004,0.7852385238523854,0.4171917191719173,0
mouse631538,close,245,0.0225883359425703,0.0812362377281138,0.0164823081047239,1.9784023678528515,4.040693420069416,2.318448033525767,0.2081173033882342,0.1959271188755658,0.2153455794522042,906.0,884.0,944.0,9.06,8.84,9.44,55.12532868626622,272.3585127757236,57.04753502954645,0.5214163403653552,0.0183286174751609,mouse631538close245,0.2524752475247526,0.6745274527452747,0.3504950495049505,0
mouse631538,close,246,0.0278594917194777,0.4824392205731235,0.0160674465650332,1.9043434884947263,0.2437912480692442,3.0593776684682985,0.1528571222039539,0.7842438219548258,0.2455417622429547,799.0,828.0,708.0,7.99,8.28,7.08,55.12532868626622,272.3585127757236,57.04753502954645,0.5214163403653552,0.022664285598214,mouse631538close246,0.3310531053105311,0.6440144014401442,0.457155715571557,0
mouse631538,close,250,0.0311496469003875,0.1532074261799153,0.0260180443764932,2.4953080076848044,5.551609060479317,1.5385979914157415,0.2236146680397272,0.3119578135139412,0.2185344678880387,799.0,516.0,778.0,7.99,5.16,7.78,54.81430542598896,88.23749800773237,56.04654750676053,0.5350233639758174,0.0091501708267941,mouse631538close250,0.1747074707470747,0.71989198919892,0.361836183618362,0
mouse631538,close,252,0.1079172717819277,0.1753388899126034,0.0872972627536865,2.2297007852661475,4.7374098861365495,3.141607066884978,0.3237538293507635,0.36172754093582005,0.3095714321774401,329.0,254.0,374.0,3.29,2.54,3.74,54.67367717987642,126.90234080416216,56.05742792869209,0.5350233639758174,0.0696298543483645,mouse631538close252,0.3361836183618363,0.7263726372637265,0.4188118811881191,0
mouse631538,close,253,0.0660917152886493,0.3770529227441712,0.0248216720228011,2.4131354564123053,0.2984811073394005,2.1389229693254777,0.2033262599114235,0.7389961390300106,0.1344408115798424,1126.0,1195.0,1290.0,11.26,11.950000000000001,12.9,54.67367717987642,126.90234080416216,56.05742792869209,0.5350233639758174,0.0173294226252535,mouse631538close253,0.2330333033303331,0.6278127812781278,0.3969396939693971,0
mouse631538,close,256,0.0622779491630348,0.3560837387257793,0.0306415327430869,2.0777153609798065,0.4890761834217746,1.3903456307333746,0.2238756094420333,0.7093539597195231,0.1322699630639285,694.0,864.0,820.0,6.94,8.64,8.2,54.13361481273322,74.91976448190078,55.250505017841846,0.5303300858899107,0.0210005928852611,mouse631538close256,0.1779477947794779,0.7215121512151216,0.3612961296129614,0
mouse631538,close,247,0.0909835062919218,0.2778735740940062,0.0365802007518786,4.765348636508738,5.59553757403503,5.715774498349103,0.2639153351797128,0.5404954535520653,0.1964843419507895,331.0,181.0,651.0,3.31,1.81,6.51,54.3951508610888,119.34221579434508,56.014333468593954,0.5303300858899107,0.033261596013013,mouse631538close247,0.2297929792979298,0.6353735373537355,0.2821782178217822,0
mouse631538,close,248,0.0293988016880738,0.3126880252255847,0.0257188542776581,3.127493237862114,0.5451501021433138,0.6683190657886491,0.2001044192154963,0.4891341032684035,0.2983631611797558,499.0,173.0,537.0,4.99,1.73,5.37,54.3951508610888,119.34221579434508,56.014333468593954,0.5303300858899107,0.0617953208760622,mouse631538close248,0.3305130513051305,0.7387938793879392,0.3926192619261927,0
mouse631538,close,258,0.0573434370082405,0.4710751008765404,0.0329592017813057,2.088872682185868,0.2793425766950074,2.04261907852808,0.1684615906898565,0.8117854269124621,0.1855396683007129,1191.0,1300.0,1306.0,11.91,13.0,13.06,54.3951508610888,119.34221579434508,56.014333468593954,0.5303300858899107,0.011709501206149999,mouse631538close258,0.2108910891089109,0.628892889288929,0.4225922592259227,0
