cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
0,mouse577578,far,134,0.1954995499549955,0.5819081908190821,0.3537353735373538,2.7444261695297985,mouse577578far134
1,mouse577578,far,136,0.2470747074707471,0.7277227722772278,0.3918091809180921,2.7361012408169403,mouse577578far136
1,mouse577578,far,151,0.2273627362736273,0.8719171917191721,0.4393339333933393,2.7190301579791276,mouse577578far151
1,mouse577578,far,153,0.1849684968496849,0.8044104410441044,0.4531053105310531,2.7113188672673685,mouse577578far153
1,mouse577578,far,156,0.4684968496849686,1.3123312331233126,0.4822682268226823,2.7113188672673685,mouse577578far156
0,mouse577578,far,157,0.1630963096309632,0.7841584158415844,0.3602160216021602,2.7005786416988493,mouse577578far157
1,mouse577578,far,159,0.1595859585958595,0.7968496849684971,0.5346534653465346,2.7005786416988493,mouse577578far159
1,mouse577578,far,160,0.1612061206120613,0.9521152115211522,0.4598559855985598,2.7005786416988493,mouse577578far160
0,mouse577578,far,167,0.1960396039603961,0.7919891989198922,0.3018901890189017,2.6930466018990464,mouse577578far167
0,mouse577578,far,179,0.1185418541854185,0.3207920792079208,0.1863186318631864,2.686307875132707,mouse577578far179
0,mouse577578,far,185,0.1776777677767776,0.4463546354635463,0.6089108910891089,2.662118517271536,mouse577578far185
0,mouse577578,far,187,0.1765976597659766,0.4720072007200721,0.4296129612961297,2.6554189876552443,mouse577578far187
0,mouse577578,far,194,0.1895589558955895,0.510891089108911,0.5684068406840684,2.6609443812300926,mouse577578far194
0,mouse577578,far,199,0.2360036003600361,0.4671467146714673,0.3027002700270027,2.6449243845524206,mouse577578far199
0,mouse577578,far,197,0.23897389738973898,0.4776777677767778,0.305940594059406,2.6449243845524206,mouse577578far197
1,mouse577578,far,210,0.1838883888388839,0.7660666066606662,0.5111611161116113,2.6292822214437157,mouse577578far210
1,mouse577578,far,208,0.2535553555355536,0.7242124212421245,0.6027002700270029,2.6292822214437157,mouse577578far208
0,mouse577578,far,213,0.23006300630063,0.5762376237623764,0.3531953195319534,2.6458694223260526,mouse577578far213
1,mouse577578,far,212,0.2179117911791179,0.9288928892889292,0.4512151215121509,2.6458694223260526,mouse577578far212
1,mouse577578,far,215,0.1587758775877588,0.8829882988298832,0.451215121512151,2.6458694223260526,mouse577578far215
0,mouse577578,far,522,0.1566156615661567,0.3172817281728174,0.3407740774077407,2.630945647481149,mouse577578far522
1,mouse577578,far,240,0.251935193519352,0.8262826282628264,0.5532853285328531,2.630945647481149,mouse577578far240
1,mouse577578,far,228,0.1811881188118811,0.8300630063006302,0.5241224122412239,2.630945647481149,mouse577578far228
1,mouse577578,far,516,0.3750675067506751,0.8122412241224124,0.4914491449144914,2.6164145313768614,mouse577578far516
1,mouse577578,far,469,0.2443744374437444,0.7147614761476149,0.4682268226822682,2.6164145313768614,mouse577578far469
0,mouse577578,far,231,0.130963096309631,0.2773177317731774,0.2557155715571557,2.6164145313768614,mouse577578far231
1,mouse577578,far,232,0.1998199819981998,0.8119711971197121,0.5424842484248426,2.6164145313768614,mouse577578far232
1,mouse577578,far,233,0.2373537353735373,0.8781278127812784,0.4709270927092711,2.6164145313768614,mouse577578far233
1,mouse577578,far,234,0.2473447344734474,0.8397839783978398,0.5600360036003599,2.6164145313768614,mouse577578far234
1,mouse577578,far,236,0.2279027902790279,0.7090909090909091,0.7749774977497751,2.6164145313768614,mouse577578far236
1,mouse577578,far,237,0.2303330333033303,0.8689468946894692,0.5678667866786679,2.6164145313768614,mouse577578far237
1,mouse577578,far,241,0.2017101710171017,0.8424842484248427,0.597029702970297,2.6112736356038986,mouse577578far241
1,mouse577578,far,470,0.1787578757875787,0.7568856885688571,0.6259225922592256,2.6112736356038986,mouse577578far470
0,mouse577578,far,242,0.1776777677767776,0.7768676867686771,0.336993699369937,2.602282651827046,mouse577578far242
