cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
2,mouse655957,far,483,0.2686768676867687,0.6248424842484249,0.4274527452745275,2.086564161486533,mouse655957far483
0,mouse655957,far,485,0.1863186318631863,0.8875787578757877,0.4063906390639066,2.092396950867593,mouse655957far485
2,mouse655957,far,491,0.2540954095409541,0.7660666066606662,0.501170117011701,2.0985113771433315,mouse655957far491
1,mouse655957,far,497,0.1417641764176418,0.3348334833483348,0.3297029702970298,2.111575241377868,mouse655957far497
1,mouse655957,far,498,0.1541854185418542,0.4776777677767776,0.3432043204320434,2.111575241377868,mouse655957far498
0,mouse655957,far,499,0.16201620162016198,0.8492349234923495,0.3845184518451844,2.111575241377868,mouse655957far499
1,mouse655957,far,503,0.245994599459946,0.2991899189918992,0.231143114311431,2.1257351669481315,mouse655957far503
0,mouse655957,far,502,0.1911791179117912,0.7525652565256526,0.3791179117911792,2.1257351669481315,mouse655957far502
2,mouse655957,far,505,0.1949594959495949,0.4188118811881188,0.6729072907290731,2.1257351669481315,mouse655957far505
0,mouse655957,far,506,0.1574257425742574,0.7563456345634566,0.3391539153915389,2.1257351669481315,mouse655957far506
0,mouse655957,far,507,0.1706570657065707,0.7717371737173718,0.4406840684068406,2.1257351669481315,mouse655957far507
0,mouse655957,far,508,0.1312331233123311,0.7771377137713773,0.3267326732673267,2.1332193979991843,mouse655957far508
0,mouse655957,far,793,0.1404140414041403,0.7282628262826283,0.3453645364536456,2.1545011023436493,mouse655957far793
0,mouse655957,far,521,0.1730873087308732,0.8854185418541856,0.4074707470747077,2.1624638725305907,mouse655957far521
1,mouse655957,far,522,0.1830783078307831,0.3135013501350135,0.2670567056705671,2.1624638725305907,mouse655957far522
1,mouse655957,far,524,0.1296129612961296,0.3067506750675067,0.2538253825382538,2.1706853756359994,mouse655957far524
0,mouse655957,far,708,0.1509450945094509,0.735823582358236,0.3731773177317731,2.1791626832340905,mouse655957far708
1,mouse655957,far,527,0.1423042304230423,0.24194419441944195,0.2054905490549053,2.1791626832340905,mouse655957far527
0,mouse655957,far,531,0.1544554455445544,0.8122412241224124,0.3218721872187219,2.1791626832340905,mouse655957far531
0,mouse655957,far,533,0.1603960396039604,0.8046804680468048,0.3337533753375338,2.1968727773815213,mouse655957far533
2,mouse655957,far,538,0.16606660666066597,0.5346534653465347,0.5684068406840687,2.1778716674772185,mouse655957far538
0,mouse655957,far,541,0.1539153915391539,0.7738973897389742,0.4336633663366335,2.219938062199034,mouse655957far541
0,mouse655957,far,698,0.1825382538253824,0.7522952295229524,0.4933393339333934,2.0673050089428027,mouse655957far698
0,mouse655957,far,481,0.1973897389738974,0.8659765976597663,0.3445544554455444,2.0673050089428027,mouse655957far481
0,mouse655957,far,487,0.1803780378037803,0.8786678667866789,0.4150315031503152,2.092396950867593,mouse655957far487
0,mouse655957,far,701,0.1884788478847885,0.724752475247525,0.3264626462646266,2.1185195302380393,mouse655957far701
2,mouse655957,far,532,0.2516651665166517,0.7412241224122413,0.568946894689469,2.1791626832340905,mouse655957far532
0,mouse655957,far,795,0.1630963096309631,0.8767776777677769,0.2913591359135915,2.1968727773815213,mouse655957far795
0,mouse655957,far,702,0.16201620162016198,0.7817281728172819,0.3383438343834385,2.1257351669481315,mouse655957far702
