cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
0,mouse577578,close,240,0.1234023402340234,0.3885688568856885,0.2651665166516652,1.3430376018563293,mouse577578close240
0,mouse577578,close,241,0.1782178217821782,0.5797479747974799,0.3448244824482449,1.3430376018563293,mouse577578close241
0,mouse577578,close,242,0.1612061206120613,0.3861386138613862,0.2935193519351935,1.3202745926510897,mouse577578close242
0,mouse577578,close,243,0.20603060306030602,0.491989198919892,0.3081008100810081,1.3202745926510897,mouse577578close243
0,mouse577578,close,244,0.1906390639063906,0.5335733573357337,0.3075607560756075,1.3202745926510897,mouse577578close244
0,mouse577578,close,247,0.1477047704770476,0.2991899189918992,0.3818181818181818,1.297593927236098,mouse577578close247
3,mouse577578,close,246,0.1207020702070207,1.8888388838883892,0.0232223222322232,1.297593927236098,mouse577578close246
2,mouse634572,close,75,0.2638163816381638,0.6440144014401441,0.4371737173717375,1.5087246269614614,mouse634572close75
0,mouse634572,close,88,0.1436543654365436,0.2702970297029703,0.2465346534653465,1.425,mouse634572close88
0,mouse657905,close,173,0.1701170117011701,0.459045904590459,0.3097209720972098,1.6170961628796228,mouse657905close173
3,mouse657905,close,179,0.2681368136813682,1.7111611161116111,0.2562556255625563,1.5854809995707928,mouse657905close179
0,mouse657905,close,180,0.1439243924392439,0.2500450045004501,0.2662466246624663,1.5622499799967997,mouse657905close180
0,mouse657905,close,188,0.1836183618361836,0.6078307830783081,0.363186318631863,1.5540270267920056,mouse657905close188
2,mouse657905,close,195,0.2252025202520251,0.7066606660666067,0.4841584158415842,1.522744233284106,mouse657905close195
2,mouse657905,close,196,0.2767776777677768,0.6491449144914493,0.43879387938793896,1.522744233284106,mouse657905close196
2,mouse657905,close,189,0.1892889288928894,0.6002700270027003,0.5260126012601262,1.5540270267920056,mouse657905close189
0,mouse657905,close,191,0.1590459045904591,0.5090009000900092,0.2025202520252025,1.5540270267920056,mouse657905close191
0,mouse657905,close,181,0.1663366336633663,0.7485148514851486,0.2802880288028803,1.5854809995707928,mouse657905close181
1,mouse657905,close,197,0.3785778577857786,1.1300630063006305,0.8443744374437441,1.522744233284106,mouse657905close197
