cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
1,mouse577578,close,248,0.1925292529252925,0.5991899189918994,0.3691269126912692,1.297593927236098,mouse577578close248
1,mouse577578,close,251,0.1728172817281729,0.6099909990999102,0.3064806480648065,1.2910751333675359,mouse577578close251
1,mouse577578,close,253,0.1792979297929793,0.6550855085508553,0.3912691269126912,1.2683650893965823,mouse577578close253
1,mouse577578,close,259,0.2508550855085508,0.5846084608460846,0.4220522052205223,1.2232129822725069,mouse577578close259
1,mouse577578,close,258,0.31296129612961304,0.6035103510351036,0.3834383438343832,1.2232129822725069,mouse577578close258
1,mouse577578,close,427,0.2017101710171017,0.5243924392439245,0.3567056705670568,1.2007809958522828,mouse577578close427
1,mouse577578,close,245,0.2856885688568857,0.4315031503150315,0.4973897389738975,1.2910751333675359,mouse577578close245
0,mouse634572,close,274,0.2027902790279028,0.5457245724572457,0.19495949594959502,1.6830032679706837,mouse634572close274
0,mouse634572,close,40,0.1841584158415842,0.37290729072907297,0.3904590459045904,1.6830032679706837,mouse634572close40
1,mouse634572,close,45,0.1938793879387939,0.5138613861386139,0.587578757875788,1.6481049723849508,mouse634572close45
1,mouse634572,close,48,0.2068406840684069,0.7001800180018003,0.4711971197119712,1.6280740155164937,mouse634572close48
1,mouse634572,close,53,0.2092709270927092,0.641044104410441,0.4112511251125114,1.6280740155164937,mouse634572close53
1,mouse634572,close,55,0.1976597659765977,0.6718271827182719,0.3815481548154814,1.6132265804901684,mouse634572close55
1,mouse634572,close,58,0.20792079207920802,0.6839783978397839,0.4487848784878491,1.593149396635482,mouse634572close58
1,mouse634572,close,72,0.2738073807380738,0.7058505850585058,0.3558955895589558,1.5435349040433133,mouse634572close72
1,mouse634572,close,92,0.2052205220522053,0.5570657065706572,0.3626462646264625,1.4111165791670084,mouse634572close92
1,mouse634572,close,43,0.2054905490549055,0.6820882088208822,0.5513951395139515,1.6830032679706837,mouse634572close43
1,mouse634572,close,66,0.1817281728172818,0.5943294329432944,0.2802880288028804,1.5783694117664595,mouse634572close66
1,mouse634572,close,69,0.2935193519351936,0.6523852385238524,0.3928892889288929,1.5435349040433133,mouse634572close69
1,mouse634572,close,46,0.2378937893789379,0.6286228622862289,0.6599459945994598,1.6481049723849508,mouse634572close46
0,mouse638330,close,176,0.1693069306930693,0.35697569756975706,0.23006300630063,1.508931741332258,mouse638330close176
0,mouse638330,close,183,0.1225922592259226,0.2705670567056706,0.3629162916291629,1.4809203219619889,mouse638330close183
1,mouse638330,close,204,0.1406840684068406,0.494959495949595,0.5057605760576059,1.3656500283747663,mouse638330close204
1,mouse657902,close,166,0.1439243924392439,0.5802880288028804,0.4973897389738974,1.340475661845451,mouse657902close166
0,mouse657904,close,313,0.1922592259225923,0.2765076507650765,0.1512151215121512,1.5769828787910158,mouse657904close313
0,mouse657905,close,198,0.1328532853285329,0.261926192619262,0.2216921692169218,1.522744233284106,mouse657905close198
1,mouse657905,close,571,0.2497749774977499,0.5006300630063006,0.4050405040504052,1.515132007450176,mouse657905close571
1,mouse657905,close,582,0.2033303330333034,0.575967596759676,0.3742574257425743,1.49164338901763,mouse657905close582
1,mouse657905,close,214,0.1771377137713772,0.5535553555355536,0.3459045904590461,1.4536591760106632,mouse657905close214
0,mouse657905,close,158,0.0847884788478848,0.2195319531953196,0.11395139513951401,1.731689926054893,mouse657905close158
0,mouse657905,close,212,0.1571557155715571,0.5009000900090009,0.2940594059405941,1.4536591760106632,mouse657905close212
1,mouse657905,close,207,0.2746174617461747,0.6307830783078309,0.5287128712871286,1.4842927608797396,mouse657905close207
0,mouse657905,close,209,0.2171017101710171,0.3872187218721873,0.3132313231323131,1.4842927608797396,mouse657905close209
