cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
1,mouse577578,close,240,0.1234023402340234,0.3885688568856885,0.2651665166516652,1.3430376018563293,mouse577578close240
1,mouse577578,close,241,0.1782178217821782,0.5797479747974799,0.3448244824482449,1.3430376018563293,mouse577578close241
1,mouse577578,close,242,0.1612061206120613,0.3861386138613862,0.2935193519351935,1.3202745926510897,mouse577578close242
1,mouse577578,close,243,0.20603060306030602,0.491989198919892,0.3081008100810081,1.3202745926510897,mouse577578close243
1,mouse577578,close,244,0.1906390639063906,0.5335733573357337,0.3075607560756075,1.3202745926510897,mouse577578close244
1,mouse577578,close,247,0.1477047704770476,0.2991899189918992,0.3818181818181818,1.297593927236098,mouse577578close247
1,mouse577578,close,248,0.1925292529252925,0.5991899189918994,0.3691269126912692,1.297593927236098,mouse577578close248
0,mouse577578,close,253,0.1792979297929793,0.6550855085508553,0.3912691269126912,1.2683650893965823,mouse577578close253
0,mouse577578,close,259,0.2508550855085508,0.5846084608460846,0.4220522052205223,1.2232129822725069,mouse577578close259
1,mouse577578,close,427,0.2017101710171017,0.5243924392439245,0.3567056705670568,1.2007809958522828,mouse577578close427
1,mouse577578,close,428,0.1946894689468947,0.4817281728172818,0.3928892889288928,1.2098553632562865,mouse577578close428
1,mouse577578,close,264,0.18010801080108,0.4906390639063908,0.3224122412241224,1.2098553632562865,mouse577578close264
0,mouse577578,close,260,0.2584158415841584,0.5759675967596761,0.4223222322232222,1.1876973520219705,mouse577578close260
1,mouse577578,close,267,0.2011701170117011,0.5316831683168318,0.3407740774077408,1.1876973520219705,mouse577578close267
1,mouse577578,close,430,0.2254725472547254,0.4995499549954995,0.3842484248424844,1.1876973520219705,mouse577578close430
1,mouse577578,close,271,0.1625562556255626,0.3683168316831684,0.2886588658865887,1.1876973520219705,mouse577578close271
0,mouse577578,close,269,0.2562556255625563,0.5729972997299732,0.3542754275427542,1.1876973520219705,mouse577578close269
0,mouse577578,close,270,0.2819081908190819,0.7495949594959498,0.4703870387038703,1.1876973520219705,mouse577578close270
0,mouse577578,close,272,0.1971197119711971,0.6251125112511252,0.4463546354635465,1.1562331079847181,mouse577578close272
0,mouse577578,close,273,0.3199819981998201,0.6445544554455447,0.5667866786678669,1.1562331079847181,mouse577578close273
0,mouse577578,close,274,0.2851485148514852,0.6796579657965798,0.4495949594959495,1.1562331079847181,mouse577578close274
1,mouse577578,close,277,0.1711971197119711,0.3364536453645365,0.1331233123312331,1.1341296222213757,mouse577578close277
1,mouse577578,close,279,0.1144914491449144,0.2152115211521152,0.1846984698469848,1.1341296222213757,mouse577578close279
1,mouse577578,close,280,0.1182718271827182,0.2117011701170117,0.1765976597659765,1.1341296222213757,mouse577578close280
1,mouse577578,close,285,0.1355535553555356,0.2527452745274527,0.7512151215121512,1.0902981243678262,mouse577578close285
1,mouse577578,close,310,0.17200720072007197,0.5149414941494149,0.3259225922592261,0.7057797106746553,mouse577578close310
0,mouse577578,close,323,0.2279027902790279,1.0271827182718272,0.376687668766877,0.5448623679425842,mouse577578close323
1,mouse577578,close,319,0.1936093609360936,0.6572457245724573,0.22196219621962196,0.5165994579942956,mouse577578close319
1,mouse577578,close,328,0.1107110711071107,0.2786678667866787,0.20900090009000896,0.5165994579942956,mouse577578close328
1,mouse577578,close,330,0.1252925292529252,0.6888388838883889,0.2651665166516652,0.5165994579942956,mouse577578close330
0,mouse577578,close,245,0.2856885688568857,0.4315031503150315,0.4973897389738975,1.2910751333675359,mouse577578close245
0,mouse577578,close,246,0.1207020702070207,1.8888388838883892,0.0232223222322232,1.297593927236098,mouse577578close246
1,mouse577578,close,251,0.1728172817281729,0.6099909990999102,0.3064806480648065,1.2910751333675359,mouse577578close251
1,mouse577578,close,284,0.1439243924392439,0.4466246624662467,0.2848784878487849,1.0902981243678262,mouse577578close284
