cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
1,mouse598183,close,336,0.1636363636363635,0.7374437443744376,0.4355535553555357,0.6378675411086537,mouse598183close336
1,mouse598183,close,378,0.1647164716471647,0.6696669666966698,0.3615661566156615,0.7697402159170327,mouse598183close378
1,mouse598183,close,389,0.2065706570657065,0.7490549054905492,0.3448244824482448,0.7945124291035353,mouse598183close389
1,mouse598183,close,393,0.1568856885688569,0.938073807380738,0.3345634563456349,0.7945124291035353,mouse598183close393
1,mouse598183,close,485,0.2087308730873087,0.7841584158415843,0.3661566156615664,0.8158584436040361,mouse598183close485
0,mouse598183,close,395,0.4066606660666066,0.831953195319532,0.0758775877587756,0.8158584436040361,mouse598183close395
1,mouse598183,close,394,0.1828082808280827,0.6437443744374438,0.3985598559855986,0.8158584436040361,mouse598183close394
2,mouse598183,close,398,0.1757875787578758,0.3361836183618362,0.24194419441944195,0.8415016339853418,mouse598183close398
0,mouse598183,close,412,0.783078307830783,0.9712871287128714,0.2640864086408641,0.8895223437328599,mouse598183close412
1,mouse598183,close,384,0.1595859585958596,0.6972097209720973,0.3108010801080111,0.7909646009778188,mouse598183close384
1,mouse598183,close,381,0.1501350135013501,0.7212421242124214,0.3010801080108011,0.7945124291035353,mouse598183close381
1,mouse598183,close,391,0.1633663366336634,0.8246624662466249,0.3340234023402338,0.8158584436040361,mouse598183close391
1,mouse598183,close,401,0.1757875787578758,0.8125112511251126,0.3523852385238527,0.8415016339853418,mouse598183close401
1,mouse598183,close,410,0.1660666066606662,0.6712871287128714,0.5084608460846086,0.8678277478854892,mouse598183close410
1,mouse598183,close,483,0.1574257425742574,0.6923492349234924,0.43582358235823604,0.7909646009778188,mouse598183close483
1,mouse598183,close,385,0.1714671467146714,0.6891089108910892,0.3537353735373537,0.7909646009778188,mouse598183close385
1,mouse598183,close,482,0.2014401440144015,0.6261926192619263,0.3283528352835282,0.8158584436040361,mouse598183close482
1,mouse598183,close,392,0.1558055805580558,0.7315031503150317,0.3837083708370837,0.8158584436040361,mouse598183close392
1,mouse598183,close,492,0.1895589558955895,0.6904590459045905,0.4512151215121512,0.8631338250816034,mouse598183close492
1,mouse598183,close,405,0.1531053105310531,0.7412241224122413,0.3224122412241222,0.8631338250816034,mouse598183close405
2,mouse622179,close,308,0.1369036903690369,0.2681368136813682,0.1884788478847885,0.6604922406811453,mouse622179close308
1,mouse622179,close,494,0.2578757875787578,0.5886588658865887,0.35805580558055794,0.6604922406811453,mouse622179close494
1,mouse622179,close,305,0.2346534653465347,0.7250225022502251,0.4023402340234022,0.6694213919497942,mouse622179close305
1,mouse622179,close,310,0.2254725472547255,0.6394239423942395,0.3753375337533754,0.6694213919497942,mouse622179close310
1,mouse622179,close,309,0.1998199819981998,0.7209720972097209,0.4158415841584159,0.6694213919497942,mouse622179close309
1,mouse622179,close,317,0.2405940594059407,0.6718271827182718,0.4255625562556259,0.651920240520265,mouse622179close317
2,mouse622179,close,315,0.2684068406840684,0.4744374437443746,0.3248424842484247,0.651920240520265,mouse622179close315
1,mouse622179,close,325,0.2181818181818182,0.6777677767776779,0.3985598559855984,0.6619101147436863,mouse622179close325
1,mouse622179,close,312,0.1636363636363637,0.6286228622862288,0.3156615661566156,0.6619101147436863,mouse622179close312
1,mouse622179,close,495,0.2500450045004501,0.6893789378937895,0.3718271827182721,0.6619101147436863,mouse622179close495
1,mouse622179,close,324,0.1703870387038704,0.5886588658865888,0.3137713771377137,0.6619101147436863,mouse622179close324
1,mouse622179,close,329,0.2497749774977498,0.7242124212421243,0.4004500450045006,0.6619101147436863,mouse622179close329
1,mouse622179,close,333,0.2044104410441044,0.661836183618362,0.3621062106210621,0.6412877669190329,mouse622179close333
1,mouse622179,close,335,0.1836183618361836,0.6313231323132313,0.3567056705670569,0.6412877669190329,mouse622179close335
1,mouse622179,close,337,0.2076507650765077,0.5943294329432943,0.3766876687668766,0.6412877669190329,mouse622179close337
1,mouse622179,close,336,0.2025202520252025,0.7004500450045005,0.3750675067506751,0.6412877669190329,mouse622179close336
1,mouse622179,close,339,0.1482448244824482,0.9121512151215124,0.5130513051305131,0.625,mouse622179close339
