area,n,median_delta,W,p,p_fdr,significant_fdr
PCN,21,0.17128459756609532,0.0,9.5367431640625e-07,1.2261526925223213e-06,True
CL,480,0.19405930764342566,14.0,2.5472716896872108e-80,4.5850890414369797e-79,True
LP,423,0.2099988503627523,30.0,5.900389097185867e-71,6.6379377343341e-70,True
DG-po,83,0.19271068576431138,0.0,2.5034432868039037e-15,5.522611536372615e-15,True
DG-sg,169,0.24623388792346917,47.0,4.024248121160021e-29,1.3930089650169305e-28,True
DG-mo,380,0.193800721960723,667.0,9.400313127377616e-62,7.050234845533213e-61,True
CA1,1141,0.22839179876824056,1177.0,7.451324354703253e-187,6.706191919232928e-185,True
alv,75,0.2450965829693684,10.0,7.899228058400146e-14,1.5798456116800292e-13,True
ccb,203,0.2557322801770503,12.0,5.52952942847828e-35,2.2620802207411147e-34,True
cing,214,0.21555672637244275,13.0,8.750792548430706e-37,3.937856646793818e-36,True
RSPagl6a,126,0.23902731183025544,10.0,2.578088849388533e-22,6.824352836616704e-22,True
ACAv5,129,0.27295226087376867,3.0,6.986608396844231e-23,1.96498361161244e-22,True
ACAv2/3,67,0.27892157388543176,6.0,1.4675839629744125e-12,2.4921237107112666e-12,True
ACAv1,3,0.27528328631884186,0.0,0.25,0.25280898876404495,False
ACAd2/3,63,0.23884203317746827,18.0,1.2213539739432833e-11,1.928453643068342e-11,True
ACAd5,148,0.2684257833735083,3.0,5.209166123114828e-26,1.616637762345981e-25,True
MOs5,963,0.2550028841264725,210.0,6.919784961226646e-159,3.113903232551991e-157,True
MOs2/3,52,0.30779079749823307,1.0,3.7149102960965286e-10,5.307014708709326e-10,True
CP,847,0.2983330871871863,3028.0,1.2405919542068563e-135,3.721775862620569e-134,True
MOp6b,54,0.20723394501514802,5.0,2.1522369525395507e-10,3.2283554288093264e-10,True
MOp6a,660,0.258658856023976,306.0,3.8740374897902103e-109,8.716584352027973e-108,True
MOp5,456,0.2377951885532229,27.0,2.3171556276321743e-76,3.4757334414482617e-75,True
MOp2/3,46,0.2776210884480347,62.0,1.7151079282280224e-07,2.3038763215003285e-07,True
NPC,14,0.1178055396639501,2.0,0.0003662109375,0.0004225510817307692,True
MB,214,0.15810732173229658,183.0,9.37886839804313e-36,4.01951502773277e-35,True
PPT,83,0.2004000142611153,3.0,2.7927597582142316e-15,5.984485196173354e-15,True
NOT,179,0.2153132752801662,21.0,5.679831449526378e-31,2.044739321829496e-30,True
root,64,0.20180315508489585,1.0,3.696686092064686e-12,5.941102647961102e-12,True
SUB,344,0.22136005699048783,5.0,4.053507558469541e-58,2.605826287587562e-57,True
ProS,268,0.21757547121234375,27.0,1.4173685451253893e-45,7.086842725626946e-45,True
dhc,14,0.22179259766621917,2.0,0.0003662109375,0.0004225510817307692,True
fp,142,0.23208082937269464,51.0,1.3946494913816735e-24,4.048982394333891e-24,True
scwm,21,0.2559034708033346,10.0,4.100799560546875e-05,5.055780280126284e-05,True
VISpm6b,53,0.24017537614739692,34.0,1.6066735831086101e-09,2.259384726246483e-09,True
VISpm6a,110,0.2671389754821124,51.0,3.5090698886390184e-19,8.535575404797613e-19,True
VISpm5,116,0.2571684326225985,64.0,4.673332265245867e-20,1.1683330663114667e-19,True
VISpm4,5,0.12259283294454493,3.0,0.3125,0.3125,False
AMd,81,0.18007572235230998,3.0,5.998150592186553e-15,1.226894439310886e-14,True
AD,70,0.19464514025554158,2.0,3.881432953122142e-13,6.986579315619855e-13,True
CA3,359,0.2197057972282164,597.0,1.9361180499001864e-58,1.3403894191616677e-57,True
RSPv6b,27,0.207200682604436,1.0,2.9802322387695312e-08,4.063953052867543e-08,True
RSPv6a,227,0.2223217813272898,56.0,1.1342782387225814e-38,5.37289692026486e-38,True
RSPd6a,156,0.22611932376802713,36.0,4.7547477392472106e-27,1.5283117733294606e-26,True
RSPd5,401,0.20446837295009268,83.0,3.489184516884558e-67,3.140266065196102e-66,True
RSPd2/3,96,0.30734839756552124,3.0,1.9576390041525702e-17,4.636513430887666e-17,True
RSPd1,3,0.2401933314456704,0.0,0.25,0.25280898876404495,False
APN,276,0.19021931878860784,140.0,2.3501857345973685e-46,1.2442159771397833e-45,True
or,122,0.24901483527622875,47.0,2.9361686963636228e-21,7.550148076363602e-21,True
VISam6a,106,0.19936228398725167,325.0,2.515856366569747e-15,5.522611536372615e-15,True
VISp4,190,0.2520262466463835,48.0,1.3378253756968074e-32,5.23496886142229e-32,True
VISp2/3,198,0.3251070073663693,332.0,4.384936992979419e-32,1.6443513723672822e-31,True
VISp1,17,0.350242453540641,4.0,0.0001068115234375,0.00012648733038651315,True
fi,21,0.3133475749529384,0.0,9.5367431640625e-07,1.2261526925223213e-06,True
ACAv6b,6,0.16529992204345806,0.0,0.03125,0.0338855421686747,True
ACAv6a,3,0.2563180282651546,0.0,0.25,0.25280898876404495,False
ACAd6a,141,0.2862070237741111,10.0,8.576011225299057e-25,2.572803367589717e-24,True
MOs6a,424,0.23919125399061386,106.0,6.931956064021976e-71,6.931956064021975e-70,True
RSPagl2/3,74,0.254469949379034,3.0,8.742796982059335e-14,1.7105472356203048e-13,True
OP,81,0.1279875688084911,0.0,5.362626265112966e-15,1.122410148512016e-14,True
VISp5,445,0.2570106490605319,594.0,6.552694605532012e-73,8.424893064255444e-72,True
RSPagl6b,10,0.28232897078658736,0.0,0.001953125,0.0022250791139240508,True
RSPagl5,332,0.23818649435965916,28.0,4.579721667139364e-56,2.7478330002836184e-55,True
SCiw,45,0.1550688037767461,3.0,2.8421709430404007e-13,5.220313977012981e-13,True
SCig,58,0.21507668248738526,5.0,4.552172792247327e-11,7.063716401763093e-11,True
VISp6b,36,0.22849227152398877,10.0,3.878449205718275e-07,5.1332415958036e-07,True
VISp6a,166,0.2589281712609814,70.0,1.9212070372943182e-28,6.404023457647728e-28,True
AMv,15,0.17218614333134039,0.0,6.103515625e-05,7.32421875e-05,True
AV,398,0.1755389251993062,9.0,6.201470790685545e-67,5.073930646924537e-66,True
VISa5,130,0.26948080999773777,56.0,1.6229276532904612e-22,4.426166327155804e-22,True
BST,69,0.2380133854274986,0.0,5.214926521052864e-13,9.20281150774035e-13,True
ACAd6b,10,0.18721384333339836,1.0,0.00390625,0.00428734756097561,True
VISa6a,47,0.26995364697961466,11.0,7.815970093361102e-13,1.352764054620191e-12,True
VAL,5,0.2591931883358884,0.0,0.0625,0.06696428571428571,False
LD,39,0.1654776144972706,0.0,3.637978807091713e-12,5.941102647961102e-12,True
CA2,15,0.17067900900223798,0.0,6.103515625e-05,7.32421875e-05,True
HPF,72,0.17982620536390473,0.0,1.658751802376397e-13,3.1101596294557445e-13,True
VISam5,3,0.31868281401189047,0.0,0.25,0.25280898876404495,False
MOs6b,27,0.2537194741421366,0.0,1.4901161193847656e-08,2.0632377037635216e-08,True
RPF,33,0.2000466909188706,0.0,2.3283064365386963e-10,3.379799665943269e-10,True
